,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0.2857142857142857,2,2,0,0,0
2020-03-06,0.2857142857142857,0,2,0,0,0
2020-03-07,0.5714285714285714,2,4,0,0,0
2020-03-08,0.7142857142857143,1,5,0,0,0
2020-03-09,0.7142857142857143,0,5,0,0,0
2020-03-10,2.142857142857143,10,15,0.14285714285714285,1,1
2020-03-11,3.2857142857142856,8,23,0.14285714285714285,0,1
2020-03-12,3.857142857142857,6,29,0.14285714285714285,0,1
2020-03-13,6.714285714285714,20,49,0.14285714285714285,0,1
2020-03-14,9.285714285714286,20,69,0.14285714285714285,0,1
2020-03-15,9.571428571428571,3,72,0.2857142857142857,1,2
2020-03-16,24.428571428571427,104,176,0.2857142857142857,0,2
2020-03-17,33.57142857142857,74,250,0.42857142857142855,2,4
2020-03-18,53.42857142857143,147,397,0.8571428571428571,3,7
2020-03-19,101.71428571428571,344,741,1.7142857142857142,6,13
2020-03-20,120.14285714285714,149,890,2.142857142857143,3,16
2020-03-21,179.71428571428572,437,1327,3,6,22
2020-03-22,263.14285714285717,587,1914,3.857142857142857,7,29
2020-03-23,381.14285714285717,930,2844,5.428571428571429,11,40
2020-03-24,489.2857142857143,831,3675,8,20,60
2020-03-25,572.1428571428571,727,4402,10.571428571428571,21,81
2020-03-26,876.4285714285714,2474,6876,13.714285714285714,28,109
2020-03-27,1133.5714285714287,1949,8825,17.857142857142858,32,141
2020-03-28,1399.5714285714287,2299,11124,24.285714285714285,51,192
2020-03-29,1638.857142857143,2262,13386,27.142857142857142,27,219
2020-03-30,1970.2857142857142,3250,16636,32.57142857142857,49,268
2020-03-31,2145.8571428571427,2060,18696,43.714285714285715,98,366
2020-04-01,2550.4285714285716,3559,22255,56.42857142857143,110,476
2020-04-02,2673.4285714285716,3335,25590,81.71428571428571,205,681
2020-04-03,3010,4305,29895,96.57142857142857,136,817
2020-04-04,3285.714285714286,4229,34124,123.85714285714286,242,1059
2020-04-05,3445.5714285714284,3381,37505,138,126,1185
2020-04-06,3493.4285714285716,3585,41090,152.71428571428572,152,1337
2020-04-07,3674.285714285714,3326,44416,181,296,1633
2020-04-08,3597.4285714285716,3021,47437,214,341,1974
2020-04-09,3633.8571428571427,3590,51027,224.14285714285714,276,2250
2020-04-10,3527.5714285714284,3561,54588,244.57142857142858,279,2529
2020-04-11,3432.4285714285716,3563,58151,256.42857142857144,325,2854
2020-04-12,3477.8571428571427,3699,61850,273,242,3096
2020-04-13,3356.285714285714,2734,64584,275.14285714285717,167,3263
2020-04-14,3486.8571428571427,4240,68824,292.14285714285717,415,3678
2020-04-15,3370.4285714285716,2206,71030,302,410,4088
2020-04-16,3470,4287,75317,322.85714285714283,422,4510
2020-04-17,3411.285714285714,3150,78467,336,371,4881
2020-04-18,3324.1428571428573,2953,81420,330.7142857142857,288,5169
2020-04-19,3350.1428571428573,3881,85301,344.14285714285717,336,5505
2020-04-20,3448.285714285714,3421,88722,345,173,5678
2020-04-21,3366.1428571428573,3665,92387,328,296,5974
2020-04-22,3554.8571428571427,3527,95914,331.2857142857143,433,6407
2020-04-23,3529.714285714286,4111,100025,314.7142857142857,306,6713
2020-04-24,3389.8571428571427,2171,102196,303.14285714285717,290,7003
2020-04-25,3439.714285714286,3302,105498,300.7142857142857,271,7274
2020-04-26,3391,3540,109038,260.7142857142857,56,7330
2020-04-27,3209.4285714285716,2150,111188,256.42857142857144,143,7473
2020-04-28,3067,2668,113856,275.7142857142857,431,7904
2020-04-29,2921.5714285714284,2509,116365,263.85714285714283,350,8254
2020-04-30,2661,2287,118652,289.14285714285717,483,8737
2020-05-01,2715.285714285714,2551,121203,295.57142857142856,335,9072
2020-05-02,2605.285714285714,2532,123735,289.7142857142857,230,9302
2020-05-03,2532.1428571428573,3028,126763,303.7142857142857,154,9456
2020-05-04,2444,1533,128296,292.2857142857143,63,9519
2020-05-05,2396,2332,130628,279.85714285714283,344,9863
2020-05-06,2223.285714285714,1300,131928,276.14285714285717,324,10187
2020-05-07,2197.8571428571427,2109,134037,246.14285714285714,273,10460
2020-05-08,2099.4285714285716,1862,135899,223.28571428571428,175,10635
2020-05-09,1961.2857142857142,1565,137464,214.71428571428572,170,10805
2020-05-10,1722.857142857143,1359,138823,215.14285714285714,157,10962
2020-05-11,1713.2857142857142,1466,140289,219.14285714285714,91,11053
2020-05-12,1484,727,141016,199,203,11256
2020-05-13,1392.142857142857,657,141673,180.14285714285714,192,11448
2020-05-14,1256.7142857142858,1161,142834,175.57142857142858,241,11689
2020-05-15,1175,1290,144124,180,206,11895
2020-05-16,1109.857142857143,1109,145233,172.57142857142858,118,12013
2020-05-17,1118.5714285714287,1420,146653,165.14285714285714,105,12118
2020-05-18,1158.857142857143,1748,148401,163.85714285714286,82,12200
2020-05-19,1216.7142857142858,1132,149533,156.14285714285714,149,12349
2020-05-20,1329,1443,150976,153.14285714285714,171,12520
2020-05-21,1281.142857142857,826,151802,133.42857142857142,103,12623
2020-05-22,1242,1016,152818,124.85714285714286,146,12769
2020-05-23,1164.2857142857142,565,153383,122.28571428571429,100,12869
2020-05-24,1107,1019,154402,115.57142857142857,58,12927
2020-05-25,991.7142857142857,941,155343,105.85714285714286,14,12941
2020-05-26,928.1428571428571,687,156030,92.14285714285714,53,12994
2020-05-27,847.5714285714286,879,156909,89,149,13143
2020-05-28,811.8571428571429,576,157485,85,75,13218
2020-05-29,904.8571428571429,1667,159152,82.28571428571429,127,13345
2020-05-30,934.1428571428571,770,159922,83,105,13450
2020-05-31,908.2857142857143,838,160760,84.42857142857143,68,13518
2020-06-01,843.2857142857143,486,161246,86.57142857142857,29,13547
2020-06-02,839.1428571428571,658,161904,86.42857142857143,52,13599
2020-06-03,790.8571428571429,541,162445,81,111,13710
2020-06-04,776.8571428571429,478,162923,83.85714285714286,95,13805
2020-06-05,656.5714285714286,825,163748,77.42857142857143,82,13887
2020-06-06,627.4285714285714,566,164314,70.71428571428571,58,13945
2020-06-07,547.5714285714286,279,164593,71.14285714285714,71,14016
2020-06-08,527.8571428571429,348,164941,72.57142857142857,39,14055
2020-06-09,479,316,165257,78.42857142857143,93,14148
2020-06-10,482.57142857142856,566,165823,73.42857142857143,76,14224
2020-06-11,485,495,166318,69.42857142857143,67,14291
2020-06-12,419.57142857142856,367,166685,64.85714285714286,50,14341
2020-06-13,403.85714285714283,456,167141,75.85714285714286,135,14476
2020-06-14,404.57142857142856,284,167425,71.28571428571429,39,14515
2020-06-15,389.7142857142857,244,167669,72.85714285714286,50,14565
2020-06-16,395,353,168022,71.85714285714286,86,14651
2020-06-17,357.14285714285717,301,168323,67.14285714285714,43,14694
2020-06-18,347.14285714285717,425,168748,62.57142857142857,35,14729
2020-06-19,354.57142857142856,419,169167,60.142857142857146,33,14762
2020-06-20,340.14285714285717,355,169522,44.142857142857146,23,14785
2020-06-21,345.42857142857144,321,169843,41,17,14802
2020-06-22,354.14285714285717,305,170148,39.285714285714285,38,14840
2020-06-23,354.85714285714283,358,170506,34.57142857142857,53,14893
2020-06-24,337.14285714285717,177,170683,35.714285714285715,51,14944
2020-06-25,324.2857142857143,335,171018,20.428571428571427,-72,14872
2020-06-26,323.2857142857143,412,171430,21.714285714285715,42,14914
2020-06-27,317,311,171741,23.285714285714285,34,14948
2020-06-28,317.57142857142856,325,172066,24.714285714285715,27,14975
2020-06-29,293,133,172199,21.714285714285715,17,14992
2020-06-30,303.85714285714283,434,172633,20.285714285714285,43,15035
2020-07-01,321.57142857142856,301,172934,19.142857142857142,43,15078
2020-07-02,341.85714285714283,477,173411,33.57142857142857,29,15107
2020-07-03,342.7142857142857,418,173829,35.714285714285715,57,15164
2020-07-04,341.57142857142856,303,174132,34.42857142857143,25,15189
2020-07-05,351.14285714285717,392,174524,33.714285714285715,22,15211
2020-07-06,366.7142857142857,242,174766,33.857142857142854,18,15229
2020-07-07,350.85714285714283,323,175089,35.142857142857146,52,15281
2020-07-08,336.2857142857143,199,175288,36.285714285714285,51,15332
2020-07-09,308,279,175567,48.714285714285715,116,15448
2020-07-10,305,397,175964,45,31,15479
2020-07-11,314.2857142857143,368,176332,48,46,15525
2020-07-12,312,376,176708,44.857142857142854,0,15525
2020-07-13,318.42857142857144,287,176995,47.285714285714285,35,15560
2020-07-14,337.2857142857143,455,177450,43,22,15582
2020-07-15,367.85714285714283,413,177863,43.142857142857146,52,15634
2020-07-16,367.14285714285717,274,178137,31,31,15665
2020-07-17,324.2857142857143,97,178234,29.285714285714285,19,15684
2020-07-18,313,289,178523,24.857142857142858,15,15699
2020-07-19,258.14285714285717,-8,178515,25.857142857142858,7,15706
2020-07-20,251.42857142857142,240,178755,22.142857142857142,9,15715
2020-07-21,236.57142857142858,351,179106,22.142857142857142,22,15737
2020-07-22,240.85714285714286,443,179549,10.428571428571429,-30,15707
2020-07-23,242.42857142857142,285,179834,9.285714285714286,23,15730
2020-07-24,299.7142857142857,498,180332,11.571428571428571,35,15765
2020-07-25,336.85714285714283,549,180881,11,11,15776
2020-07-26,414.2857142857143,534,181415,11.571428571428571,11,15787
2020-07-27,450.7142857142857,495,181910,12.714285714285714,17,15804
2020-07-28,478.7142857142857,547,182457,12.571428571428571,21,15825
2020-07-29,464,340,182797,13,-27,15798
2020-07-30,481.57142857142856,408,183205,11.285714285714286,11,15809
2020-07-31,517.2857142857143,748,183953,7.714285714285714,10,15819
2020-08-01,496.7142857142857,405,184358,7.714285714285714,11,15830
2020-08-02,470.57142857142856,351,184709,7,6,15836
2020-08-03,443.85714285714283,308,185017,6,10,15846
2020-08-04,421.85714285714283,393,185410,4.571428571428571,11,15857
2020-08-05,430.42857142857144,400,185810,6.285714285714286,-15,15842
2020-08-06,432.57142857142856,423,186233,5.714285714285714,7,15849
2020-08-07,383.85714285714283,407,186640,4.285714285714286,0,15849
2020-08-08,382.14285714285717,393,187033,5.571428571428571,20,15869
2020-08-09,384.2857142857143,366,187399,5.428571428571429,5,15874
