,inpatient_beds_used_covid,7_day_avg
2020-03-14,6.0,79.75
2020-03-15,88.0,98.6
2020-03-16,97.0,118.16666666666667
2020-03-17,128.0,134.14285714285714
2020-03-18,174.0,173.14285714285714
2020-03-19,216.0,206.85714285714286
2020-03-20,230.0,252.57142857142858
2020-03-21,279.0,313.42857142857144
2020-03-22,324.0,409.0
2020-03-23,417.0,519.8571428571429
2020-03-24,554.0,659.1428571428571
2020-03-25,843.0,804.1428571428571
2020-03-26,992.0,990.7142857142857
2020-03-27,1205.0,1646.4285714285713
2020-03-28,1294.0,3031.714285714286
2020-03-29,1630.0,4486.857142857143
2020-03-30,5007.0,6099.142857142857
2020-03-31,10251.0,7732.285714285715
2020-04-01,11029.0,9419.857142857143
2020-04-02,12278.0,10953.142857142857
2020-04-03,12637.0,12053.714285714286
2020-04-04,13107.0,12390.857142857143
2020-04-05,12363.0,12642.0
2020-04-06,12711.0,12746.42857142857
2020-04-07,12611.0,12851.0
2020-04-08,12787.0,12887.285714285714
2020-04-09,13009.0,13041.57142857143
2020-04-10,13369.0,13212.714285714286
2020-04-11,13361.0,13429.142857142857
2020-04-12,13443.0,13612.0
2020-04-13,13909.0,13670.57142857143
2020-04-14,14126.0,13623.285714285714
2020-04-15,14067.0,13548.57142857143
2020-04-16,13419.0,13413.285714285714
2020-04-17,13038.0,13213.0
2020-04-18,12838.0,12957.142857142857
2020-04-19,12496.0,12805.42857142857
2020-04-20,12507.0,12668.57142857143
2020-04-21,12335.0,12521.57142857143
2020-04-22,13005.0,12352.857142857143
2020-04-23,12461.0,12203.857142857143
2020-04-24,12009.0,11993.857142857143
2020-04-25,11657.0,11765.42857142857
2020-04-26,11453.0,11355.714285714286
2020-04-27,11037.0,10955.857142857143
2020-04-28,10736.0,10558.714285714286
2020-04-29,10137.0,10150.857142857143
2020-04-30,9662.0,9750.142857142857
2020-05-01,9229.0,9400.714285714286
2020-05-02,8802.0,9071.857142857143
2020-05-03,8648.0,8758.285714285714
2020-05-04,8591.0,8445.0
2020-05-05,8434.0,8133.571428571428
2020-05-06,7942.0,7847.285714285715
2020-05-07,7469.0,7565.285714285715
2020-05-08,7049.0,7304.142857142857
2020-05-09,6798.0,7276.0
2020-05-10,6674.0,7290.714285714285
2020-05-11,6763.0,7349.285714285715
2020-05-12,8237.0,7451.285714285715
2020-05-13,8045.0,7563.714285714285
2020-05-14,7879.0,7462.571428571428
2020-05-15,7763.0,7369.285714285715
2020-05-16,7585.0,7018.428571428572
2020-05-17,5966.0,6666.285714285715
2020-05-18,6110.0,6299.0
2020-05-19,5781.0,5912.285714285715
2020-05-20,5580.0,5506.714285714285
2020-05-21,5308.0,5320.0
2020-05-22,5056.0,5117.142857142857
2020-05-23,4746.0,4963.857142857143
2020-05-24,4659.0,4811.857142857143
2020-05-25,4690.0,4649.571428571428
2020-05-26,4708.0,4503.857142857143
2020-05-27,4516.0,4388.571428571428
2020-05-28,4172.0,4280.571428571428
2020-05-29,4036.0,4158.571428571428
2020-05-30,3939.0,4029.5714285714284
2020-05-31,3903.0,3953.0
2020-06-01,3836.0,3967.1428571428573
2020-06-02,3805.0,3987.1428571428573
2020-06-03,3980.0,3995.714285714286
2020-06-04,4271.0,3969.5714285714284
2020-06-05,4176.0,3902.0
2020-06-06,3999.0,3787.1428571428573
2020-06-07,3720.0,3623.5714285714284
2020-06-08,3363.0,3409.4285714285716
2020-06-09,3001.0,3189.714285714286
2020-06-10,2835.0,2979.8571428571427
2020-06-11,2772.0,2780.1428571428573
2020-06-12,2638.0,2939.1428571428573
2020-06-13,2530.0,3127.285714285714
2020-06-14,2322.0,3319.8571428571427
2020-06-15,4476.0,3518.1428571428573
2020-06-16,4318.0,3713.0
2020-06-17,4183.0,3801.4285714285716
2020-06-18,4160.0,3942.4285714285716
