,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0.14285714285714285,1,1,0,0,0
2020-03-04,1.4285714285714286,9,10,0,0,0
2020-03-05,3,11,21,0,0,0
2020-03-06,3.4285714285714284,3,24,0,0,0
2020-03-07,10.857142857142858,52,76,0,0,0
2020-03-08,15,29,105,0,0,0
2020-03-09,19.714285714285715,33,138,0,0,0
2020-03-10,21.571428571428573,14,152,0,0,0
2020-03-11,29.428571428571427,64,216,0.14285714285714285,1,1
2020-03-12,39.285714285714285,80,296,0.14285714285714285,0,1
2020-03-13,50.714285714285715,83,379,0.14285714285714285,0,1
2020-03-14,68.71428571428571,178,557,0.7142857142857143,4,5
2020-03-15,75.42857142857143,76,633,1.4285714285714286,5,10
2020-03-16,117.57142857142857,328,961,3,11,21
2020-03-17,179.28571428571428,446,1407,5,14,35
2020-03-18,327.2857142857143,1100,2507,8.428571428571429,25,60
2020-03-19,560.7142857142857,1714,4221,12.428571428571429,28,88
2020-03-20,1040.142857142857,3439,7660,20.285714285714285,55,143
2020-03-21,1407.5714285714287,2750,10410,27.142857142857142,52,195
2020-03-22,2079.714285714286,4781,15191,34.142857142857146,54,249
2020-03-23,2846.1428571428573,5693,20884,47.142857142857146,102,351
2020-03-24,3467.714285714286,4797,25681,62.857142857142854,124,475
2020-03-25,4047.714285714286,5160,30841,81.71428571428571,157,632
2020-03-26,4739.428571428572,6556,37397,111.28571428571429,235,867
2020-03-27,5291.571428571428,7304,44701,142.28571428571428,272,1139
2020-03-28,5998.571428571428,7699,52400,185.28571428571428,353,1492
2020-03-29,6351,7248,59648,232.14285714285714,382,1874
2020-03-30,6539.857142857143,7015,66663,276.42857142857144,412,2286
2020-03-31,7167.428571428572,9190,75853,328.57142857142856,489,2775
2020-04-01,8505.142857142857,14524,90377,397,636,3411
2020-04-02,9054.714285714286,10403,100780,467.2857142857143,727,4138
2020-04-03,9536.285714285714,10675,111455,537.1428571428571,761,4899
2020-04-04,9900.714285714286,10250,121705,599.1428571428571,787,5686
2020-04-05,10436,10995,132700,674.5714285714286,910,6596
2020-04-06,10842.57142857143,9861,142561,767.2857142857143,1061,7657
2020-04-07,10588.714285714286,7413,149974,879.2857142857143,1273,8930
2020-04-08,9972.57142857143,10211,160185,924,949,9879
2020-04-09,10210.857142857143,12071,172256,970.1428571428571,1050,10929
2020-04-10,10324.857142857143,11473,183729,993,921,11850
2020-04-11,10079.57142857143,8533,192262,1012.2857142857143,922,12772
2020-04-12,9705,8373,200635,1016.2857142857143,938,13710
2020-04-13,9418.142857142857,7853,208488,1010.1428571428571,1018,14728
2020-04-14,9426.42857142857,7471,215959,954,880,15608
2020-04-15,8918.857142857143,6658,222617,930.7142857142857,786,16394
2020-04-16,8321.42857142857,7889,230506,886.8571428571429,743,17137
2020-04-17,7680.428571428572,6986,237492,823.4285714285714,477,17614
2020-04-18,7443.857142857143,6877,244369,771.8571428571429,561,18175
2020-04-19,7196.857142857143,6644,251013,712.7142857142857,524,18699
2020-04-20,6987.285714285715,6386,257399,706,971,19670
2020-04-21,6581.857142857143,4633,262032,676.1428571428571,671,20341
2020-04-22,6239.142857142857,4259,266291,637.8571428571429,518,20859
2020-04-23,5897.428571428572,5497,271788,625.5714285714286,657,21516
2020-04-24,5852,6668,278456,636.4285714285714,553,22069
2020-04-25,6218.428571428572,9442,287898,618.5714285714286,436,22505
2020-04-26,6080.285714285715,5677,293575,601.5714285714286,405,22910
2020-04-27,5784.142857142857,4313,297888,531.5714285714286,481,23391
2020-04-28,5537.714285714285,2908,300796,483.57142857142856,335,23726
2020-04-29,5377.285714285715,3136,303932,473.2857142857143,446,24172
2020-04-30,5217.285714285715,4377,308309,432.2857142857143,370,24542
2020-05-01,4906.142857142857,4490,312799,406,369,24911
2020-05-02,4182.285714285715,4375,317174,385.14285714285717,290,25201
2020-05-03,3872.8571428571427,3511,320685,367.7142857142857,283,25484
2020-05-04,3705.714285714286,3143,323828,349.42857142857144,353,25837
2020-05-05,3591.1428571428573,2106,325934,341.85714285714283,282,26119
2020-05-06,3446.4285714285716,2123,328057,359.57142857142856,570,26689
2020-05-07,3279.8571428571427,3211,331268,339.14285714285717,227,26916
2020-05-08,3052.5714285714284,2899,334167,331.7142857142857,317,27233
2020-05-09,2804,2635,336802,321.85714285714283,221,27454
2020-05-10,2645.285714285714,2400,339202,306.14285714285717,173,27627
2020-05-11,2456.8571428571427,1824,341026,283.85714285714283,197,27824
2020-05-12,2346,1330,342356,274.7142857142857,218,28042
2020-05-13,2259.5714285714284,1518,343874,222.57142857142858,205,28247
2020-05-14,2135,2339,346213,213.14285714285714,161,28408
2020-05-15,2042,2248,348461,205.71428571428572,265,28673
2020-05-16,2025.2857142857142,2518,350979,198.71428571428572,172,28845
2020-05-17,1971.4285714285713,2023,353002,192,126,28971
2020-05-18,1924.857142857143,1498,354500,232.85714285714286,483,29454
2020-05-19,1932.857142857143,1386,355886,230,198,29652
2020-05-20,1882.5714285714287,1166,357052,210,65,29717
2020-05-21,1815,1866,358918,197.42857142857142,73,29790
2020-05-22,1765.2857142857142,1900,360818,170.14285714285714,74,29864
2020-05-23,1701.4285714285713,2071,362889,169.57142857142858,168,30032
2020-05-24,1670.7142857142858,1808,364697,164.85714285714286,93,30125
2020-05-25,1698.2857142857142,1691,366388,113.57142857142857,124,30249
2020-05-26,1637.5714285714287,961,367349,89.14285714285714,27,30276
2020-05-27,1604.2857142857142,933,368282,106.42857142857143,186,30462
2020-05-28,1502.857142857143,1156,369438,98.85714285714286,20,30482
2020-05-29,1469,1663,371101,102,96,30578
2020-05-30,1369.142857142857,1372,372473,88.14285714285714,71,30649
2020-05-31,1283.5714285714287,1209,373682,82,50,30699
2020-06-01,1204.2857142857142,1136,374818,83.28571428571429,133,30832
2020-06-02,1219.7142857142858,1069,375887,90.57142857142857,78,30910
2020-06-03,1199.142857142857,789,376676,71.71428571428571,54,30964
2020-06-04,1207.142857142857,1212,377888,87.28571428571429,129,31093
2020-06-05,1130,1123,379011,77.42857142857143,27,31120
2020-06-06,1084.7142857142858,1055,380066,70.28571428571429,21,31141
2020-06-07,1034.4285714285713,857,380923,75.28571428571429,85,31226
2020-06-08,977.2857142857143,736,381659,65,61,31287
2020-06-09,910,598,382257,59.57142857142857,40,31327
2020-06-10,863.1428571428571,461,382718,60.857142857142854,63,31390
2020-06-11,805.7142857142857,810,383528,44.42857142857143,14,31404
2020-06-12,761.8571428571429,816,384344,62,150,31554
2020-06-13,719.7142857142857,760,385104,61,14,31568
2020-06-14,696.2857142857143,693,385797,52.714285714285715,27,31595
2020-06-15,686.4285714285714,667,386464,48.714285714285715,33,31628
2020-06-16,673.7142857142857,509,386973,50.142857142857146,50,31678
2020-06-17,666.5714285714286,411,387384,43.714285714285715,18,31696
2020-06-18,650.7142857142857,699,388083,46.285714285714285,32,31728
2020-06-19,651.8571428571429,824,388907,27.571428571428573,19,31747
2020-06-20,642.5714285714286,695,389602,35.57142857142857,70,31817
2020-06-21,638.7142857142857,666,390268,37,37,31854
2020-06-22,635.1428571428571,642,390910,37.42857142857143,36,31890
2020-06-23,634,501,391411,39.142857142857146,62,31952
2020-06-24,642.8571428571429,473,391884,39.714285714285715,22,31974
2020-06-25,659.2857142857143,814,392698,39.857142857142854,33,32007
2020-06-26,660,829,393527,40.42857142857143,23,32030
2020-06-27,665.5714285714286,734,394261,33.42857142857143,21,32051
2020-06-28,657.7142857142857,611,394872,32,27,32078
2020-06-29,642.2857142857143,534,395406,31.285714285714285,31,32109
2020-06-30,642.5714285714286,503,395909,16.857142857142858,-39,32070
2020-07-01,653.1428571428571,547,396456,16.285714285714285,18,32088
2020-07-02,666.4285714285714,907,397363,15,24,32112
2020-07-03,678.5714285714286,914,398277,23.142857142857142,80,32192
2020-07-04,684.7142857142857,777,399054,22.142857142857142,14,32206
2020-07-05,700.5714285714286,722,399776,23.714285714285715,38,32244
2020-07-06,698.8571428571429,522,400298,21.714285714285715,17,32261
2020-07-07,691,448,400746,30.428571428571427,22,32283
2020-07-08,694,568,401314,30.857142857142858,21,32304
2020-07-09,673.7142857142857,765,402079,30.714285714285715,23,32327
2020-07-10,674.5714285714286,920,402999,25.285714285714285,42,32369
2020-07-11,689,878,403877,24.857142857142858,11,32380
2020-07-12,692.5714285714286,747,404624,21.571428571428573,15,32395
2020-07-13,708.7142857142857,635,405259,22.428571428571427,23,32418
2020-07-14,769.4285714285714,873,406132,20.857142857142858,11,32429
2020-07-15,788.5714285714286,702,406834,20.571428571428573,19,32448
2020-07-16,806.4285714285714,890,407724,18.571428571428573,9,32457
2020-07-17,793.1428571428571,827,408551,16.428571428571427,27,32484
2020-07-18,786.1428571428571,829,409380,16.714285714285715,13,32497
2020-07-19,771.4285714285714,644,410024,17.285714285714285,19,32516
2020-07-20,777,674,410698,15.571428571428571,11,32527
2020-07-21,752.2857142857143,700,411398,15.714285714285714,12,32539
2020-07-22,731.4285714285714,556,411954,19.142857142857142,43,32582
2020-07-23,726.1428571428571,853,412807,19.142857142857142,9,32591
2020-07-24,715.1428571428571,750,413557,16.857142857142858,11,32602
2020-07-25,705.2857142857143,760,414317,16.428571428571427,10,32612
2020-07-26,703,628,414945,16.142857142857142,17,32629
2020-07-27,697.4285714285714,635,415580,16,10,32639
2020-07-28,669.5714285714286,505,416085,16.285714285714285,14,32653
2020-07-29,671.8571428571429,572,416657,10.285714285714286,1,32654
2020-07-30,663.8571428571429,797,417454,11.571428571428571,18,32672
2020-07-31,655.2857142857143,690,418144,10.428571428571429,3,32675
2020-08-01,654.5714285714286,755,418899,10.285714285714286,9,32684
2020-08-02,643.8571428571429,553,419452,9.714285714285714,13,32697
2020-08-03,637.4285714285714,590,420042,8.285714285714286,0,32697
2020-08-04,655.7142857142857,633,420675,7.142857142857143,6,32703
2020-08-05,643.1428571428571,484,421159,11.714285714285714,33,32736
2020-08-06,635.2857142857143,742,421901,9.857142857142858,5,32741
2020-08-07,619.2857142857143,578,422479,9.857142857142858,3,32744
