,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,5581.571428571428
2020-12-26,0.0,5581.571428571428
2020-12-27,0.0,5581.571428571428
2020-12-28,39071.0,5581.571428571428
2020-12-29,0.0,5581.571428571428
2020-12-30,0.0,5581.571428571428
2020-12-31,0.0,5581.571428571428
2021-01-01,0.0,0.0
2021-01-02,0.0,6669.857142857143
2021-01-03,0.0,6669.857142857143
2021-01-04,0.0,6669.857142857143
2021-01-05,46689.0,13920.857142857143
2021-01-06,0.0,13920.857142857143
2021-01-07,0.0,13920.857142857143
2021-01-08,50757.0,13920.857142857143
2021-01-09,0.0,15559.0
2021-01-10,0.0,15559.0
2021-01-11,0.0,15559.0
2021-01-12,58156.0,17371.14285714286
2021-01-13,0.0,17371.14285714286
2021-01-14,0.0,17371.14285714286
2021-01-15,63442.0,17371.14285714286
2021-01-16,0.0,9063.142857142857
2021-01-17,0.0,26479.428571428572
2021-01-18,0.0,26479.428571428572
2021-01-19,0.0,41502.142857142855
2021-01-20,121914.0,41502.142857142855
2021-01-21,0.0,41502.142857142855
2021-01-22,168601.0,41502.142857142855
2021-01-23,0.0,41502.142857142855
2021-01-24,0.0,58293.857142857145
2021-01-25,0.0,58293.857142857145
2021-01-26,0.0,48726.71428571428
2021-01-27,239456.0,48726.71428571428
2021-01-28,0.0,48726.71428571428
2021-01-29,101631.0,48726.71428571428
2021-01-30,0.0,69739.71428571429
2021-01-31,0.0,40947.42857142857
2021-02-01,0.0,47188.142857142855
2021-02-02,147091.0,40164.57142857143
2021-02-03,37910.0,49272.42857142857
2021-02-04,43685.0,49272.42857142857
2021-02-05,52466.0,49272.42857142857
2021-02-06,63755.0,47091.28571428572
2021-02-07,0.0,48218.142857142855
2021-02-08,0.0,49091.57142857143
2021-02-09,131823.0,51287.0
2021-02-10,45798.0,53194.857142857145
2021-02-11,49799.0,53194.857142857145
2021-02-12,67834.0,53194.857142857145
2021-02-13,77110.0,55677.142857142855
2021-02-14,0.0,56893.71428571428
2021-02-15,0.0,56583.42857142857
2021-02-16,149199.0,55080.142857142855
2021-02-17,54314.0,49407.71428571428
2021-02-18,47627.0,53903.28571428572
2021-02-19,57311.0,62431.0
2021-02-20,37403.0,48218.71428571428
2021-02-21,31469.0,43324.857142857145
2021-02-22,59694.0,42575.28571428572
2021-02-23,49713.0,43829.142857142855
2021-02-24,20057.0,49057.57142857143
2021-02-25,42380.0,51030.857142857145
2021-02-26,66088.0,57035.71428571428
2021-02-27,74002.0,58194.42857142857
2021-02-28,45282.0,58118.28571428572
2021-03-01,101728.0,60893.857142857145
2021-03-02,57824.0,59254.28571428572
2021-03-03,19524.0,57039.0
2021-03-04,61809.0,56396.28571428572
2021-03-05,54611.0,59170.71428571428
2021-03-06,58495.0,50910.142857142855
2021-03-07,40783.0,52005.57142857143
2021-03-08,121149.0,55378.42857142857
2021-03-09,0.0,58458.57142857143
2021-03-10,27192.0,63701.42857142857
2021-03-11,85419.0,93381.85714285714
2021-03-12,76172.0,76074.85714285714
2021-03-13,95195.0,85506.42857142857
2021-03-14,248546.0,93580.71428571429
2021-03-15,0.0,90843.71428571429
2021-03-16,66021.0,93446.14285714286
2021-03-17,83712.0,92464.0
2021-03-18,66260.0,69830.0
2021-03-19,94389.0,84056.14285714286
2021-03-20,88320.0,83367.71428571429
2021-03-21,90108.0,75425.28571428571
2021-03-22,99583.0,82738.71428571429
2021-03-23,61202.0,82822.85714285714
2021-03-24,28115.0,86637.71428571429
2021-03-25,117454.0,79031.28571428571
2021-03-26,94978.0,78138.85714285714
2021-03-27,115024.0,84403.28571428571
2021-03-28,36863.0,88783.28571428571
2021-03-29,93336.0,81309.85714285714
2021-03-30,105053.0,86923.57142857143
2021-03-31,58775.0,70491.57142857143
2021-04-01,65140.0,78808.85714285714
2021-04-02,134274.0,72591.42857142857
2021-04-03,0.0,79339.85714285714
2021-04-04,95084.0,80195.0
2021-04-05,49814.0,87082.14285714286
2021-04-06,152292.0,101657.42857142857
2021-04-07,64761.0,101657.42857142857
2021-04-08,113350.0,90380.28571428571
2021-04-09,236301.0,116328.0
2021-04-10,0.0,107822.14285714286
2021-04-11,16144.0,111764.28571428571
2021-04-12,231448.0,110837.28571428571
2021-04-13,92751.0,92210.57142857143
2021-04-14,92356.0,92210.57142857143
2021-04-15,106861.0,89904.28571428571
2021-04-16,105914.0,84921.57142857143
2021-04-17,0.0,78884.85714285714
2021-04-18,0.0,76786.28571428571
2021-04-19,196569.0,78237.71428571429
2021-04-20,50494.0,72207.0
2021-04-21,77666.0,72207.0
2021-04-22,117021.0,72207.0
2021-04-23,63699.0,58828.71428571428
2021-04-24,0.0,64336.71428571428
2021-04-25,0.0,60351.142857142855
2021-04-26,102921.0,55561.42857142857
2021-04-27,89050.0,56003.57142857143
2021-04-28,49767.0,56003.57142857143
2021-04-29,83493.0,56134.57142857143
2021-04-30,66794.0,60241.28571428572
2021-05-01,0.0,47519.857142857145
2021-05-02,917.0,53398.71428571428
2021-05-03,131668.0,50857.857142857145
2021-05-04,0.0,49700.42857142857
2021-05-05,90919.0,49700.42857142857
2021-05-06,65707.0,49569.42857142857
2021-05-07,58692.0,45599.28571428572
2021-05-08,0.0,49753.42857142857
2021-05-09,0.0,42054.857142857145
2021-05-10,103877.0,38875.71428571428
2021-05-11,29079.0,37073.142857142855
2021-05-12,37029.0,37073.142857142855
2021-05-13,43453.0,37073.142857142855
2021-05-14,46074.0,34992.0
2021-05-15,0.0,33833.28571428572
2021-05-16,0.0,38303.57142857143
2021-05-17,89309.0,37274.28571428572
2021-05-18,20968.0,36529.142857142855
2021-05-19,68321.0,36529.142857142855
2021-05-20,36248.0,36529.142857142855
2021-05-21,40858.0,35243.28571428572
2021-05-22,0.0,37181.57142857143
2021-05-23,0.0,32233.428571428572
2021-05-24,80308.0,31223.0
2021-05-25,34536.0,30037.571428571428
2021-05-26,33684.0,35043.833333333336
2021-05-27,29175.0,42052.6
2021-05-28,32560.0,32488.75
