,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.14285714285714285
2020-03-13,0.0,0.14285714285714285
2020-03-14,1.0,0.2857142857142857
2020-03-15,0.0,0.5714285714285714
2020-03-16,0.0,0.8571428571428571
2020-03-17,1.0,1.0
2020-03-18,2.0,0.8571428571428571
2020-03-19,2.0,0.8571428571428571
2020-03-20,1.0,1.0
2020-03-21,0.0,1.0
2020-03-22,0.0,0.8571428571428571
2020-03-23,1.0,0.7142857142857143
2020-03-24,1.0,0.8571428571428571
2020-03-25,1.0,0.8571428571428571
2020-03-26,1.0,0.8571428571428571
2020-03-27,2.0,1.5714285714285714
2020-03-28,0.0,2.7142857142857144
2020-03-29,0.0,5.142857142857143
2020-03-30,6.0,7.428571428571429
2020-03-31,9.0,10.714285714285714
2020-04-01,18.0,13.428571428571429
2020-04-02,17.0,16.142857142857142
2020-04-03,25.0,19.0
2020-04-04,19.0,21.142857142857142
2020-04-05,19.0,22.571428571428573
2020-04-06,26.0,23.428571428571427
2020-04-07,24.0,22.571428571428573
2020-04-08,28.0,23.142857142857142
2020-04-09,23.0,22.285714285714285
2020-04-10,19.0,21.285714285714285
2020-04-11,23.0,20.571428571428573
2020-04-12,13.0,19.857142857142858
2020-04-13,19.0,20.0
2020-04-14,19.0,22.428571428571427
2020-04-15,23.0,22.714285714285715
2020-04-16,24.0,24.142857142857142
2020-04-17,36.0,24.857142857142858
2020-04-18,25.0,26.0
2020-04-19,23.0,25.285714285714285
2020-04-20,24.0,25.285714285714285
2020-04-21,27.0,24.0
2020-04-22,18.0,23.714285714285715
2020-04-23,24.0,24.0
2020-04-24,27.0,25.714285714285715
2020-04-25,23.0,26.285714285714285
2020-04-26,25.0,29.0
2020-04-27,36.0,37.142857142857146
2020-04-28,31.0,43.0
2020-04-29,37.0,49.857142857142854
2020-04-30,81.0,56.42857142857143
2020-05-01,68.0,61.142857142857146
2020-05-02,71.0,68.57142857142857
2020-05-03,71.0,76.28571428571429
2020-05-04,69.0,76.57142857142857
2020-05-05,83.0,78.42857142857143
2020-05-06,91.0,79.14285714285714
2020-05-07,83.0,79.14285714285714
2020-05-08,81.0,81.42857142857143
2020-05-09,76.0,80.57142857142857
2020-05-10,71.0,78.71428571428571
2020-05-11,85.0,80.0
2020-05-12,77.0,80.0
2020-05-13,78.0,78.85714285714286
2020-05-14,92.0,78.57142857142857
2020-05-15,81.0,77.14285714285714
2020-05-16,68.0,78.42857142857143
2020-05-17,69.0,78.14285714285714
2020-05-18,75.0,76.14285714285714
2020-05-19,86.0,74.14285714285714
2020-05-20,76.0,74.85714285714286
2020-05-21,78.0,74.85714285714286
2020-05-22,67.0,76.0
2020-05-23,73.0,75.42857142857143
2020-05-24,69.0,75.42857142857143
2020-05-25,83.0,78.14285714285714
2020-05-26,82.0,80.71428571428571
2020-05-27,76.0,81.57142857142857
2020-05-28,97.0,82.85714285714286
2020-05-29,85.0,81.14285714285714
2020-05-30,79.0,79.71428571428571
2020-05-31,78.0,79.28571428571429
2020-06-01,71.0,75.28571428571429
2020-06-02,72.0,72.14285714285714
2020-06-03,73.0,68.14285714285714
2020-06-04,69.0,62.857142857142854
2020-06-05,63.0,59.714285714285715
2020-06-06,51.0,57.42857142857143
2020-06-07,41.0,55.714285714285715
2020-06-08,49.0,55.285714285714285
2020-06-09,56.0,56.57142857142857
2020-06-10,61.0,59.0
2020-06-11,66.0,61.0
2020-06-12,72.0,61.285714285714285
2020-06-13,68.0,62.0
2020-06-14,55.0,62.285714285714285
2020-06-15,51.0,62.0
2020-06-16,61.0,62.142857142857146
2020-06-17,63.0,61.57142857142857
2020-06-18,64.0,62.142857142857146
2020-06-19,73.0,63.0
2020-06-20,64.0,61.57142857142857
2020-06-21,59.0,60.0
2020-06-22,57.0,58.714285714285715
2020-06-23,51.0,54.714285714285715
2020-06-24,52.0,50.42857142857143
2020-06-25,55.0,47.42857142857143
2020-06-26,45.0,46.714285714285715
2020-06-27,34.0,45.142857142857146
2020-06-28,38.0,44.857142857142854
2020-06-29,52.0,44.0
2020-06-30,40.0,43.0
2020-07-01,50.0,44.0
2020-07-02,49.0,44.42857142857143
2020-07-03,38.0,46.714285714285715
2020-07-04,41.0,51.0
2020-07-05,41.0,53.285714285714285
2020-07-06,68.0,54.285714285714285
2020-07-07,70.0,57.142857142857146
2020-07-08,66.0,58.857142857142854
2020-07-09,56.0,60.142857142857146
2020-07-10,58.0,59.42857142857143
2020-07-11,53.0,58.857142857142854
2020-07-12,50.0,54.857142857142854
2020-07-13,63.0,52.857142857142854
2020-07-14,66.0,50.857142857142854
2020-07-15,38.0,48.0
2020-07-16,42.0,47.42857142857143
2020-07-17,44.0,44.714285714285715
2020-07-18,33.0,41.857142857142854
2020-07-19,46.0,43.714285714285715
2020-07-20,44.0,45.42857142857143
2020-07-21,46.0,46.57142857142857
2020-07-22,51.0,48.0
2020-07-23,54.0,47.857142857142854
2020-07-24,52.0,50.0
2020-07-25,43.0,55.57142857142857
2020-07-26,45.0,61.714285714285715
2020-07-27,59.0,66.0
2020-07-28,85.0,74.71428571428571
2020-07-29,94.0,84.28571428571429
2020-07-30,84.0,90.28571428571429
2020-07-31,113.0,94.42857142857143
2020-08-01,110.0,96.28571428571429
2020-08-02,87.0,97.71428571428571
2020-08-03,88.0,100.28571428571429
2020-08-04,98.0,99.0
2020-08-05,104.0,98.14285714285714
2020-08-06,102.0,101.0
2020-08-07,104.0,103.71428571428571
2020-08-08,104.0,105.85714285714286
2020-08-09,107.0,107.57142857142857
2020-08-10,107.0,109.85714285714286
2020-08-11,113.0,109.42857142857143
2020-08-12,116.0,107.28571428571429
2020-08-13,118.0,103.28571428571429
2020-08-14,101.0,99.28571428571429
2020-08-15,89.0,96.42857142857143
2020-08-16,79.0,92.85714285714286
2020-08-17,79.0,90.42857142857143
2020-08-18,93.0,89.0
2020-08-19,91.0,87.71428571428571
2020-08-20,101.0,88.71428571428571
2020-08-21,91.0,91.14285714285714
2020-08-22,80.0,92.0
2020-08-23,86.0,94.14285714285714
2020-08-24,96.0,96.42857142857143
2020-08-25,99.0,100.28571428571429
2020-08-26,106.0,103.28571428571429
2020-08-27,117.0,105.14285714285714
2020-08-28,118.0,106.28571428571429
2020-08-29,101.0,109.28571428571429
2020-08-30,99.0,110.71428571428571
2020-08-31,104.0,110.57142857142857
2020-09-01,120.0,108.0
2020-09-02,116.0,107.0
2020-09-03,116.0,109.14285714285714
2020-09-04,100.0,111.0
2020-09-05,94.0,112.0
2020-09-06,114.0,113.28571428571429
2020-09-07,117.0,115.14285714285714
2020-09-08,127.0,118.85714285714286
2020-09-09,125.0,121.0
2020-09-10,129.0,123.0
2020-09-11,126.0,125.0
2020-09-12,109.0,127.85714285714286
2020-09-13,128.0,131.85714285714286
2020-09-14,131.0,134.0
2020-09-15,147.0,138.57142857142858
2020-09-16,153.0,144.57142857142858
2020-09-17,144.0,149.28571428571428
2020-09-18,158.0,156.0
2020-09-19,151.0,162.42857142857142
2020-09-20,161.0,163.28571428571428
2020-09-21,178.0,167.0
2020-09-22,192.0,169.28571428571428
2020-09-23,159.0,172.71428571428572
2020-09-24,170.0,175.0
2020-09-25,174.0,177.85714285714286
2020-09-26,175.0,178.71428571428572
2020-09-27,177.0,186.71428571428572
2020-09-28,198.0,191.85714285714286
2020-09-29,198.0,197.14285714285714
