,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0.14285714285714285,1,1,0,0,0
2020-03-13,0.14285714285714285,0,1,0,0,0
2020-03-14,0.14285714285714285,0,1,0,0,0
2020-03-15,0.14285714285714285,0,1,0,0,0
2020-03-16,0.14285714285714285,0,1,0,0,0
2020-03-17,0.42857142857142855,2,3,0,0,0
2020-03-18,0.8571428571428571,3,6,0,0,0
2020-03-19,2.5714285714285716,13,19,0,0,0
2020-03-20,3.5714285714285716,7,26,0,0,0
2020-03-21,3.857142857142857,2,28,0,0,0
2020-03-22,3.857142857142857,0,28,0,0,0
2020-03-23,4.142857142857143,2,30,0,0,0
2020-03-24,4.714285714285714,6,36,0,0,0
2020-03-25,5.571428571428571,9,45,0,0,0
2020-03-26,4.571428571428571,6,51,0,0,0
2020-03-27,6,17,68,0.14285714285714285,1,1
2020-03-28,9.428571428571429,26,94,0.14285714285714285,0,1
2020-03-29,10,4,98,0.14285714285714285,0,1
2020-03-30,11.285714285714286,11,109,0.2857142857142857,1,2
2020-03-31,12.285714285714286,13,122,0.42857142857142855,1,3
2020-04-01,13.857142857142858,20,142,0.42857142857142855,0,3
2020-04-02,15.428571428571429,17,159,0.42857142857142855,0,3
2020-04-03,15,14,173,0.2857142857142857,0,3
2020-04-04,13.142857142857142,13,186,0.2857142857142857,0,3
2020-04-05,15.571428571428571,21,207,0.2857142857142857,0,3
2020-04-06,16.571428571428573,18,225,0.14285714285714285,0,3
2020-04-07,16.428571428571427,12,237,0.14285714285714285,1,4
2020-04-08,15.571428571428571,14,251,0.14285714285714285,0,4
2020-04-09,15.714285714285714,18,269,0.2857142857142857,1,5
2020-04-10,15,9,278,0.42857142857142855,1,6
2020-04-11,15.285714285714286,15,293,0.5714285714285714,1,7
2020-04-12,14.428571428571429,15,308,0.5714285714285714,0,7
2020-04-13,15.142857142857142,23,331,0.7142857142857143,1,8
2020-04-14,14.857142857142858,10,341,0.5714285714285714,0,8
2020-04-15,16.285714285714285,24,365,0.7142857142857143,1,9
2020-04-16,17.714285714285715,28,393,0.5714285714285714,0,9
2020-04-17,16.428571428571427,0,393,0.42857142857142855,0,9
2020-04-18,33.57142857142857,135,528,0.2857142857142857,0,9
2020-04-19,39.57142857142857,57,585,0.2857142857142857,0,9
2020-04-20,42.285714285714285,42,627,0.14285714285714285,0,9
2020-04-21,43.285714285714285,17,644,0.7142857142857143,4,13
2020-04-22,44.857142857142854,35,679,0.7142857142857143,1,14
2020-04-23,45.142857142857146,30,709,0.8571428571428571,1,15
2020-04-24,50.714285714285715,39,748,0.8571428571428571,0,15
2020-04-25,39.285714285714285,55,803,1,1,16
2020-04-26,40.285714285714285,64,867,1.1428571428571428,1,17
2020-04-27,45,75,942,1.4285714285714286,2,19
2020-04-28,49.57142857142857,49,991,0.8571428571428571,0,19
2020-04-29,50.57142857142857,42,1033,0.7142857142857143,0,19
2020-04-30,51.142857142857146,34,1067,0.5714285714285714,0,19
2020-05-01,51.285714285714285,40,1107,1.1428571428571428,4,23
2020-05-02,50,46,1153,1.1428571428571428,1,24
2020-05-03,46.285714285714285,38,1191,1.1428571428571428,1,25
2020-05-04,40.42857142857143,34,1225,0.8571428571428571,0,25
2020-05-05,39.285714285714285,41,1266,0.8571428571428571,0,25
2020-05-06,41.42857142857143,57,1323,1.7142857142857142,6,31
2020-05-07,43.42857142857143,48,1371,1.7142857142857142,0,31
2020-05-08,45.42857142857143,54,1425,1.4285714285714286,2,33
2020-05-09,44.42857142857143,39,1464,1.5714285714285714,2,35
2020-05-10,42.857142857142854,27,1491,1.4285714285714286,0,35
2020-05-11,41.857142857142854,27,1518,1.5714285714285714,1,36
2020-05-12,43.57142857142857,53,1571,1.8571428571428572,2,38
2020-05-13,46.285714285714285,76,1647,1.2857142857142858,2,40
2020-05-14,48.714285714285715,65,1712,1.2857142857142858,0,40
2020-05-15,48,49,1761,1.2857142857142858,2,42
2020-05-16,54.857142857142854,87,1848,1,0,42
2020-05-17,58.42857142857143,52,1900,1.1428571428571428,1,43
2020-05-18,59,31,1931,1.1428571428571428,1,44
2020-05-19,60.42857142857143,63,1994,1,1,45
2020-05-20,64,101,2095,1.2857142857142858,4,49
2020-05-21,73.85714285714286,134,2229,1.5714285714285714,2,51
2020-05-22,79.42857142857143,88,2317,1.4285714285714286,1,52
2020-05-23,73.85714285714286,48,2365,1.4285714285714286,0,52
2020-05-24,74,53,2418,1.4285714285714286,1,53
2020-05-25,75.14285714285714,39,2457,1.4285714285714286,1,54
2020-05-26,61.142857142857146,-35,2422,1.2857142857142858,0,54
2020-05-27,49.142857142857146,17,2439,1,2,56
2020-05-28,36,42,2481,0.8571428571428571,1,57
2020-05-29,29,39,2520,1,2,59
2020-05-30,27,34,2554,1.1428571428571428,1,60
2020-05-31,22.714285714285715,23,2577,1.1428571428571428,1,61
2020-06-01,24,48,2625,1,0,61
2020-06-02,32,21,2646,1.5714285714285714,4,65
2020-06-03,34.285714285714285,33,2679,1.4285714285714286,1,66
2020-06-04,32.142857142857146,27,2706,1.2857142857142858,0,66
2020-06-05,32.142857142857146,39,2745,1.7142857142857142,5,71
2020-06-06,37.42857142857143,71,2816,1.7142857142857142,1,72
2020-06-07,40.57142857142857,45,2861,1.5714285714285714,0,72
2020-06-08,36.42857142857143,19,2880,1.5714285714285714,0,72
2020-06-09,36.42857142857143,21,2901,1,0,72
2020-06-10,37.42857142857143,40,2941,1,1,73
2020-06-11,39.142857142857146,39,2980,1.1428571428571428,1,74
2020-06-12,38.714285714285715,36,3016,0.42857142857142855,0,74
2020-06-13,34.57142857142857,42,3058,0.2857142857142857,0,74
2020-06-14,31.285714285714285,22,3080,0.2857142857142857,0,74
2020-06-15,31.571428571428573,21,3101,0.2857142857142857,0,74
2020-06-16,31.857142857142858,23,3124,0.2857142857142857,0,74
2020-06-17,32.142857142857146,42,3166,0.14285714285714285,0,74
2020-06-18,30.428571428571427,27,3193,0.14285714285714285,1,75
2020-06-19,30,33,3226,0.2857142857142857,1,76
2020-06-20,27.571428571428573,25,3251,0.2857142857142857,0,76
2020-06-21,29.714285714285715,37,3288,0.42857142857142855,1,77
2020-06-22,30.285714285714285,25,3313,0.42857142857142855,0,77
2020-06-23,28,7,3320,0.5714285714285714,1,78
2020-06-24,28,42,3362,0.5714285714285714,0,78
2020-06-25,28.571428571428573,31,3393,0.42857142857142855,0,78
2020-06-26,27.857142857142858,28,3421,0.2857142857142857,0,78
2020-06-27,29.571428571428573,37,3458,0.2857142857142857,0,78
2020-06-28,29.571428571428573,37,3495,0.2857142857142857,1,79
2020-06-29,32.285714285714285,44,3539,0.2857142857142857,0,79
2020-06-30,36.57142857142857,37,3576,0.14285714285714285,0,79
2020-07-01,36.142857142857146,39,3615,0.2857142857142857,1,80
2020-07-02,37.714285714285715,42,3657,0.2857142857142857,0,80
2020-07-03,43,65,3722,0.2857142857142857,0,80
2020-07-04,45.857142857142854,57,3779,0.2857142857142857,0,80
2020-07-05,45.857142857142854,37,3816,0.14285714285714285,0,80
2020-07-06,44.285714285714285,33,3849,0.14285714285714285,0,80
2020-07-07,46,49,3898,0.7142857142857143,4,84
2020-07-08,50.857142857142854,73,3971,0.7142857142857143,1,85
2020-07-09,59.142857142857146,100,4071,0.7142857142857143,0,85
2020-07-10,61.857142857142854,84,4155,0.7142857142857143,0,85
2020-07-11,66.28571428571429,88,4243,1,2,87
2020-07-12,74,91,4334,1,0,87
2020-07-13,84.71428571428571,108,4442,1,0,87
2020-07-14,85,51,4493,0.5714285714285714,1,88
2020-07-15,84.85714285714286,72,4565,0.42857142857142855,0,88
2020-07-16,85.28571428571429,103,4668,0.5714285714285714,1,89
2020-07-17,91,124,4792,0.7142857142857143,1,90
2020-07-18,94.85714285714286,115,4907,0.42857142857142855,0,90
2020-07-19,97.85714285714286,112,5019,0.7142857142857143,2,92
2020-07-20,97.71428571428571,107,5126,0.8571428571428571,1,93
2020-07-21,102,81,5207,0.8571428571428571,1,94
2020-07-22,114.57142857142857,160,5367,1.1428571428571428,2,96
2020-07-23,117.85714285714286,126,5493,1.1428571428571428,1,97
2020-07-24,117.42857142857143,121,5614,1.2857142857142858,2,99
2020-07-25,118.42857142857143,122,5736,1.2857142857142858,0,99
2020-07-26,122.42857142857143,140,5876,1,0,99
2020-07-27,122.85714285714286,110,5986,0.8571428571428571,0,99
2020-07-28,133.42857142857142,155,6141,0.8571428571428571,1,100
2020-07-29,122.85714285714286,86,6227,0.8571428571428571,2,102
2020-07-30,115.42857142857143,74,6301,0.8571428571428571,1,103
2020-07-31,122.14285714285714,168,6469,0.5714285714285714,0,103
2020-08-01,123.71428571428571,133,6602,0.5714285714285714,0,103
2020-08-02,112,58,6660,0.8571428571428571,2,105
2020-08-03,114.14285714285714,125,6785,0.8571428571428571,0,105
2020-08-04,113.14285714285714,148,6933,1,2,107
2020-08-05,118.57142857142857,124,7057,0.8571428571428571,1,108
2020-08-06,125.14285714285714,120,7177,0.8571428571428571,1,109
2020-08-07,122.57142857142857,150,7327,1,1,110
2020-08-08,129.42857142857142,181,7508,1.2857142857142858,2,112
2020-08-09,133.71428571428572,88,7596,1,0,112
2020-08-10,132.57142857142858,117,7713,1.1428571428571428,1,113
2020-08-11,136,172,7885,1.5714285714285714,5,118
2020-08-12,130.42857142857142,85,7970,1.7142857142857142,2,120
2020-08-13,142,201,8171,1.5714285714285714,0,120
2020-08-14,142.14285714285714,151,8322,1.5714285714285714,1,121
2020-08-15,133.71428571428572,122,8444,1.2857142857142858,0,121
2020-08-16,141.57142857142858,143,8587,1.8571428571428572,4,125
2020-08-17,133.42857142857142,60,8647,1.8571428571428572,1,126
