,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.2
2020-03-03,0.0,0.5
2020-03-04,0.0,0.7142857142857143
2020-03-05,1.0,1.0
2020-03-06,2.0,1.4285714285714286
2020-03-07,2.0,1.8571428571428572
2020-03-08,2.0,2.2857142857142856
2020-03-09,3.0,2.857142857142857
2020-03-10,3.0,3.7142857142857144
2020-03-11,3.0,4.571428571428571
2020-03-12,5.0,5.285714285714286
2020-03-13,8.0,6.714285714285714
2020-03-14,8.0,8.142857142857142
2020-03-15,7.0,11.285714285714286
2020-03-16,13.0,12.857142857142858
2020-03-17,13.0,13.571428571428571
2020-03-18,25.0,14.571428571428571
2020-03-19,16.0,16.285714285714285
2020-03-20,13.0,17.285714285714285
2020-03-21,15.0,18.285714285714285
2020-03-22,19.0,17.285714285714285
2020-03-23,20.0,17.714285714285715
2020-03-24,20.0,18.857142857142858
2020-03-25,18.0,20.714285714285715
2020-03-26,19.0,25.571428571428573
2020-03-27,21.0,35.714285714285715
2020-03-28,28.0,44.857142857142854
2020-03-29,53.0,69.0
2020-03-30,91.0,148.57142857142858
2020-03-31,84.0,214.85714285714286
2020-04-01,187.0,273.85714285714283
2020-04-02,576.0,329.14285714285717
2020-04-03,485.0,378.57142857142856
2020-04-04,441.0,433.2857142857143
2020-04-05,440.0,482.57142857142856
2020-04-06,437.0,496.0
2020-04-07,467.0,525.4285714285714
2020-04-08,532.0,559.7142857142857
2020-04-09,670.0,588.0
2020-04-10,691.0,617.8571428571429
2020-04-11,681.0,642.8571428571429
2020-04-12,638.0,657.4285714285714
2020-04-13,646.0,643.4285714285714
2020-04-14,642.0,632.7142857142857
2020-04-15,634.0,621.8571428571429
2020-04-16,572.0,612.1428571428571
2020-04-17,616.0,598.0
2020-04-18,605.0,589.4285714285714
2020-04-19,570.0,600.4285714285714
2020-04-20,547.0,624.5714285714286
2020-04-21,582.0,649.2857142857143
2020-04-22,711.0,694.7142857142857
2020-04-23,741.0,741.8571428571429
2020-04-24,789.0,766.2857142857143
2020-04-25,923.0,791.1428571428571
2020-04-26,900.0,800.0
2020-04-27,718.0,771.7142857142857
2020-04-28,756.0,739.5714285714286
2020-04-29,773.0,683.7142857142857
2020-04-30,543.0,629.7142857142857
2020-05-01,564.0,593.5714285714286
2020-05-02,532.0,560.1428571428571
2020-05-03,522.0,529.5714285714286
2020-05-04,465.0,532.0
2020-05-05,522.0,524.1428571428571
2020-05-06,559.0,513.0
2020-05-07,560.0,508.42857142857144
2020-05-08,509.0,553.0
2020-05-09,454.0,732.5714285714286
2020-05-10,490.0,901.1428571428571
2020-05-11,777.0,1056.0
2020-05-12,1779.0,1214.7142857142858
2020-05-13,1739.0,1383.857142857143
2020-05-14,1644.0,1403.7142857142858
2020-05-15,1620.0,1427.5714285714287
2020-05-16,1638.0,1361.7142857142858
2020-05-17,629.0,1291.857142857143
2020-05-18,944.0,1239.142857142857
2020-05-19,1318.0,1187.4285714285713
2020-05-20,1250.0,1089.7142857142858
2020-05-21,1275.0,1091.0
2020-05-22,1258.0,1062.4285714285713
2020-05-23,954.0,1018.7142857142857
2020-05-24,638.0,978.4285714285714
2020-05-25,744.0,944.0
2020-05-26,1012.0,903.2857142857143
2020-05-27,968.0,895.1428571428571
2020-05-28,1034.0,884.0
2020-05-29,973.0,866.8571428571429
2020-05-30,897.0,816.8571428571429
2020-05-31,560.0,874.0
2020-06-01,624.0,911.0
2020-06-02,662.0,946.4285714285714
2020-06-03,1368.0,994.0
2020-06-04,1293.0,1068.4285714285713
2020-06-05,1221.0,1133.142857142857
2020-06-06,1230.0,1191.7142857142858
2020-06-07,1081.0,1148.0
2020-06-08,1077.0,1114.142857142857
2020-06-09,1072.0,1082.0
2020-06-10,1062.0,991.5714285714286
2020-06-11,1056.0,924.1428571428571
2020-06-12,996.0,931.8571428571429
2020-06-13,597.0,933.2857142857143
2020-06-14,609.0,911.2857142857143
2020-06-15,1131.0,914.2857142857143
2020-06-16,1082.0,921.0
2020-06-17,908.0,976.5714285714286
2020-06-18,1077.0,1029.142857142857
2020-06-19,1043.0,1009.8571428571429
2020-06-20,986.0,1014.5714285714286
2020-06-21,977.0,1046.7142857142858
2020-06-22,996.0,1061.0
2020-06-23,1115.0,1074.5714285714287
2020-06-24,1133.0,1098.0
2020-06-25,1177.0,1121.2857142857142
2020-06-26,1138.0,1148.7142857142858
2020-06-27,1150.0,1173.5714285714287
2020-06-28,1140.0,1194.0
2020-06-29,1188.0,1214.4285714285713
2020-06-30,1289.0,1233.2857142857142
2020-07-01,1276.0,1249.7142857142858
2020-07-02,1320.0,1268.2857142857142
2020-07-03,1270.0,1289.857142857143
2020-07-04,1265.0,1318.7142857142858
2020-07-05,1270.0,1356.857142857143
2020-07-06,1339.0,1385.4285714285713
2020-07-07,1491.0,1425.5714285714287
2020-07-08,1543.0,1444.857142857143
2020-07-09,1520.0,1466.2857142857142
2020-07-10,1551.0,1491.7142857142858
2020-07-11,1400.0,1515.7142857142858
2020-07-12,1420.0,1585.4285714285713
2020-07-13,1517.0,1647.857142857143
2020-07-14,1659.0,1705.142857142857
2020-07-15,2031.0,1782.5714285714287
2020-07-16,1957.0,1857.4285714285713
2020-07-17,1952.0,1911.142857142857
2020-07-18,1942.0,1959.142857142857
2020-07-19,1944.0,1947.142857142857
2020-07-20,1893.0,1916.7142857142858
2020-07-21,1995.0,1887.0
2020-07-22,1947.0,1879.7142857142858
2020-07-23,1744.0,1843.857142857143
2020-07-24,1744.0,1841.2857142857142
2020-07-25,1891.0,1833.857142857143
2020-07-26,1693.0,1793.142857142857
2020-07-27,1875.0,1814.4285714285713
2020-07-28,1943.0,1816.142857142857
2020-07-29,1662.0,1813.2857142857142
2020-07-30,1893.0,1839.857142857143
2020-07-31,1756.0,1815.142857142857
2020-08-01,1871.0,1808.7142857142858
2020-08-02,1879.0,1836.2857142857142
2020-08-03,1702.0,1819.857142857143
2020-08-04,1898.0,1819.857142857143
2020-08-05,1855.0,1804.0
2020-08-06,1778.0,1774.7142857142858
2020-08-07,1756.0,1783.4285714285713
2020-08-08,1760.0,1796.4285714285713
2020-08-09,1674.0,1771.142857142857
2020-08-10,1763.0,1775.5714285714287
2020-08-11,1989.0,1754.4285714285713
2020-08-12,1678.0,1727.0
2020-08-13,1809.0,1708.0
2020-08-14,1608.0,1679.4285714285713
2020-08-15,1568.0,1635.0
2020-08-16,1541.0,1620.4285714285713
2020-08-17,1563.0,1587.2857142857142
2020-08-18,1678.0,1571.0
2020-08-19,1576.0,1542.5714285714287
2020-08-20,1577.0,1522.142857142857
2020-08-21,1494.0,1492.0
2020-08-22,1369.0,1449.857142857143
2020-08-23,1398.0,1424.5714285714287
2020-08-24,1352.0,1402.5714285714287
2020-08-25,1383.0,1394.142857142857
2020-08-26,1399.0,1392.2857142857142
2020-08-27,1423.0,1373.0
2020-08-28,1435.0,1373.142857142857
2020-08-29,1356.0,1379.2857142857142
2020-08-30,1263.0,1364.857142857143
2020-08-31,1353.0,1340.0
2020-09-01,1426.0,1306.142857142857
2020-09-02,1298.0,1277.142857142857
2020-09-03,1249.0,1258.2857142857142
2020-09-04,1198.0,1229.142857142857
2020-09-05,1153.0,1193.0
2020-09-06,1131.0,1189.4285714285713
2020-09-07,1149.0,1188.5714285714287
2020-09-08,1173.0,1196.857142857143
2020-09-09,1273.0,1207.2857142857142
2020-09-10,1243.0,1212.142857142857
2020-09-11,1256.0,1227.4285714285713
2020-09-12,1226.0,1244.2857142857142
2020-09-13,1165.0,1231.2857142857142
2020-09-14,1256.0,1216.142857142857
2020-09-15,1291.0,1198.7142857142858
2020-09-16,1182.0,1181.5714285714287
2020-09-17,1137.0,1161.142857142857
