,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0.14285714285714285,1,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.14285714285714285,0,1,0,0,0
2020-03-10,0.2857142857142857,1,2,0,0,0
2020-03-11,0.2857142857142857,0,2,0,0,0
2020-03-12,0.42857142857142855,1,3,0,0,0
2020-03-13,0.42857142857142855,0,3,0,0,0
2020-03-14,0.42857142857142855,1,4,0,0,0
2020-03-15,0.42857142857142855,0,4,0,0,0
2020-03-16,1.2857142857142858,6,10,0,0,0
2020-03-17,2.142857142857143,7,17,0,0,0
2020-03-18,2.142857142857143,0,17,0,0,0
2020-03-19,5.857142857142857,27,44,0.14285714285714285,1,1
2020-03-20,6.571428571428571,5,49,0.14285714285714285,0,1
2020-03-21,7,4,53,0.14285714285714285,0,1
2020-03-22,9,14,67,0.2857142857142857,1,2
2020-03-23,10.142857142857142,14,81,0.2857142857142857,0,2
2020-03-24,12.714285714285714,25,106,0.42857142857142855,1,3
2020-03-25,21,58,164,0.7142857142857143,2,5
2020-03-26,29.142857142857142,84,248,0.8571428571428571,2,7
2020-03-27,39,74,322,1,1,8
2020-03-28,46.285714285714285,55,377,2,7,15
2020-03-29,51.714285714285715,52,429,2,1,16
2020-03-30,57.142857142857146,52,481,2,0,16
2020-03-31,66,87,568,2.857142857142857,7,23
2020-04-01,79.57142857142857,153,721,3.5714285714285716,7,30
2020-04-02,90.42857142857143,160,881,3.857142857142857,4,34
2020-04-03,95.42857142857143,109,990,4.285714285714286,4,38
2020-04-04,112,171,1161,3.857142857142857,4,42
2020-04-05,117.85714285714286,93,1254,4.285714285714286,4,46
2020-04-06,121.14285714285714,75,1329,5,5,51
2020-04-07,129.42857142857142,145,1474,6.285714285714286,16,67
2020-04-08,115,52,1526,7,12,79
2020-04-09,115,160,1686,6.571428571428571,1,80
2020-04-10,114.85714285714286,108,1794,7.142857142857143,8,88
2020-04-11,101,74,1868,7.428571428571429,6,94
2020-04-12,102.28571428571429,102,1970,7.142857142857143,2,96
2020-04-13,105.71428571428571,99,2069,6.857142857142857,3,99
2020-04-14,101.42857142857143,115,2184,5.857142857142857,9,108
2020-04-15,105.28571428571429,79,2263,6.285714285714286,15,123
2020-04-16,95.85714285714286,94,2357,7.285714285714286,8,131
2020-04-17,95.85714285714286,108,2465,6.857142857142857,5,136
2020-04-18,85.28571428571429,0,2465,6,0,136
2020-04-19,85.28571428571429,102,2567,6.285714285714286,4,140
2020-04-20,87.28571428571429,113,2680,6.285714285714286,3,143
2020-04-21,89,127,2807,8,21,164
2020-04-22,90.14285714285714,87,2894,6.714285714285714,6,170
2020-04-23,94.28571428571429,123,3017,6.857142857142857,9,179
2020-04-24,93.71428571428571,104,3121,7.428571428571429,9,188
2020-04-25,104.14285714285714,73,3194,8.285714285714286,6,194
2020-04-26,98.14285714285714,60,3254,7.857142857142857,1,195
2020-04-27,85.85714285714286,27,3281,7.714285714285714,2,197
2020-04-28,86.14285714285714,129,3410,6.142857142857143,10,207
2020-04-29,82.71428571428571,63,3473,6.285714285714286,7,214
2020-04-30,85.85714285714286,145,3618,6.142857142857143,8,222
2020-05-01,89.57142857142857,130,3748,6,8,230
2020-05-02,93.85714285714286,103,3851,6.285714285714286,8,238
2020-05-03,102.57142857142857,121,3972,6.142857142857143,0,238
2020-05-04,109,72,4044,5.857142857142857,0,238
2020-05-05,102.42857142857143,83,4127,5.714285714285714,9,247
2020-05-06,104.14285714285714,75,4202,5.571428571428571,6,253
2020-05-07,101.71428571428571,128,4330,5.428571428571429,7,260
2020-05-08,96.57142857142857,94,4424,5.142857142857143,6,266
2020-05-09,91.28571428571429,66,4490,4.571428571428571,4,270
2020-05-10,88.14285714285714,99,4589,4.857142857142857,2,272
2020-05-11,81.28571428571429,24,4613,5.142857142857143,2,274
2020-05-12,86.42857142857143,119,4732,4.428571428571429,4,278
2020-05-13,93.71428571428571,126,4858,3.5714285714285716,0,278
2020-05-14,90.42857142857143,105,4963,3.4285714285714284,6,284
2020-05-15,94.71428571428571,124,5087,2.7142857142857144,1,285
2020-05-16,106.71428571428571,150,5237,2.5714285714285716,3,288
2020-05-17,103,73,5310,2.2857142857142856,0,288
2020-05-18,112.14285714285714,88,5398,2,0,288
2020-05-19,108.14285714285714,91,5489,2.142857142857143,5,293
2020-05-20,96.28571428571429,43,5532,3,6,299
2020-05-21,102.42857142857143,148,5680,2.857142857142857,5,304
2020-05-22,108.85714285714286,169,5849,3.142857142857143,3,307
2020-05-23,103.28571428571429,111,5960,3.2857142857142856,4,311
2020-05-24,103.85714285714286,77,6037,3.2857142857142856,0,311
2020-05-25,98.85714285714286,53,6090,3.5714285714285716,2,313
2020-05-26,92.71428571428571,48,6138,3.5714285714285716,5,318
2020-05-27,99.57142857142857,91,6229,3.2857142857142856,4,322
2020-05-28,84.71428571428571,44,6273,3,3,325
2020-05-29,69.85714285714286,65,6338,3.142857142857143,4,329
2020-05-30,65.42857142857143,80,6418,3.2857142857142856,5,334
2020-05-31,54.42857142857143,0,6418,3.2857142857142856,0,334
2020-06-01,69,155,6573,3,0,334
2020-06-02,79.14285714285714,119,6692,3,5,339
2020-06-03,82.28571428571429,113,6805,2.7142857142857144,2,341
2020-06-04,90.57142857142857,102,6907,2.7142857142857144,3,344
2020-06-05,95.57142857142857,100,7007,2.2857142857142856,1,345
2020-06-06,91.57142857142857,52,7059,1.8571428571428572,2,347
2020-06-07,104.57142857142857,91,7150,2,1,348
2020-06-08,90.28571428571429,55,7205,2,0,348
2020-06-09,95.85714285714286,158,7363,2.142857142857143,6,354
2020-06-10,96.85714285714286,120,7483,2.142857142857143,2,356
2020-06-11,102.71428571428571,143,7626,2,2,358
2020-06-12,120.28571428571429,223,7849,2.142857142857143,2,360
2020-06-13,144.85714285714286,224,8073,1.7142857142857142,-1,359
2020-06-14,154.42857142857142,158,8231,1.5714285714285714,0,359
2020-06-15,173.14285714285714,186,8417,1.5714285714285714,0,359
2020-06-16,183.14285714285714,228,8645,1.2857142857142858,4,363
2020-06-17,203,259,8904,1.1428571428571428,1,364
2020-06-18,247,451,9355,1.1428571428571428,2,366
2020-06-19,265.42857142857144,352,9707,1,1,367
2020-06-20,280.7142857142857,331,10038,1.2857142857142858,1,368
2020-06-21,326.42857142857144,478,10516,1.4285714285714286,1,369
2020-06-22,331,218,10734,1.4285714285714286,0,369
2020-06-23,340.85714285714283,297,11031,1.1428571428571428,2,371
2020-06-24,372.2857142857143,479,11510,1.1428571428571428,1,372
2020-06-25,370.42857142857144,438,11948,1.2857142857142858,3,375
2020-06-26,377.14285714285717,399,12347,1.4285714285714286,2,377
2020-06-27,372.57142857142856,299,12646,2.2857142857142856,7,384
2020-06-28,347.2857142857143,301,12947,2.2857142857142856,1,385
2020-06-29,348.7142857142857,228,13175,2.2857142857142856,0,385
2020-06-30,389.42857142857144,582,13757,2.2857142857142856,2,387
2020-07-01,372.7142857142857,362,14119,2.4285714285714284,2,389
2020-07-02,369,412,14531,2.857142857142857,6,395
2020-07-03,388.85714285714283,538,15069,3,3,398
2020-07-04,428.85714285714283,579,15648,2,0,398
2020-07-05,426.2857142857143,283,15931,1.8571428571428572,0,398
2020-07-06,455.2857142857143,431,16362,2,1,399
2020-07-07,494.7142857142857,858,17220,2.4285714285714284,5,404
2020-07-08,539.2857142857143,674,17894,2.5714285714285716,3,407
2020-07-09,566.5714285714286,603,18497,2.142857142857143,3,410
2020-07-10,574.7142857142857,595,19092,2.5714285714285716,6,416
2020-07-11,590.1428571428571,687,19779,3.2857142857142856,5,421
2020-07-12,614.8571428571429,456,20235,3.4285714285714284,1,422
2020-07-13,626.2857142857143,511,20746,3.5714285714285716,2,424
2020-07-14,645.7142857142857,994,21740,3.4285714285714284,4,428
2020-07-15,702.8571428571429,1074,22814,3.5714285714285716,4,432
2020-07-16,706.1428571428571,626,23440,4,6,438
2020-07-17,721.1428571428571,700,24140,4.142857142857143,7,445
2020-07-18,754,917,25057,4.285714285714286,6,451
2020-07-19,718.7142857142857,209,25266,4.142857142857143,0,451
2020-07-20,670,170,25436,4,1,452
2020-07-21,655.1428571428571,890,26326,4.714285714285714,9,461
2020-07-22,640.5714285714286,972,27298,6,13,474
2020-07-23,647,671,27969,5.571428571428571,3,477
2020-07-24,710.8571428571429,1147,29116,5.571428571428571,7,484
2020-07-25,717.7142857142857,965,30081,6.428571428571429,12,496
2020-07-26,859.8571428571429,1204,31285,6.428571428571429,0,496
2020-07-27,1035.5714285714287,1400,32685,6.285714285714286,0,496
2020-07-28,1064.142857142857,1090,33775,6.857142857142857,13,509
2020-07-29,1046.4285714285713,848,34623,7,14,523
2020-07-30,1110.142857142857,1117,35740,8.428571428571429,13,536
2020-07-31,1053,747,36487,8.142857142857142,5,541
2020-08-01,1092.857142857143,1244,37731,7.571428571428571,8,549
2020-08-02,991.4285714285714,494,38225,7.714285714285714,1,550
2020-08-03,845.2857142857143,377,38602,7.857142857142857,1,551
2020-08-04,812.5714285714286,861,39463,8.142857142857142,15,566
2020-08-05,848.7142857142857,1101,40564,8.571428571428571,17,583
2020-08-06,808.7142857142857,837,41401,8.142857142857142,10,593
2020-08-07,824,854,42255,8.428571428571429,7,600
2020-08-08,764.1428571428571,825,43080,7.714285714285714,3,603
2020-08-09,763,486,43566,7.571428571428571,0,603
2020-08-10,765.8571428571429,397,43963,7.714285714285714,2,605
2020-08-11,752.1428571428571,765,44728,7.428571428571429,13,618
2020-08-12,690.5714285714286,670,45398,6.285714285714286,9,627
2020-08-13,671.7142857142857,705,46103,6.428571428571429,11,638
2020-08-14,663.1428571428571,794,46897,6.285714285714286,6,644
2020-08-15,674,901,47798,7.714285714285714,13,657
2020-08-16,682.2857142857143,544,48342,8.285714285714286,4,661
2020-08-17,678.2857142857143,369,48711,8.571428571428571,4,665
