,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.2857142857142857,2,2,0,0,0
2020-03-07,0.2857142857142857,0,2,0,0,0
2020-03-08,0.8571428571428571,4,6,0,0,0
2020-03-09,1,1,7,0,0,0
2020-03-10,1.7142857142857142,5,12,0,0,0
2020-03-11,2.2857142857142856,4,16,0,0,0
2020-03-12,3.142857142857143,6,22,0,0,0
2020-03-13,5.571428571428571,19,41,0,0,0
2020-03-14,6.428571428571429,6,47,0,0,0
2020-03-15,5.857142857142857,0,47,0,0,0
2020-03-16,10.285714285714286,32,79,0,0,0
2020-03-17,14.285714285714286,33,112,0,0,0
2020-03-18,19.857142857142858,43,155,0.14285714285714285,1,1
2020-03-19,26.285714285714285,51,206,0.14285714285714285,0,1
2020-03-20,38.57142857142857,105,311,0.14285714285714285,0,1
2020-03-21,50.285714285714285,88,399,0.2857142857142857,1,2
2020-03-22,66,110,509,0.5714285714285714,2,4
2020-03-23,88.42857142857143,189,698,0.8571428571428571,2,6
2020-03-24,119.14285714285714,248,946,1.1428571428571428,2,8
2020-03-25,157.85714285714286,314,1260,2,7,15
2020-03-26,227,535,1795,2.4285714285714284,3,18
2020-03-27,290.57142857142856,550,2345,3,4,22
2020-03-28,349.42857142857144,500,2845,4.571428571428571,12,34
2020-03-29,417.57142857142856,587,3432,5.285714285714286,7,41
2020-03-30,493.85714285714283,723,4155,6.285714285714286,9,50
2020-03-31,573.8571428571429,808,4963,7.857142857142857,13,63
2020-04-01,678.4285714285714,1046,6009,8.428571428571429,11,74
2020-04-02,781.8571428571429,1259,7268,10.285714285714286,16,90
2020-04-03,889.2857142857143,1302,8570,11.428571428571429,12,102
2020-04-04,1085.5714285714287,1874,10444,14.571428571428571,34,136
2020-04-05,1165.2857142857142,1145,11589,15.714285714285714,15,151
2020-04-06,1281.7142857142858,1538,13127,18.428571428571427,28,179
2020-04-07,1412.857142857143,1726,14853,26.285714285714285,68,247
2020-04-08,1517.4285714285713,1778,16631,34.857142857142854,71,318
2020-04-09,1576,1669,18300,36.42857142857143,27,345
2020-04-10,1640.142857142857,1751,20051,45.142857142857146,73,418
2020-04-11,1610.7142857142858,1668,21719,52.42857142857143,85,503
2020-04-12,1621.2857142857142,1219,22938,58,54,557
2020-04-13,1595,1354,24292,58.57142857142857,32,589
2020-04-14,1516,1173,25465,63.42857142857143,102,691
2020-04-15,1446,1288,26753,65.85714285714286,88,779
2020-04-16,1422.5714285714287,1505,28258,70.85714285714286,62,841
2020-04-17,1405.2857142857142,1630,29888,71.85714285714286,80,921
2020-04-18,1419,1764,31652,77,121,1042
2020-04-19,1423.4285714285713,1250,32902,102.71428571428571,234,1276
2020-04-20,1374.5714285714287,1012,33914,108.42857142857143,72,1348
2020-04-21,1397.7142857142858,1335,35249,131.85714285714286,266,1614
2020-04-22,1332.7142857142858,833,36082,127.71428571428571,59,1673
2020-04-23,1445.857142857143,2297,38379,126.14285714285714,51,1724
2020-04-24,1474.2857142857142,1829,40208,118,23,1747
2020-04-25,1357.2857142857142,945,41153,107.28571428571429,46,1793
2020-04-26,1387.7142857142858,1463,42616,77.14285714285714,23,1816
2020-04-27,1377.7142857142858,942,43558,76.85714285714286,70,1886
2020-04-28,1412.5714285714287,1579,45137,61.714285714285715,160,2046
2020-04-29,1463.5714285714287,1190,46327,100,327,2373
2020-04-30,1370.2857142857142,1644,47971,107.28571428571429,102,2475
2020-05-01,1338.7142857142858,1608,49579,126.85714285714286,160,2635
2020-05-02,1334.4285714285713,915,50494,128.85714285714286,60,2695
2020-05-03,1229.857142857143,731,51225,129.14285714285714,25,2720
2020-05-04,1322.5714285714287,1591,52816,136,118,2838
2020-05-05,1246.7142857142858,1048,53864,161.85714285714286,341,3179
2020-05-06,1210.4285714285713,936,54800,138.85714285714286,166,3345
2020-05-07,1140.7142857142858,1156,55956,159.14285714285714,244,3589
2020-05-08,1113.142857142857,1415,57371,154.28571428571428,126,3715
2020-05-09,1152.2857142857142,1189,58560,154.85714285714286,64,3779
2020-05-10,1244.857142857143,1379,59939,155.14285714285714,27,3806
2020-05-11,1091.857142857143,520,60459,142,26,3832
2020-05-12,1063.7142857142858,851,61310,105,82,3914
2020-05-13,1043,791,62101,107,180,4094
2020-05-14,1021.2857142857143,1004,63105,99.85714285714286,194,4288
2020-05-15,966.4285714285714,1031,64136,101,134,4422
2020-05-16,946.4285714285714,1049,65185,100.14285714285714,58,4480
2020-05-17,823,515,65700,98.42857142857143,15,4495
2020-05-18,887.1428571428571,969,66669,97.57142857142857,20,4515
2020-05-19,857.2857142857143,642,67311,102,113,4628
2020-05-20,860.7142857142857,815,68126,96.57142857142857,142,4770
2020-05-21,878.1428571428571,1126,69252,83,99,4869
2020-05-22,867.8571428571429,959,70211,84,141,5010
2020-05-23,832,798,71009,90.28571428571429,102,5112
2020-05-24,837.5714285714286,554,71563,91.57142857142857,24,5136
2020-05-25,750.8571428571429,362,71925,90.14285714285714,10,5146
2020-05-26,781,853,72778,76.42857142857143,17,5163
2020-05-27,775.8571428571429,779,73557,70.71428571428571,102,5265
2020-05-28,709.7142857142857,663,74220,72,108,5373
2020-05-29,681.8571428571429,764,74984,64.85714285714286,91,5464
2020-05-30,669.7142857142857,713,75697,60.714285714285715,73,5537
2020-05-31,652.2857142857143,432,76129,59.857142857142854,18,5555
2020-06-01,674.4285714285714,517,76646,60.142857142857146,12,5567
2020-06-02,635.2857142857143,579,77225,72,100,5667
2020-06-03,603.2857142857143,555,77780,68.14285714285714,75,5742
2020-06-04,587.8571428571429,555,78335,65.57142857142857,90,5832
2020-06-05,547.2857142857143,480,78815,62,66,5898
2020-06-06,544,690,79505,56.285714285714285,33,5931
2020-06-07,539.8571428571429,403,79908,55.42857142857143,12,5943
2020-06-08,527.5714285714286,431,80339,55.142857142857146,10,5953
2020-06-09,520.7142857142857,531,80870,49.57142857142857,61,6014
2020-06-10,505.14285714285717,446,81316,45.714285714285715,48,6062
2020-06-11,501.85714285714283,532,81848,40.142857142857146,51,6113
2020-06-12,523.7142857142857,633,82481,37.714285714285715,49,6162
2020-06-13,491.2857142857143,463,82944,40,49,6211
2020-06-14,470.7142857142857,259,83203,38.857142857142854,4,6215
2020-06-15,464.2857142857143,386,83589,41.42857142857143,28,6243
2020-06-16,444,389,83978,37.42857142857143,33,6276
2020-06-17,424.7142857142857,311,84289,36.714285714285715,43,6319
2020-06-18,405,394,84683,35.42857142857143,42,6361
2020-06-19,388.2857142857143,516,85199,33.857142857142854,38,6399
2020-06-20,378,391,85590,29.714285714285715,20,6419
2020-06-21,390.2857142857143,345,85935,29.714285714285715,4,6423
2020-06-22,426.7142857142857,641,86576,26.142857142857142,3,6426
2020-06-23,461.42857142857144,632,87208,26.857142857142858,38,6464
2020-06-24,485.14285714285717,477,87685,28.428571428571427,54,6518
2020-06-25,494,456,88141,28,39,6557
2020-06-26,523,719,88860,25.714285714285715,22,6579
2020-06-27,550.8571428571429,586,89446,26.285714285714285,24,6603
2020-06-28,561.1428571428571,417,89863,26.142857142857142,3,6606
2020-06-29,555.8571428571429,604,90467,26.857142857142858,8,6614
2020-06-30,561.5714285714286,672,91139,26.428571428571427,35,6649
2020-07-01,584.2857142857143,636,91775,23.714285714285715,35,6684
2020-07-02,638.7142857142857,837,92612,22.142857142857142,28,6712
2020-07-03,647.4285714285714,780,93392,23.857142857142858,34,6746
2020-07-04,639.4285714285714,530,93922,20.857142857142858,3,6749
2020-07-05,648.5714285714286,481,94403,21,4,6753
2020-07-06,661.8571428571429,697,95100,20,1,6754
2020-07-07,679.8571428571429,798,95898,19.714285714285715,33,6787
2020-07-08,707.1428571428571,827,96725,18.285714285714285,25,6812
2020-07-09,704.2857142857143,817,97542,19.428571428571427,36,6848
2020-07-10,727.1428571428571,940,98482,19.142857142857142,32,6880
2020-07-11,756.2857142857143,734,99216,21.142857142857142,17,6897
2020-07-12,770.1428571428571,578,99794,21.571428571428573,7,6904
2020-07-13,747.1428571428571,536,100330,22.428571428571427,7,6911
2020-07-14,766.8571428571429,936,101266,20.571428571428573,20,6931
2020-07-15,792,1003,102269,20.714285714285715,26,6957
2020-07-16,790.4285714285714,806,103075,19.428571428571427,27,6984
2020-07-17,799.5714285714286,1004,104079,17.714285714285715,20,7004
2020-07-18,794.8571428571429,701,104780,16.857142857142858,11,7015
2020-07-19,798.5714285714286,604,105384,16.857142857142858,7,7022
2020-07-20,867.8571428571429,1021,106405,16.285714285714285,3,7025
2020-07-21,884.8571428571429,1055,107460,17.142857142857142,26,7051
2020-07-22,850.5714285714286,763,108223,17.142857142857142,26,7077
2020-07-23,861.4285714285714,882,109105,15.571428571428571,16,7093
2020-07-24,887.5714285714286,1187,110292,16,23,7116
2020-07-25,905,823,111115,15.571428571428571,8,7124
2020-07-26,908.7142857142857,630,111745,15,3,7127
2020-07-27,941.4285714285714,1250,112995,15.142857142857142,4,7131
2020-07-28,946.1428571428571,1088,114083,14.714285714285714,23,7154
2020-07-29,959.4285714285714,856,114939,13.428571428571429,17,7171
2020-07-30,957.4285714285714,868,115807,14.428571428571429,23,7194
2020-07-31,927.8571428571429,980,116787,13,13,7207
2020-08-01,907.5714285714286,681,117468,13.571428571428571,12,7219
2020-08-02,898.2857142857143,565,118033,13.714285714285714,4,7223
2020-08-03,842.7142857142857,861,118894,13.285714285714286,1,7224
2020-08-04,805.8571428571429,830,119724,13.428571428571429,24,7248
2020-08-05,786.7142857142857,722,120446,11.857142857142858,6,7254
2020-08-06,777.1428571428571,801,121247,12.571428571428571,28,7282
2020-08-07,748.7142857142857,781,122028,12.714285714285714,14,7296
2020-08-08,742.4285714285714,637,122665,13,14,7310
2020-08-09,754.1428571428571,647,123312,12.571428571428571,1,7311
2020-08-10,761,909,124221,12.857142857142858,3,7314
2020-08-11,756,795,125016,13.571428571428571,29,7343
2020-08-12,781.7142857142857,902,125918,18,37,7380
