,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,0.0
2021-01-18,0.0,1014.2857142857143
2021-01-19,0.0,2609.285714285714
2021-01-20,0.0,4571.142857142857
2021-01-21,7100.0,6244.571428571428
2021-01-22,11165.0,7806.142857142857
2021-01-23,13733.0,8298.142857142857
2021-01-24,11714.0,8450.142857142857
2021-01-25,10931.0,9018.857142857143
2021-01-26,3444.0,9197.714285714286
2021-01-27,1064.0,8967.857142857143
2021-01-28,11081.0,8974.0
2021-01-29,12417.0,9317.285714285714
2021-01-30,12124.0,9403.142857142857
2021-01-31,11757.0,9251.142857142857
2021-02-01,13334.0,9558.42857142857
2021-02-02,4045.0,9448.857142857143
2021-02-03,0.0,9103.0
2021-02-04,13232.0,9090.57142857143
2021-02-05,11650.0,7185.714285714285
2021-02-06,9703.0,6607.857142857143
2021-02-07,11670.0,8658.285714285714
2021-02-08,0.0,8242.42857142857
2021-02-09,0.0,8376.857142857143
2021-02-10,14353.0,6990.714285714285
2021-02-11,10321.0,10163.285714285714
2021-02-12,12591.0,11861.0
2021-02-13,0.0,11861.0
2021-02-14,33878.0,10447.57142857143
2021-02-15,11884.0,9681.142857142857
2021-02-16,0.0,10157.0
2021-02-17,4459.0,15970.857142857143
2021-02-18,4956.0,13241.42857142857
2021-02-19,15922.0,13393.42857142857
2021-02-20,40697.0,13959.714285714286
2021-02-21,14772.0,13322.714285714286
2021-02-22,12948.0,14711.142857142857
2021-02-23,3964.0,14569.0
2021-02-24,0.0,12517.42857142857
2021-02-25,14675.0,10651.142857142857
2021-02-26,14927.0,10448.57142857143
2021-02-27,26336.0,10603.57142857143
2021-02-28,1708.0,10607.857142857143
2021-03-01,11530.0,10415.857142857143
2021-03-02,5049.0,12169.0
2021-03-03,30.0,8536.142857142857
2021-03-04,13331.0,10497.42857142857
2021-03-05,27199.0,11961.285714285714
2021-03-06,906.0,11526.857142857143
2021-03-07,15437.0,11522.57142857143
2021-03-08,21777.0,15230.142857142857
2021-03-09,2008.0,11477.714285714286
2021-03-10,0.0,14564.57142857143
2021-03-11,39284.0,19615.428571428572
2021-03-12,932.0,16504.428571428572
2021-03-13,22514.0,16232.857142857143
2021-03-14,50793.0,18513.0
2021-03-15,0.0,16221.714285714286
2021-03-16,107.0,19798.428571428572
2021-03-17,15961.0,20266.571428571428
2021-03-18,23245.0,16341.42857142857
2021-03-19,25969.0,19646.428571428572
2021-03-20,25791.0,21024.428571428572
2021-03-21,23317.0,19699.428571428572
2021-03-22,23135.0,18937.85714285714
2021-03-23,9753.0,19763.14285714286
2021-03-24,6686.0,20177.85714285714
2021-03-25,17914.0,21778.428571428572
2021-03-26,31746.0,22520.0
2021-03-27,28694.0,22834.285714285714
2021-03-28,34521.0,22826.85714285714
2021-03-29,28326.0,23901.714285714286
2021-03-30,11953.0,23168.714285714286
2021-03-31,6634.0,23854.85714285714
2021-04-01,25438.0,21717.285714285714
2021-04-02,26615.0,18186.0
2021-04-03,33497.0,17462.85714285714
2021-04-04,19558.0,17175.571428571428
2021-04-05,3607.0,16825.14285714286
2021-04-06,6891.0,18349.428571428572
2021-04-07,4623.0,18284.571428571428
2021-04-08,22985.0,20551.714285714286
2021-04-09,37285.0,25295.571428571428
2021-04-10,33043.0,26684.571428571428
2021-04-11,35428.0,29744.571428571428
2021-04-12,36814.0,37546.0
2021-04-13,16614.0,37080.71428571428
2021-04-14,26043.0,36337.57142857143
2021-04-15,77595.0,35684.71428571428
2021-04-16,34028.0,32436.714285714286
2021-04-17,27841.0,36595.71428571428
2021-04-18,30858.0,37532.57142857143
2021-04-19,14078.0,30477.85714285714
2021-04-20,45727.0,33805.42857142857
2021-04-21,32601.0,32935.42857142857
2021-04-22,28212.0,29781.285714285714
2021-04-23,57321.0,28497.428571428572
2021-04-24,21751.0,26036.0
2021-04-25,8779.0,25198.285714285714
2021-04-26,5091.0,29066.285714285714
2021-04-27,28497.0,25599.571428571428
2021-04-28,26737.0,26555.428571428572
2021-04-29,55288.0,26981.428571428572
2021-04-30,33054.0,27680.85714285714
2021-05-01,28442.0,23609.85714285714
2021-05-02,11761.0,26601.714285714286
2021-05-03,9987.0,23787.571428571428
2021-05-04,0.0,25376.714285714286
2021-05-05,47680.0,27172.714285714286
2021-05-06,35589.0,30768.85714285714
2021-05-07,44178.0,32430.714285714286
2021-05-08,41014.0,33680.42857142857
2021-05-09,36934.0,31068.571428571428
2021-05-10,21620.0,30438.428571428572
2021-05-11,8748.0,28635.0
2021-05-12,29397.0,27744.428571428572
2021-05-13,31178.0,27306.428571428572
2021-05-14,31554.0,24280.714285714286
2021-05-15,34780.0,23712.14285714286
2021-05-16,33868.0,23266.14285714286
2021-05-17,440.0,23852.14285714286
2021-05-18,4768.0,23528.571428571428
2021-05-19,26275.0,18709.285714285714
2021-05-20,35280.0,18246.0
2021-05-21,29289.0,22336.428571428572
2021-05-22,1045.0,28426.85714285714
2021-05-23,30625.0,29005.14285714286
2021-05-24,29073.0,28533.85714285714
2021-05-25,47401.0,56001.57142857143
2021-05-26,30323.0,65161.0
2021-05-27,31981.0,72068.2
2021-05-28,221563.0,82817.0
