,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.2857142857142857
2020-03-05,0.0,0.2857142857142857
2020-03-06,0.0,0.42857142857142855
2020-03-07,2.0,1.0
2020-03-08,0.0,1.4285714285714286
2020-03-09,1.0,1.0
2020-03-10,4.0,1.1428571428571428
2020-03-11,3.0,2.4285714285714284
2020-03-12,-3.0,2.4285714285714284
2020-03-13,1.0,3.857142857142857
2020-03-14,11.0,5.714285714285714
2020-03-15,0.0,7.142857142857143
2020-03-16,11.0,10.428571428571429
2020-03-17,17.0,16.857142857142858
2020-03-18,13.0,22.142857142857142
2020-03-19,20.0,25.285714285714285
2020-03-20,46.0,38.285714285714285
2020-03-21,48.0,42.142857142857146
2020-03-22,22.0,52.0
2020-03-23,102.0,49.142857142857146
2020-03-24,44.0,59.42857142857143
2020-03-25,82.0,69.42857142857143
2020-03-26,0.0,82.57142857142857
2020-03-27,118.0,89.57142857142857
2020-03-28,118.0,105.85714285714286
