,inpatient_beds_used_covid,7_day_avg
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.2857142857142857
2020-03-13,0.0,0.42857142857142855
2020-03-14,1.0,0.5714285714285714
2020-03-15,1.0,0.7142857142857143
2020-03-16,1.0,0.7142857142857143
2020-03-17,1.0,0.7142857142857143
2020-03-18,1.0,0.5714285714285714
2020-03-19,0.0,0.42857142857142855
2020-03-20,0.0,0.2857142857142857
2020-03-21,0.0,0.14285714285714285
2020-03-22,0.0,0.0
2020-03-23,0.0,0.0
2020-03-24,0.0,0.0
2020-03-25,0.0,0.0
2020-03-26,0.0,0.0
2020-03-27,0.0,2.7142857142857144
2020-03-28,0.0,10.857142857142858
2020-03-29,0.0,25.571428571428573
2020-03-30,19.0,43.142857142857146
2020-03-31,57.0,57.285714285714285
2020-04-01,103.0,73.85714285714286
2020-04-02,123.0,92.42857142857143
2020-04-03,99.0,116.14285714285714
2020-04-04,116.0,134.85714285714286
2020-04-05,130.0,146.57142857142858
2020-04-06,185.0,156.28571428571428
2020-04-07,188.0,187.28571428571428
2020-04-08,185.0,225.28571428571428
2020-04-09,191.0,262.0
2020-04-10,316.0,297.42857142857144
2020-04-11,382.0,331.7142857142857
2020-04-12,387.0,364.2857142857143
2020-04-13,433.0,401.2857142857143
2020-04-14,428.0,421.85714285714283
2020-04-15,413.0,430.57142857142856
2020-04-16,450.0,435.57142857142856
2020-04-17,460.0,437.14285714285717
2020-04-18,443.0,446.85714285714283
2020-04-19,422.0,458.57142857142856
2020-04-20,444.0,464.42857142857144
2020-04-21,496.0,468.57142857142856
2020-04-22,495.0,470.0
2020-04-23,491.0,474.2857142857143
2020-04-24,489.0,480.2857142857143
2020-04-25,453.0,479.2857142857143
2020-04-26,452.0,476.14285714285717
2020-04-27,486.0,471.14285714285717
2020-04-28,489.0,462.7142857142857
2020-04-29,473.0,456.42857142857144
2020-04-30,456.0,449.85714285714283
2020-05-01,430.0,447.7142857142857
2020-05-02,409.0,446.85714285714283
