,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0.2857142857142857,2,2,0,0,0
2020-03-08,0.2857142857142857,0,2,0,0,0
2020-03-09,0.42857142857142855,1,3,0,0,0
2020-03-10,1,4,7,0,0,0
2020-03-11,1.4285714285714286,3,10,0,0,0
2020-03-12,1,-3,7,0,0,0
2020-03-13,1.1428571428571428,1,8,0,0,0
2020-03-14,2.4285714285714284,11,19,0,0,0
2020-03-15,2.4285714285714284,0,19,0,0,0
2020-03-16,3.857142857142857,11,30,0.14285714285714285,1,1
2020-03-17,5.714285714285714,17,47,0.14285714285714285,0,1
2020-03-18,7.142857142857143,13,60,0.14285714285714285,0,1
2020-03-19,10.428571428571429,20,80,0.14285714285714285,0,1
2020-03-20,16.857142857142858,46,126,0.42857142857142855,2,3
2020-03-21,22.142857142857142,48,174,0.42857142857142855,0,3
2020-03-22,25.285714285714285,22,196,0.42857142857142855,0,3
2020-03-23,38.285714285714285,102,298,0.5714285714285714,2,5
2020-03-24,42.142857142857146,44,342,0.5714285714285714,0,5
2020-03-25,52,82,424,0.8571428571428571,2,7
2020-03-26,49.142857142857146,0,424,1.1428571428571428,2,9
2020-03-27,59.42857142857143,118,542,1.4285714285714286,4,13
2020-03-28,69.42857142857143,118,660,1.7142857142857142,2,15
2020-03-29,82.57142857142857,114,774,1.8571428571428572,1,16
2020-03-30,89.57142857142857,151,925,1.8571428571428572,2,18
2020-03-31,105.85714285714286,158,1083,2.4285714285714284,4,22
2020-04-01,124.14285714285714,210,1293,2.7142857142857144,4,26
2020-04-02,161.42857142857142,261,1554,3.142857142857143,5,31
2020-04-03,165.42857142857142,146,1700,3,3,34
2020-04-04,179.57142857142858,217,1917,3.5714285714285716,6,40
2020-04-05,182.14285714285714,132,2049,4,4,44
2020-04-06,186.71428571428572,183,2232,4.285714285714286,4,48
2020-04-07,190.57142857142858,185,2417,4.142857142857143,3,51
2020-04-08,160.57142857142858,0,2417,3.5714285714285716,0,51
2020-04-09,177,376,2793,5.142857142857143,16,67
2020-04-10,195.28571428571428,274,3067,5.428571428571429,5,72
2020-04-11,184.85714285714286,144,3211,5.714285714285714,8,80
2020-04-12,181.57142857142858,109,3320,5.428571428571429,2,82
2020-04-13,165.57142857142858,71,3391,4.857142857142857,0,82
2020-04-14,162.28571428571428,162,3553,6.571428571428571,15,97
2020-04-15,177,103,3656,7.857142857142857,9,106
2020-04-16,162.57142857142858,275,3931,6.285714285714286,5,111
2020-04-17,147.42857142857142,168,4099,6.285714285714286,5,116
2020-04-18,148.14285714285714,149,4248,5.571428571428571,3,119
2020-04-19,151,129,4377,5.428571428571429,1,120
2020-04-20,150.71428571428572,69,4446,5.857142857142857,3,123
2020-04-21,126.57142857142857,-7,4439,3.857142857142857,1,124
2020-04-22,157.85714285714286,322,4761,4.857142857142857,16,140
2020-04-23,140.85714285714286,156,4917,5.571428571428571,10,150
2020-04-24,138.71428571428572,153,5070,5.857142857142857,7,157
2020-04-25,143.57142857142858,183,5253,6.714285714285714,9,166
2020-04-26,160.14285714285714,245,5498,7.714285714285714,8,174
2020-04-27,166.71428571428572,115,5613,7.714285714285714,3,177
2020-04-28,185.14285714285714,122,5735,9.714285714285714,15,192
2020-04-29,160.14285714285714,147,5882,13,39,231
2020-04-30,168.28571428571428,213,6095,13.428571428571429,13,244
2020-05-01,169.71428571428572,163,6258,14.142857142857142,12,256
2020-05-02,176.57142857142858,231,6489,14.428571428571429,11,267
2020-05-03,161.14285714285714,137,6626,14.428571428571429,8,275
2020-05-04,163.42857142857142,131,6757,15.142857142857142,8,283
2020-05-05,158,84,6841,14.857142857142858,13,296
2020-05-06,150.57142857142858,95,6936,10.571428571428571,9,305
2020-05-07,149.57142857142858,206,7142,10.285714285714286,11,316
2020-05-08,158.42857142857142,225,7367,9.142857142857142,4,320
2020-05-09,148.85714285714286,164,7531,9,10,330
2020-05-10,146.71428571428572,122,7653,8,1,331
2020-05-11,147.85714285714286,139,7792,9,15,346
2020-05-12,155.14285714285714,135,7927,8.428571428571429,9,355
2020-05-13,156.28571428571428,103,8030,8.142857142857142,7,362
2020-05-14,149.57142857142858,159,8189,7.857142857142857,9,371
2020-05-15,148.57142857142858,218,8407,8.571428571428571,9,380
2020-05-16,161.42857142857142,254,8661,7.142857142857143,0,380
2020-05-17,166.14285714285714,155,8816,7.714285714285714,5,385
2020-05-18,164.28571428571428,126,8942,6.428571428571429,6,391
2020-05-19,161.28571428571428,114,9056,6.285714285714286,8,399
2020-05-20,163.57142857142858,119,9175,6.428571428571429,8,407
2020-05-21,170.28571428571428,206,9381,6.428571428571429,9,416
2020-05-22,175.85714285714286,257,9638,5.571428571428571,3,419
2020-05-23,176.28571428571428,257,9895,6.428571428571429,6,425
2020-05-24,182.85714285714286,201,10096,7.142857142857143,10,435
2020-05-25,176.57142857142858,82,10178,7,5,440
2020-05-26,194.28571428571428,238,10416,6.714285714285714,6,446
2020-05-27,206.85714285714286,207,10623,8.428571428571429,20,466
2020-05-28,201,165,10788,7.714285714285714,4,470
2020-05-29,213.28571428571428,343,11131,9.142857142857142,13,483
2020-05-30,214.14285714285714,263,11394,8.857142857142858,4,487
2020-05-31,252.14285714285714,467,11861,8.428571428571429,7,494
2020-06-01,281.42857142857144,287,12148,8.571428571428571,6,500
2020-06-02,286.14285714285717,271,12419,7.857142857142857,1,501
2020-06-03,263.85714285714283,51,12470,7.428571428571429,17,518
2020-06-04,248.28571428571428,56,12526,7.857142857142857,7,525
2020-06-05,332.42857142857144,932,13458,8,14,539
2020-06-06,306.2857142857143,80,13538,8.285714285714286,6,545
2020-06-07,348.7142857142857,764,14302,7.428571428571429,1,546
2020-06-08,378.85714285714283,498,14800,8.142857142857142,11,557
2020-06-09,401.2857142857143,428,15228,9.571428571428571,11,568
2020-06-10,469.85714285714283,531,15759,8.142857142857142,7,575
2020-06-11,559.2857142857143,682,16441,9,13,588
2020-06-12,530.2857142857143,729,17170,7.714285714285714,5,593
2020-06-13,631,785,17955,7.714285714285714,6,599
2020-06-14,641.8571428571429,840,18795,7.714285714285714,1,600
2020-06-15,654,583,19378,6.428571428571429,2,602
2020-06-16,680.2857142857143,612,19990,5.571428571428571,5,607
2020-06-17,685.2857142857143,566,20556,6,10,617
2020-06-18,727.4285714285714,977,21533,4.714285714285714,4,621
2020-06-19,776.8571428571429,1075,22608,6.571428571428571,18,639
2020-06-20,828.7142857142857,1148,23756,6.428571428571429,5,644
2020-06-21,838,905,24661,7.571428571428571,9,653
2020-06-22,898.2857142857143,1005,25666,8.142857142857142,6,659
2020-06-23,940.2857142857143,906,26572,9.428571428571429,14,673
2020-06-24,1048.7142857142858,1325,27897,9.428571428571429,10,683
2020-06-25,1069.857142857143,1125,29022,10.285714285714286,10,693
2020-06-26,1103.857142857143,1313,30335,7.857142857142857,1,694
2020-06-27,1169,1604,31939,9.571428571428571,17,711
2020-06-28,1237,1381,33320,9,5,716
2020-06-29,1282.5714285714287,1324,34644,8.714285714285714,4,720
2020-06-30,1403.857142857143,1755,36399,9.428571428571429,19,739
2020-07-01,1431.7142857142858,1520,37919,11.857142857142858,27,766
2020-07-02,1525.5714285714287,1782,39701,13,18,784
2020-07-03,1599.5714285714287,1831,41532,14.142857142857142,9,793
2020-07-04,1635.2857142857142,1854,43386,14.571428571428571,20,813
2020-07-05,1646.7142857142858,1461,44847,14.857142857142858,7,820
2020-07-06,1676.5714285714287,1533,46380,15.285714285714286,7,827
2020-07-07,1564.7142857142858,972,47352,15.285714285714286,19,846
2020-07-08,1570,1557,48909,16.857142857142858,38,884
2020-07-09,1570,1782,50691,17.285714285714285,21,905
2020-07-10,1555.2857142857142,1728,52419,19.428571428571427,24,929
2020-07-11,1616.142857142857,2280,54699,19.714285714285715,22,951
2020-07-12,1685.857142857143,1949,56648,20.142857142857142,10,961
2020-07-13,1684,1520,58168,20.714285714285715,11,972
2020-07-14,1862.4285714285713,2221,60389,21,21,993
2020-07-15,1905.142857142857,1856,62245,16.285714285714285,5,998
2020-07-16,1913.142857142857,1838,64083,23.571428571428573,72,1070
2020-07-17,1948.7142857142858,1977,66060,23.857142857142858,26,1096
2020-07-18,1844.7142857142858,1552,67612,26.285714285714285,39,1135
2020-07-19,1905.4285714285713,2374,69986,27.714285714285715,20,1155
2020-07-20,1896.7142857142858,1459,71445,27.428571428571427,9,1164
2020-07-21,1849.7142857142858,1892,73337,32.57142857142857,57,1221
2020-07-22,1828.142857142857,1705,75042,41,64,1285
2020-07-23,1789,1564,76606,37.714285714285715,49,1334
2020-07-24,1792.4285714285713,2001,78607,41.285714285714285,51,1385
2020-07-25,1770.857142857143,1401,80008,47.142857142857146,80,1465
2020-07-26,1601.857142857143,1191,81199,48,26,1491
2020-07-27,1567.4285714285713,1218,82417,48.857142857142854,15,1506
2020-07-28,1538.857142857143,1692,84109,49.142857142857146,59,1565
2020-07-29,1543.4285714285713,1737,85846,47.142857142857146,50,1615
2020-07-30,1566.5714285714287,1726,87572,47.57142857142857,52,1667
2020-07-31,1487,1444,89016,46.714285714285715,45,1712
2020-08-01,1513,1583,90599,40.857142857142854,39,1751
2020-08-02,1512.7142857142858,1189,91788,40.857142857142854,26,1777
2020-08-03,1504.857142857143,1163,92951,41,16,1793
2020-08-04,1440.142857142857,1239,94190,40.285714285714285,54,1847
2020-08-05,1375.142857142857,1282,95472,39.857142857142854,47,1894
2020-08-06,1317.857142857143,1325,96797,39.285714285714285,48,1942
2020-08-07,1314.7142857142858,1422,98219,35.714285714285715,20,1962
2020-08-08,1265.857142857143,1241,99460,36.57142857142857,45,2007
2020-08-09,1235.2857142857142,975,100435,36.285714285714285,24,2031
2020-08-10,1172.5714285714287,724,101159,36.42857142857143,17,2048
2020-08-11,1134.2857142857142,971,102130,35.857142857142854,50,2098
2020-08-12,1071.7142857142858,844,102974,35.714285714285715,46,2144
