,inpatient_beds_used_covid,7_day_avg
2020-03-25,0.0,0.0
2020-03-26,0.0,0.2
2020-03-27,0.0,0.8333333333333334
2020-03-28,0.0,1.7142857142857142
2020-03-29,1.0,2.5714285714285716
2020-03-30,4.0,3.4285714285714284
2020-03-31,7.0,4.285714285714286
2020-04-01,6.0,5.714285714285714
2020-04-02,6.0,6.428571428571429
2020-04-03,6.0,6.857142857142857
2020-04-04,10.0,6.428571428571429
2020-04-05,6.0,6.142857142857143
2020-04-06,7.0,6.428571428571429
2020-04-07,4.0,6.571428571428571
2020-04-08,4.0,5.714285714285714
2020-04-09,8.0,5.0
2020-04-10,7.0,4.142857142857143
2020-04-11,4.0,4.0
2020-04-12,1.0,3.5714285714285716
2020-04-13,1.0,2.7142857142857144
2020-04-14,3.0,2.142857142857143
2020-04-15,1.0,1.8571428571428572
2020-04-16,2.0,2.4285714285714284
2020-04-17,3.0,3.4285714285714284
2020-04-18,2.0,4.142857142857143
2020-04-19,5.0,5.142857142857143
2020-04-20,8.0,11.0
2020-04-21,8.0,19.142857142857142
2020-04-22,8.0,26.714285714285715
2020-04-23,43.0,33.714285714285715
2020-04-24,60.0,38.714285714285715
2020-04-25,55.0,44.142857142857146
2020-04-26,54.0,49.42857142857143
2020-04-27,43.0,56.285714285714285
2020-04-28,46.0,60.57142857142857
2020-04-29,45.0,65.0
2020-04-30,91.0,68.28571428571429
2020-05-01,90.0,68.57142857142857
2020-05-02,86.0,72.42857142857143
2020-05-03,77.0,77.14285714285714
2020-05-04,45.0,76.71428571428571
2020-05-05,73.0,77.42857142857143
2020-05-06,78.0,73.71428571428571
2020-05-07,88.0,70.0
2020-05-08,95.0,76.42857142857143
2020-05-09,60.0,79.28571428571429
2020-05-10,51.0,80.57142857142857
2020-05-11,90.0,81.28571428571429
2020-05-12,93.0,79.28571428571429
2020-05-13,87.0,78.0
2020-05-14,93.0,82.71428571428571
2020-05-15,81.0,81.42857142857143
2020-05-16,51.0,75.85714285714286
2020-05-17,84.0,75.71428571428571
2020-05-18,81.0,71.85714285714286
2020-05-19,54.0,69.71428571428571
2020-05-20,86.0,75.85714285714286
2020-05-21,66.0,74.28571428571429
2020-05-22,66.0,76.71428571428571
2020-05-23,94.0,82.57142857142857
2020-05-24,73.0,85.0
2020-05-25,98.0,89.71428571428571
2020-05-26,95.0,94.42857142857143
2020-05-27,103.0,90.85714285714286
2020-05-28,99.0,89.57142857142857
2020-05-29,99.0,88.42857142857143
2020-05-30,69.0,86.14285714285714
2020-05-31,64.0,84.0
2020-06-01,90.0,81.57142857142857
2020-06-02,79.0,78.0
2020-06-03,88.0,75.71428571428571
2020-06-04,82.0,78.85714285714286
2020-06-05,74.0,79.14285714285714
2020-06-06,53.0,79.14285714285714
2020-06-07,86.0,80.71428571428571
2020-06-08,92.0,82.57142857142857
2020-06-09,79.0,85.0
2020-06-10,99.0,83.28571428571429
2020-06-11,95.0,75.71428571428571
2020-06-12,91.0,74.0
2020-06-13,41.0,73.57142857142857
2020-06-14,33.0,70.42857142857143
2020-06-15,80.0,69.0
2020-06-16,76.0,66.57142857142857
2020-06-17,77.0,67.14285714285714
2020-06-18,85.0,70.0
2020-06-19,74.0,72.71428571428571
2020-06-20,45.0,74.14285714285714
