,inpatient_beds_used_covid,7_day_avg
2020-03-14,,
2020-03-15,,9.333333333333334
2020-03-16,2.0,13.25
2020-03-17,2.0,15.4
2020-03-18,24.0,17.0
2020-03-19,25.0,18.142857142857142
2020-03-20,24.0,21.571428571428573
2020-03-21,25.0,25.0
2020-03-22,25.0,25.714285714285715
2020-03-23,26.0,27.285714285714285
2020-03-24,26.0,35.142857142857146
2020-03-25,29.0,44.42857142857143
2020-03-26,36.0,59.57142857142857
2020-03-27,79.0,75.57142857142857
2020-03-28,90.0,89.85714285714286
2020-03-29,131.0,123.85714285714286
2020-03-30,138.0,169.28571428571428
2020-03-31,126.0,209.71428571428572
2020-04-01,267.0,246.71428571428572
2020-04-02,354.0,271.7142857142857
2020-04-03,362.0,319.2857142857143
2020-04-04,349.0,372.14285714285717
2020-04-05,306.0,406.2857142857143
2020-04-06,471.0,415.2857142857143
2020-04-07,496.0,418.14285714285717
2020-04-08,506.0,414.7142857142857
2020-04-09,417.0,415.85714285714283
2020-04-10,382.0,398.42857142857144
2020-04-11,325.0,388.7142857142857
2020-04-12,314.0,380.85714285714283
2020-04-13,349.0,392.85714285714283
2020-04-14,428.0,410.7142857142857
2020-04-15,451.0,435.0
2020-04-16,501.0,454.85714285714283
2020-04-17,507.0,480.14285714285717
2020-04-18,495.0,487.85714285714283
2020-04-19,453.0,492.7142857142857
2020-04-20,526.0,489.7142857142857
2020-04-21,482.0,484.14285714285717
2020-04-22,485.0,482.85714285714283
2020-04-23,480.0,487.7142857142857
2020-04-24,468.0,480.42857142857144
2020-04-25,486.0,492.42857142857144
2020-04-26,487.0,500.42857142857144
2020-04-27,475.0,509.85714285714283
2020-04-28,566.0,507.42857142857144
2020-04-29,541.0,498.14285714285717
2020-04-30,546.0,490.7142857142857
2020-05-01,451.0,484.2857142857143
2020-05-02,421.0,472.7142857142857
2020-05-03,435.0,464.2857142857143
2020-05-04,430.0,461.7142857142857
2020-05-05,485.0,468.0
2020-05-06,482.0,472.57142857142856
2020-05-07,528.0,473.57142857142856
2020-05-08,495.0,483.0
2020-05-09,453.0,485.14285714285717
2020-05-10,442.0,492.85714285714283
