,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0.14285714285714285,1,1,0,0,0
2020-03-06,0.14285714285714285,0,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.42857142857142855,2,3,0,0,0
2020-03-09,0.42857142857142855,0,3,0,0,0
2020-03-10,0.42857142857142855,0,3,0,0,0
2020-03-11,1.2857142857142858,6,9,0,0,0
2020-03-12,2.4285714285714284,9,18,0,0,0
2020-03-13,3.5714285714285716,8,26,0,0,0
2020-03-14,4.428571428571429,6,32,0,0,0
2020-03-15,4.142857142857143,0,32,0,0,0
2020-03-16,7,20,52,0,0,0
2020-03-17,10.142857142857142,22,74,0,0,0
2020-03-18,13,26,100,0,0,0
2020-03-19,19.428571428571427,54,154,0,0,0
2020-03-20,28.142857142857142,69,223,0.14285714285714285,1,1
2020-03-21,38.857142857142854,81,304,0.14285714285714285,0,1
2020-03-22,51.57142857142857,89,393,0.2857142857142857,1,2
2020-03-23,80.28571428571429,221,614,0.2857142857142857,0,2
2020-03-24,99.71428571428571,158,772,0.2857142857142857,0,2
2020-03-25,116.57142857142857,144,916,0.42857142857142855,1,3
2020-03-26,134.71428571428572,181,1097,0.42857142857142855,0,3
2020-03-27,156.42857142857142,221,1318,0.7142857142857143,3,6
2020-03-28,172.42857142857142,193,1511,0.8571428571428571,1,7
2020-03-29,189.57142857142858,209,1720,0.8571428571428571,1,8
2020-03-30,186.14285714285714,197,1917,1.7142857142857142,6,14
2020-03-31,231.28571428571428,474,2391,3,9,23
2020-04-01,288.14285714285717,542,2933,3,1,24
2020-04-02,273.7142857142857,80,3013,4.714285714285714,12,36
2020-04-03,249.85714285714286,54,3067,5,5,41
2020-04-04,258.7142857142857,255,3322,6.142857142857143,9,50
2020-04-05,273.2857142857143,311,3633,6.428571428571429,3,53
2020-04-06,269.2857142857143,169,3802,7.285714285714286,12,65
2020-04-07,249.71428571428572,337,4139,7,7,72
2020-04-08,204.28571428571428,224,4363,8,8,80
2020-04-09,231.57142857142858,271,4634,8.285714285714286,14,94
2020-04-10,260.57142857142856,257,4891,8.142857142857142,4,98
2020-04-11,258.57142857142856,241,5132,8,8,106
2020-04-12,267.85714285714283,376,5508,7.571428571428571,0,106
2020-04-13,258.2857142857143,102,5610,6.285714285714286,3,109
2020-04-14,241.14285714285714,217,5827,7.428571428571429,15,124
2020-04-15,209.14285714285714,0,5827,6.285714285714286,0,124
2020-04-16,218.85714285714286,339,6166,6,12,136
2020-04-17,196,97,6263,6.142857142857143,5,141
2020-04-18,208.14285714285714,326,6589,5.142857142857143,1,142
2020-04-19,223.14285714285714,481,7070,6,6,148
2020-04-20,232.57142857142858,168,7238,6.142857142857143,4,152
2020-04-21,223.85714285714286,156,7394,4.714285714285714,5,157
2020-04-22,223.85714285714286,0,7394,4.714285714285714,0,157
2020-04-23,300,872,8266,5,14,171
2020-04-24,352.14285714285717,462,8728,4,-2,169
2020-04-25,371.42857142857144,461,9189,5,8,177
2020-04-26,371,478,9667,4.714285714285714,4,181
2020-04-27,382.85714285714283,251,9918,4.571428571428571,3,184
2020-04-28,379.7142857142857,134,10052,4.428571428571429,4,188
2020-04-29,424.57142857142856,314,10366,5.428571428571429,7,195
2020-04-30,352.7142857142857,369,10735,4,4,199
2020-05-01,451.85714285714283,1156,11891,5,5,204
2020-05-02,496,770,12661,4.571428571428571,5,209
2020-05-03,501.42857142857144,516,13177,4.142857142857143,1,210
2020-05-04,521.8571428571429,394,13571,5,9,219
2020-05-05,519.7142857142857,119,13690,5.428571428571429,7,226
2020-05-06,510.2857142857143,248,13938,6.285714285714286,13,239
2020-05-07,480.14285714285717,158,14096,5.571428571428571,-1,238
2020-05-08,364.2857142857143,345,14441,5.428571428571429,4,242
2020-05-09,301,327,14768,4.714285714285714,0,242
2020-05-10,258.2857142857143,217,14985,4.714285714285714,1,243
2020-05-11,281.85714285714283,559,15544,4.571428571428571,8,251
2020-05-12,345.85714285714283,567,16111,5.714285714285714,15,266
2020-05-13,347.42857142857144,259,16370,4.857142857142857,7,273
2020-05-14,371.85714285714283,329,16699,7,14,287
2020-05-15,359.85714285714283,261,16960,6.857142857142857,3,290
2020-05-16,356.42857142857144,303,17263,7.571428571428571,5,295
2020-05-17,339.14285714285717,96,17359,7.857142857142857,3,298
2020-05-18,352.42857142857144,652,18011,7.142857142857143,3,301
2020-05-19,328.7142857142857,401,18412,5.571428571428571,4,305
2020-05-20,291.7142857142857,0,18412,4.571428571428571,0,305
2020-05-21,323.14285714285717,549,18961,3.7142857142857144,8,313
2020-05-22,347.7142857142857,433,19394,3.5714285714285716,2,315
2020-05-23,360.2857142857143,391,19785,4.857142857142857,14,329
2020-05-24,393.14285714285717,326,20111,5.428571428571429,7,336
2020-05-25,360.57142857142856,424,20535,5.285714285714286,2,338
2020-05-26,354.7142857142857,360,20895,5.428571428571429,5,343
2020-05-27,410.42857142857144,390,21285,6.857142857142857,10,353
2020-05-28,388.2857142857143,394,21679,6.142857142857143,3,356
2020-05-29,381.2857142857143,384,22063,6.571428571428571,5,361
2020-05-30,397.2857142857143,503,22566,5,3,364
2020-05-31,350.7142857142857,0,22566,4,0,364
2020-06-01,290.14285714285717,0,22566,3.7142857142857144,0,364
2020-06-02,492.42857142857144,1776,24342,5.428571428571429,17,381
2020-06-03,506.85714285714283,491,24833,5,7,388
2020-06-04,501.57142857142856,357,25190,6.428571428571429,13,401
2020-06-05,514.4285714285714,474,25664,6.714285714285714,7,408
2020-06-06,515.8571428571429,513,26177,7.571428571428571,9,417
2020-06-07,561,316,26493,7.714285714285714,1,418
2020-06-08,634.1428571428571,512,27005,8.142857142857142,3,421
2020-06-09,461.85714285714283,570,27575,7.714285714285714,14,435
2020-06-10,442.42857142857144,355,27930,7,2,437
2020-06-11,450,410,28340,5.714285714285714,4,441
2020-06-12,493.42857142857144,778,29118,8.285714285714286,25,466
2020-06-13,481.7142857142857,431,29549,7.857142857142857,6,472
2020-06-14,550,794,30343,8,2,474
2020-06-15,571.2857142857143,661,31004,8.714285714285714,8,482
2020-06-16,596.5714285714286,747,31751,8.285714285714286,11,493
2020-06-17,597.7142857142857,363,32114,8.714285714285714,5,498
2020-06-18,632.8571428571429,656,32770,9.571428571428571,10,508
2020-06-19,699.8571428571429,1247,34017,7,7,515
2020-06-20,699.5714285714286,429,34446,7.428571428571429,9,524
2020-06-21,679.8571428571429,656,35102,7.428571428571429,2,526
2020-06-22,649.8571428571429,451,35553,7,5,531
2020-06-23,650.2857142857143,750,36303,7,11,542
2020-06-24,731.5714285714286,932,37235,8.285714285714286,14,556
2020-06-25,752,799,38034,8.428571428571429,11,567
2020-06-26,775.2857142857143,1410,39444,8.857142857142858,10,577
2020-06-27,818,728,40172,8.571428571428571,7,584
2020-06-28,724.2857142857143,0,40172,8.285714285714286,0,584
2020-06-29,963.4285714285714,2125,42297,8.714285714285714,8,592
2020-06-30,1029.4285714285713,1212,43509,8.857142857142858,12,604
2020-07-01,1154.2857142857142,1806,45315,7.571428571428571,5,609
2020-07-02,1265.142857142857,1575,46890,7.571428571428571,11,620
2020-07-03,1324,1822,48712,8,13,633
2020-07-04,1424,1428,50140,7.571428571428571,4,637
2020-07-05,1592,1176,51316,8.714285714285714,8,645
2020-07-06,1391.7142857142858,723,52039,8.571428571428571,7,652
2020-07-07,1429.2857142857142,1475,53514,8.714285714285714,13,665
2020-07-08,1524.4285714285713,2472,55986,10.857142857142858,20,685
2020-07-09,1528.7142857142858,1605,57591,12.857142857142858,25,710
2020-07-10,1547.7142857142858,1955,59546,12.857142857142858,13,723
2020-07-11,1552.2857142857142,1460,61006,14.428571428571429,15,738
2020-07-12,1520.5714285714287,954,61960,13.714285714285714,3,741
2020-07-13,1890.7142857142858,3314,65274,13.857142857142858,8,749
2020-07-14,1896.2857142857142,1514,66788,14.571428571428571,18,767
2020-07-15,1867.857142857143,2273,69061,14,16,783
2020-07-16,1992.7142857142858,2479,71540,12.285714285714286,13,796
2020-07-17,2039,2279,73819,13.142857142857142,19,815
2020-07-18,2190,2517,76336,14.285714285714286,23,838
2020-07-19,2307.8571428571427,1779,78115,14.571428571428571,5,843
2020-07-20,2068.5714285714284,1639,79754,14,4,847
2020-07-21,2165.1428571428573,2190,81944,14.857142857142858,24,871
2020-07-22,2193.714285714286,2473,84417,15,17,888
2020-07-23,2206.714285714286,2570,86987,18.428571428571427,37,925
2020-07-24,2179.8571428571427,2091,89078,17.571428571428573,13,938
2020-07-25,2065.714285714286,1718,90796,18,26,964
2020-07-26,2260.1428571428573,3140,93936,17.714285714285715,3,967
2020-07-27,2390.714285714286,2553,96489,18.714285714285715,11,978
2020-07-28,2442.8571428571427,2555,99044,18.285714285714285,21,999
2020-07-29,2343.5714285714284,1778,100822,18.857142857142858,21,1020
2020-07-30,2269.1428571428573,2049,102871,15.428571428571429,13,1033
2020-07-31,2411.5714285714284,3088,105959,17.428571428571427,27,1060
2020-08-01,2484,2225,108184,14.714285714285714,7,1067
2020-08-02,2241.5714285714284,1443,109627,15.142857142857142,6,1073
2020-08-03,2021,1009,110636,16.285714285714285,19,1092
2020-08-04,1913.857142857143,1805,112441,16.857142857142858,25,1117
2020-08-05,1896.5714285714287,1657,114098,17.714285714285715,27,1144
2020-08-06,1925.5714285714287,2252,116350,21.857142857142858,42,1186
2020-08-07,1831.857142857143,2432,118782,20.857142857142858,20,1206
2020-08-08,1771.5714285714287,1803,120585,21.142857142857142,9,1215
2020-08-09,1869.2857142857142,2127,122712,21.428571428571427,8,1223
2020-08-10,1896.857142857143,1202,123914,20.142857142857142,10,1233
2020-08-11,1782,1001,124915,22,38,1271
2020-08-12,1756.4285714285713,1478,126393,20.714285714285715,18,1289
2020-08-13,1737.2857142857142,2118,128511,18.142857142857142,24,1313
2020-08-14,1668,1947,130458,17.142857142857142,13,1326
2020-08-15,1594.5714285714287,1289,131747,18.571428571428573,19,1345
