,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.14285714285714285
2020-02-26,0.0,0.2857142857142857
2020-02-27,0.0,0.42857142857142855
2020-02-28,1.0,0.7142857142857143
2020-02-29,1.0,1.0
2020-03-01,1.0,1.2857142857142858
2020-03-02,2.0,1.5714285714285714
2020-03-03,2.0,1.7142857142857142
2020-03-04,2.0,1.8571428571428572
2020-03-05,2.0,2.0
2020-03-06,2.0,16.428571428571427
2020-03-07,2.0,34.142857142857146
2020-03-08,2.0,54.42857142857143
2020-03-09,103.0,83.28571428571429
2020-03-10,126.0,119.0
2020-03-11,144.0,157.57142857142858
2020-03-12,204.0,200.85714285714286
2020-03-13,252.0,234.71428571428572
2020-03-14,272.0,267.0
2020-03-15,305.0,298.2857142857143
2020-03-16,340.0,324.57142857142856
2020-03-17,352.0,347.0
2020-03-18,363.0,370.7142857142857
2020-03-19,388.0,393.0
2020-03-20,409.0,416.7142857142857
2020-03-21,438.0,440.42857142857144
2020-03-22,461.0,462.42857142857144
2020-03-23,506.0,485.2857142857143
2020-03-24,518.0,508.0
2020-03-25,517.0,525.7142857142857
2020-03-26,548.0,540.0
2020-03-27,568.0,568.0
2020-03-28,562.0,606.4285714285714
2020-03-29,561.0,669.1428571428571
2020-03-30,702.0,737.2857142857143
2020-03-31,787.0,817.5714285714286
2020-04-01,956.0,902.0
2020-04-02,1025.0,975.0
2020-04-03,1130.0,1027.7142857142858
2020-04-04,1153.0,1067.857142857143
2020-04-05,1072.0,1086.857142857143
2020-04-06,1071.0,1099.2857142857142
2020-04-07,1068.0,1100.2857142857142
2020-04-08,1089.0,1100.0
2020-04-09,1112.0,1109.2857142857142
2020-04-10,1137.0,1145.857142857143
2020-04-11,1151.0,1229.4285714285713
2020-04-12,1137.0,1303.5714285714287
2020-04-13,1327.0,1377.2857142857142
2020-04-14,1653.0,1453.142857142857
2020-04-15,1608.0,1510.142857142857
2020-04-16,1628.0,1570.0
2020-04-17,1668.0,1637.2857142857142
2020-04-18,1550.0,1671.142857142857
2020-04-19,1556.0,1704.2857142857142
2020-04-20,1798.0,1781.5714285714287
2020-04-21,1890.0,1847.7142857142858
2020-04-22,1840.0,1928.142857142857
2020-04-23,2169.0,2009.142857142857
2020-04-24,2131.0,2047.0
2020-04-25,2113.0,2085.0
2020-04-26,2123.0,2126.8571428571427
2020-04-27,2063.0,2110.285714285714
2020-04-28,2156.0,2085.0
2020-04-29,2133.0,2061.714285714286
2020-04-30,2053.0,2036.142857142857
2020-05-01,1954.0,2042.2857142857142
2020-05-02,1950.0,2029.5714285714287
2020-05-03,1944.0,2013.5714285714287
2020-05-04,2106.0,2010.2857142857142
2020-05-05,2067.0,2016.142857142857
2020-05-06,2021.0,2015.5714285714287
2020-05-07,2030.0,2013.5714285714287
2020-05-08,1995.0,2080.1428571428573
2020-05-09,1946.0,2211.5714285714284
2020-05-10,1930.0,2353.4285714285716
2020-05-11,2572.0,2509.4285714285716
2020-05-12,2987.0,2663.4285714285716
2020-05-13,3014.0,2749.5714285714284
2020-05-14,3122.0,2786.714285714286
2020-05-15,3073.0,2759.0
2020-05-16,2549.0,2680.8571428571427
2020-05-17,2190.0,2587.4285714285716
2020-05-18,2378.0,2481.714285714286
2020-05-19,2440.0,2381.4285714285716
2020-05-20,2360.0,2319.285714285714
2020-05-21,2382.0,2304.714285714286
2020-05-22,2371.0,2274.0
2020-05-23,2114.0,2253.1428571428573
2020-05-24,2088.0,2268.4285714285716
2020-05-25,2163.0,2261.0
2020-05-26,2294.0,2257.8571428571427
2020-05-27,2467.0,2282.0
2020-05-28,2330.0,2300.714285714286
2020-05-29,2349.0,2349.4285714285716
2020-05-30,2283.0,2466.1428571428573
2020-05-31,2219.0,2584.8571428571427
2020-06-01,2504.0,2725.0
2020-06-02,3111.0,2865.0
2020-06-03,3298.0,2999.8571428571427
2020-06-04,3311.0,3054.5714285714284
2020-06-05,3329.0,3069.4285714285716
2020-06-06,3227.0,3138.5714285714284
2020-06-07,2602.0,3182.8571428571427
2020-06-08,2608.0,3232.0
2020-06-09,3595.0,3261.1428571428573
2020-06-10,3608.0,3303.285714285714
2020-06-11,3655.0,3345.5714285714284
2020-06-12,3533.0,3437.5714285714284
2020-06-13,3522.0,3401.4285714285716
2020-06-14,2898.0,3389.1428571428573
2020-06-15,3252.0,3376.5714285714284
2020-06-16,3342.0,3417.714285714286
2020-06-17,3522.0,3428.4285714285716
2020-06-18,3567.0,3560.714285714286
2020-06-19,3821.0,3674.4285714285716
2020-06-20,3597.0,3823.8571428571427
2020-06-21,3824.0,4017.4285714285716
2020-06-22,4048.0,4274.714285714285
2020-06-23,4388.0,4504.0
2020-06-24,4877.0,4778.571428571428
2020-06-25,5368.0,5076.857142857143
2020-06-26,5426.0,5371.571428571428
2020-06-27,5519.0,5769.142857142857
2020-06-28,5912.0,6109.428571428572
2020-06-29,6111.0,6468.428571428572
2020-06-30,7171.0,6846.571428571428
2020-07-01,7259.0,7190.428571428572
2020-07-02,7881.0,7487.428571428572
2020-07-03,8073.0,8268.57142857143
2020-07-04,7926.0,8930.142857142857
2020-07-05,7991.0,9544.42857142857
2020-07-06,11579.0,10095.285714285714
2020-07-07,11802.0,10617.142857142857
2020-07-08,11559.0,10706.285714285714
2020-07-09,11737.0,10802.857142857143
2020-07-10,11726.0,10495.42857142857
2020-07-11,8550.0,10322.0
2020-07-12,8667.0,10495.857142857143
2020-07-13,9427.0,10621.285714285714
2020-07-14,10588.0,10725.714285714286
2020-07-15,12776.0,11221.714285714286
2020-07-16,12615.0,11648.857142857143
2020-07-17,12457.0,11971.285714285714
2020-07-18,12022.0,12147.857142857143
2020-07-19,11657.0,12059.57142857143
2020-07-20,11684.0,11678.714285714286
2020-07-21,11824.0,11209.0
2020-07-22,12158.0,10951.57142857143
2020-07-23,9949.0,9730.714285714286
2020-07-24,9169.0,9435.0
2020-07-25,10220.0,9350.57142857143
2020-07-26,3111.0,8929.857142857143
2020-07-27,9614.0,9035.285714285714
2020-07-28,11233.0,9215.857142857143
2020-07-29,9213.0,9213.42857142857
2020-07-30,10687.0,10240.857142857143
2020-07-31,10433.0,10319.714285714286
2020-08-01,10203.0,10128.857142857143
2020-08-02,10303.0,10187.714285714286
2020-08-03,10166.0,9999.714285714286
2020-08-04,9897.0,9855.857142857143
2020-08-05,9625.0,9667.42857142857
2020-08-06,9371.0,9442.714285714286
2020-08-07,9426.0,9269.0
2020-08-08,8884.0,9114.142857142857
2020-08-09,8730.0,8977.857142857143
2020-08-10,8950.0,8806.857142857143
2020-08-11,8813.0,8609.714285714286
2020-08-12,8671.0,8457.857142857143
2020-08-13,8174.0,8306.142857142857
2020-08-14,8046.0,8098.857142857143
2020-08-15,7821.0,7895.571428571428
2020-08-16,7668.0,7659.142857142857
2020-08-17,7499.0,7485.571428571428
2020-08-18,7390.0,7218.428571428572
2020-08-19,7016.0,7055.714285714285
2020-08-20,6959.0,6870.571428571428
2020-08-21,6176.0,6694.0
2020-08-22,6682.0,6516.714285714285
2020-08-23,6372.0,6342.285714285715
2020-08-24,6263.0,6152.142857142857
2020-08-25,6149.0,6053.857142857143
2020-08-26,5795.0,5861.0
2020-08-27,5628.0,5711.857142857143
2020-08-28,5488.0,5567.714285714285
2020-08-29,5332.0,5449.857142857143
2020-08-30,5328.0,5371.0
2020-08-31,5254.0,5291.142857142857
2020-09-01,5324.0,5241.857142857143
2020-09-02,5243.0,5195.714285714285
2020-09-03,5069.0,5114.428571428572
2020-09-04,5143.0,5046.142857142857
2020-09-05,5009.0,4960.571428571428
2020-09-06,4759.0,4889.857142857143
2020-09-07,4776.0,4796.714285714285
2020-09-08,4725.0,4679.714285714285
2020-09-09,4748.0,4577.285714285715
2020-09-10,4417.0,4504.857142857143
2020-09-11,4324.0,4422.285714285715
2020-09-12,4292.0,4351.142857142857
2020-09-13,4252.0,4283.428571428572
2020-09-14,4198.0,4237.428571428572
2020-09-15,4227.0,4190.714285714285
