,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0.42857142857142855,3,3,0,0,0
2020-03-06,0.5714285714285714,1,4,0,0,0
2020-03-07,1.1428571428571428,4,8,0,0,0
2020-03-08,1.5714285714285714,3,11,0,0,0
2020-03-09,1.8571428571428572,2,13,0,0,0
2020-03-10,2.2857142857142856,3,16,0,0,0
2020-03-11,3,5,21,0,0,0
2020-03-12,3.4285714285714284,6,27,0,0,0
2020-03-13,5.714285714285714,17,44,0,0,0
2020-03-14,7.428571428571429,16,60,0,0,0
2020-03-15,7.571428571428571,4,64,0,0,0
2020-03-16,10.285714285714286,21,85,0,0,0
2020-03-17,13.571428571428571,26,111,0.2857142857142857,2,2
2020-03-18,25.142857142857142,86,197,0.7142857142857143,3,5
2020-03-19,39.857142857142854,109,306,0.7142857142857143,0,5
2020-03-20,55,123,429,1,2,7
2020-03-21,74.57142857142857,153,582,1.1428571428571428,1,8
2020-03-22,82.71428571428571,61,643,1.4285714285714286,2,10
2020-03-23,97,121,764,1.5714285714285714,1,11
2020-03-24,122.42857142857143,204,968,2,5,16
2020-03-25,150.14285714285714,280,1248,2.142857142857143,4,20
2020-03-26,179.57142857142858,315,1563,3,6,26
2020-03-27,215.42857142857142,374,1937,4.428571428571429,12,38
2020-03-28,267.57142857142856,518,2455,5.285714285714286,7,45
2020-03-29,307,337,2792,6.285714285714286,9,54
2020-03-30,344.14285714285717,381,3173,7.714285714285714,11,65
2020-03-31,405.85714285714283,636,3809,8.571428571428571,11,76
2020-04-01,437.2857142857143,500,4309,11.285714285714286,23,99
2020-04-02,488.7142857142857,675,4984,12.285714285714286,13,112
2020-04-03,545.4285714285714,771,5755,13.714285714285714,22,134
2020-04-04,591.5714285714286,841,6596,15.428571428571429,19,153
2020-04-05,635.8571428571429,647,7243,18.857142857142858,33,186
2020-04-06,705,865,8108,20.142857142857142,20,206
2020-04-07,741,888,8996,20.285714285714285,12,218
2020-04-08,792.7142857142857,862,9858,20.714285714285715,26,244
2020-04-09,898.8571428571429,1418,11276,22.428571428571427,25,269
2020-04-10,924.5714285714286,951,12227,23,26,295
2020-04-11,935.5714285714286,918,13145,24.714285714285715,31,326
2020-04-12,933.8571428571429,635,13780,23.142857142857142,22,348
2020-04-13,888.5714285714286,548,14328,25.285714285714285,35,383
2020-04-14,870.2857142857143,760,15088,27.285714285714285,26,409
2020-04-15,883.7142857142857,956,16044,29.857142857142858,44,453
2020-04-16,815.5714285714286,941,16985,31.428571428571427,36,489
2020-04-17,814,940,17925,33.714285714285715,42,531
2020-04-18,797,799,18724,32.57142857142857,23,554
2020-04-19,786,558,19282,32.714285714285715,23,577
2020-04-20,788.4285714285714,565,19847,30.714285714285715,21,598
2020-04-21,813.8571428571429,938,20785,32.714285714285715,40,638
2020-04-22,790.4285714285714,792,21577,30.428571428571427,28,666
2020-04-23,830.2857142857143,1220,22797,32.57142857142857,51,717
2020-04-24,835.2857142857143,975,23772,29.571428571428573,21,738
2020-04-25,794.7142857142857,515,24287,29.428571428571427,22,760
2020-04-26,824.1428571428571,764,25051,29.857142857142858,26,786
2020-04-27,816.8571428571429,514,25565,30.142857142857142,23,809
2020-04-28,817.2857142857143,941,26506,29.571428571428573,36,845
2020-04-29,852.1428571428571,1036,27542,30.285714285714285,33,878
2020-04-30,870.4285714285714,1348,28890,29.571428571428573,46,924
2020-05-01,885.4285714285714,1080,29970,31.142857142857142,32,956
2020-05-02,977,1156,31126,32.42857142857143,31,987
2020-05-03,1010.2857142857143,997,32123,32,23,1010
2020-05-04,1046.2857142857142,766,32889,32.42857142857143,26,1036
2020-05-05,1090.142857142857,1248,34137,29.857142857142858,18,1054
2020-05-06,1097.5714285714287,1088,35225,29.428571428571427,30,1084
2020-05-07,1050.5714285714287,1019,36244,27.857142857142858,35,1119
2020-05-08,1080,1286,37530,28,33,1152
2020-05-09,1122.4285714285713,1453,38983,28,31,1183
2020-05-10,1097.7142857142858,824,39807,29.142857142857142,31,1214
2020-05-11,1116,894,40701,28.857142857142858,24,1238
2020-05-12,1127.5714285714287,1329,42030,31.428571428571427,36,1274
2020-05-13,1175.857142857143,1426,43456,30.714285714285715,25,1299
2020-05-14,1208.142857142857,1245,44701,35.857142857142854,71,1370
2020-05-15,1194.4285714285713,1190,45891,39,55,1425
2020-05-16,1238.142857142857,1759,47650,39.57142857142857,35,1460
2020-05-17,1260.4285714285713,980,48630,38.857142857142854,26,1486
2020-05-18,1242.7142857142858,770,49400,37.142857142857146,12,1498
2020-05-19,1244.2857142857142,1340,50740,37.42857142857143,38,1536
2020-05-20,1218.4285714285713,1245,51985,40.142857142857146,44,1580
2020-05-21,1225.4285714285713,1294,53279,33.142857142857146,22,1602
2020-05-22,1132.2857142857142,538,53817,27.285714285714285,14,1616
2020-05-23,1040.2857142857142,1115,54932,24.142857142857142,13,1629
2020-05-24,1047.2857142857142,1029,55961,28.142857142857142,54,1683
2020-05-25,1004.8571428571429,473,56434,28.714285714285715,16,1699
2020-05-26,961.1428571428571,1034,57468,25.857142857142858,18,1717
2020-05-27,979,1370,58838,25.142857142857142,39,1756
2020-05-28,1049.4285714285713,1787,60625,25.714285714285715,26,1782
2020-05-29,1062.4285714285713,629,61254,26.428571428571427,19,1801
2020-05-30,1159,1791,63045,31.285714285714285,47,1848
2020-05-31,1254.7142857142858,1699,64744,26.142857142857142,18,1866
2020-06-01,1328.2857142857142,988,65732,25.714285714285715,13,1879
2020-06-02,1443,1837,67569,27.428571428571427,30,1909
2020-06-03,1469.142857142857,1553,69122,26.285714285714285,31,1940
2020-06-04,1453.857142857143,1680,70802,28.142857142857142,39,1979
2020-06-05,1622.2857142857142,1808,72610,29,25,2004
2020-06-06,1658.142857142857,2042,74652,26.142857142857142,27,2031
2020-06-07,1564.7142857142858,1045,75697,25.142857142857142,11,2042
2020-06-08,1565.2857142857142,992,76689,25.857142857142858,18,2060
2020-06-09,1551.142857142857,1738,78427,24.428571428571427,20,2080
2020-06-10,1694.857142857143,2559,80986,24.285714285714285,30,2110
2020-06-11,1734,1954,82940,23.857142857142858,36,2146
2020-06-12,1777.2857142857142,2111,85051,25.428571428571427,36,2182
2020-06-13,1791.4285714285713,2141,87192,25.714285714285715,29,2211
2020-06-14,1868.857142857143,1587,88779,27.857142857142858,26,2237
2020-06-15,1971.2857142857142,1709,90488,28.428571428571427,22,2259
2020-06-16,2191,3276,93764,33.142857142857146,53,2312
2020-06-17,2447.5714285714284,4355,98119,34.42857142857143,39,2351
2020-06-18,2660.8571428571427,3447,101566,34.57142857142857,37,2388
2020-06-19,2940.5714285714284,4069,105635,34,32,2420
2020-06-20,3294,4615,110250,34.42857142857143,32,2452
2020-06-21,3476.1428571428573,2862,113112,33.42857142857143,19,2471
2020-06-22,3962,5110,118222,33.57142857142857,23,2494
2020-06-23,4239.428571428572,5218,123440,30.857142857142858,34,2528
2020-06-24,4441.571428571428,5770,129210,32,47,2575
2020-06-25,4775.857142857143,5787,134997,34.142857142857146,52,2627
2020-06-26,5005.142857142857,5674,140671,36.142857142857146,46,2673
2020-06-27,5143.428571428572,5583,146254,39,52,2725
2020-06-28,5419,4791,151045,41.142857142857146,34,2759
2020-06-29,5601.714285714285,6389,157434,44.142857142857146,44,2803
2020-06-30,5756.714285714285,6303,163737,45.42857142857143,43,2846
2020-07-01,6235.571428571428,9122,172859,48.714285714285715,70,2916
2020-07-02,6453.142857142857,7310,180169,51.42857142857143,71,2987
2020-07-03,6693.714285714285,7358,187527,55.714285714285715,76,3063
2020-07-04,6906.714285714285,7074,194601,57.57142857142857,65,3128
2020-07-05,6831.571428571428,4265,198866,61.42857142857143,61,3189
2020-07-06,6996.571428571428,7544,206410,64.85714285714286,68,3257
2020-07-07,7576,10359,216769,77.28571428571429,130,3387
2020-07-08,7610.571428571428,9364,226133,84.85714285714286,123,3510
2020-07-09,8231.857142857143,11659,237792,97,156,3666
2020-07-10,8506.714285714286,9282,247074,97.85714285714286,82,3748
2020-07-11,8674.142857142857,8246,255320,102,94,3842
2020-07-12,9240.714285714286,8231,263551,109.42857142857143,113,3955
2020-07-13,9185.285714285714,7156,270707,114.14285714285714,101,4056
2020-07-14,9190.857142857143,10398,281105,111.85714285714286,114,4170
2020-07-15,9477.714285714286,11372,292477,119,173,4343
2020-07-16,9804.57142857143,13947,306424,122.42857142857143,180,4523
2020-07-17,10157.285714285714,11751,318175,133.71428571428572,161,4684
2020-07-18,10327.285714285714,9436,327611,141.14285714285714,146,4830
2020-07-19,10300.42857142857,8043,335654,141.28571428571428,114,4944
2020-07-20,10539.57142857143,8830,344484,146.14285714285714,135,5079
2020-07-21,10237.42857142857,8283,352767,150.28571428571428,143,5222
2020-07-22,10259.285714285714,11525,364292,161.14285714285714,249,5471
2020-07-23,9625.57142857143,9511,373803,164.42857142857142,203,5674
2020-07-24,8998.142857142857,7359,381162,166.42857142857142,175,5849
2020-07-25,9027.42857142857,9641,390803,168,157,6006
2020-07-26,8430.714285714286,3866,394669,169.85714285714286,127,6133
2020-07-27,8090.714285714285,6450,401119,250.57142857142858,700,6833
2020-07-28,8159.714285714285,8766,409885,270,279,7112
2020-07-29,8037.714285714285,10671,420556,276.42857142857144,294,7406
2020-07-30,7968,9023,429579,266,130,7536
2020-07-31,8502.714285714286,11102,440681,258.2857142857143,121,7657
2020-08-01,7998,6108,446789,274.42857142857144,270,7927
2020-08-02,7901.142857142857,3188,449977,257,5,7932
2020-08-03,8305.285714285714,9279,459256,179.57142857142858,158,8090
2020-08-04,8610.714285714286,10904,470160,170.85714285714286,218,8308
2020-08-05,8592.57142857143,10544,480704,181,365,8673
2020-08-06,8351.714285714286,7337,488041,199,256,8929
2020-08-07,7897,7919,495960,221.14285714285714,276,9205
2020-08-08,7967.714285714285,6603,502563,212.42857142857142,209,9414
2020-08-09,8278.857142857143,5366,507929,227.28571428571428,109,9523
2020-08-10,7811.857142857143,6010,513939,217.85714285714286,92,9615
