,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0.14285714285714285,1,1,0,0,0
2020-03-09,0.14285714285714285,0,1,0,0,0
2020-03-10,0.14285714285714285,0,1,0,0,0
2020-03-11,0.14285714285714285,0,1,0,0,0
2020-03-12,0.2857142857142857,1,2,0,0,0
2020-03-13,0.2857142857142857,0,2,0,0,0
2020-03-14,0.7142857142857143,3,5,0,0,0
2020-03-15,0.5714285714285714,0,5,0,0,0
2020-03-16,1.5714285714285714,7,12,0,0,0
2020-03-17,1.5714285714285714,0,12,0,0,0
2020-03-18,1.7142857142857142,1,13,0,0,0
2020-03-19,2.857142857142857,9,22,0.2857142857142857,2,2
2020-03-20,3.857142857142857,7,29,0.2857142857142857,0,2
2020-03-21,6.285714285714286,20,49,0.2857142857142857,0,2
2020-03-22,6.714285714285714,3,52,0.2857142857142857,0,2
2020-03-23,9,23,75,0.7142857142857143,3,5
2020-03-24,11.857142857142858,20,95,1,2,7
2020-03-25,16,30,125,1.1428571428571428,1,8
2020-03-26,19.428571428571427,33,158,1,1,9
2020-03-27,22.142857142857142,26,184,1.1428571428571428,1,10
2020-03-28,23.142857142857142,27,211,1.4285714285714286,2,12
2020-03-29,26.142857142857142,24,235,1.4285714285714286,0,12
2020-03-30,25.857142857142858,21,256,1,0,12
2020-03-31,28.285714285714285,37,293,0.8571428571428571,1,13
2020-04-01,28,28,321,1.1428571428571428,3,16
2020-04-02,25.714285714285715,17,338,1.1428571428571428,1,17
2020-04-03,29.285714285714285,51,389,1,0,17
2020-04-04,35.714285714285715,72,461,1.1428571428571428,3,20
2020-04-05,39.57142857142857,51,512,1.4285714285714286,2,22
2020-04-06,41,31,543,1.5714285714285714,1,23
2020-04-07,40.285714285714285,32,575,1.4285714285714286,0,23
2020-04-08,40.57142857142857,30,605,1,0,23
2020-04-09,41.42857142857143,23,628,0.8571428571428571,0,23
2020-04-10,41.42857142857143,51,679,1,1,24
2020-04-11,35.714285714285715,32,711,0.7142857142857143,1,25
2020-04-12,30.714285714285715,16,727,0.7142857142857143,2,27
2020-04-13,29.285714285714285,21,748,0.7142857142857143,1,28
2020-04-14,25.285714285714285,4,752,0.8571428571428571,1,29
2020-04-15,22,7,759,0.8571428571428571,0,29
2020-04-16,20.857142857142858,15,774,1.4285714285714286,4,33
2020-04-17,14.285714285714286,5,779,1.5714285714285714,2,35
2020-04-18,13.142857142857142,24,803,1.8571428571428572,3,38
2020-04-19,12.285714285714286,10,813,1.5714285714285714,0,38
2020-04-20,9.714285714285714,3,816,1.4285714285714286,0,38
2020-04-21,9.428571428571429,2,818,1.5714285714285714,2,40
2020-04-22,9.142857142857142,5,823,1.5714285714285714,0,40
2020-04-23,7.285714285714286,2,825,1.4285714285714286,3,43
2020-04-24,6.857142857142857,2,827,1.2857142857142858,1,44
2020-04-25,5.714285714285714,16,843,1.1428571428571428,2,46
2020-04-26,5.428571428571429,8,851,1.1428571428571428,0,46
2020-04-27,5.571428571428571,4,855,1.2857142857142858,1,47
2020-04-28,6.285714285714286,7,862,1,0,47
2020-04-29,5.571428571428571,0,862,1,0,47
2020-04-30,5.857142857142857,4,866,0.8571428571428571,2,49
2020-05-01,7.428571428571429,13,879,0.8571428571428571,1,50
2020-05-02,6.142857142857143,7,886,0.7142857142857143,1,51
2020-05-03,6.571428571428571,11,897,1,2,53
2020-05-04,6.714285714285714,5,902,0.7142857142857143,-1,52
2020-05-05,6.428571428571429,5,907,0.7142857142857143,0,52
2020-05-06,6.571428571428571,1,908,0.7142857142857143,0,52
2020-05-07,7.142857142857143,8,916,0.5714285714285714,1,53
2020-05-08,5.714285714285714,3,919,0.42857142857142855,0,53
2020-05-09,5,2,921,0.2857142857142857,0,53
2020-05-10,4.285714285714286,6,927,0,0,53
2020-05-11,3.4285714285714284,-1,926,0.14285714285714285,0,53
2020-05-12,2.857142857142857,1,927,0.14285714285714285,0,53
2020-05-13,3,2,929,0.14285714285714285,0,53
2020-05-14,2.2857142857142856,3,932,0,0,53
2020-05-15,2,1,933,0,0,53
2020-05-16,1.8571428571428572,1,934,0,0,53
2020-05-17,1.8571428571428572,6,940,0.14285714285714285,1,54
2020-05-18,2,0,940,0.14285714285714285,0,54
2020-05-19,2.4285714285714284,4,944,0.14285714285714285,0,54
2020-05-20,2.142857142857143,0,944,0.14285714285714285,0,54
2020-05-21,2.5714285714285716,6,950,0.14285714285714285,0,54
2020-05-22,2.7142857142857144,2,952,0.14285714285714285,0,54
2020-05-23,2.857142857142857,2,954,0.14285714285714285,0,54
2020-05-24,2.2857142857142856,2,956,0,0,54
2020-05-25,3.142857142857143,6,962,0,0,54
2020-05-26,3.2857142857142856,5,967,0,0,54
2020-05-27,3.857142857142857,4,971,0,0,54
2020-05-28,3.4285714285714284,3,974,0.14285714285714285,1,55
2020-05-29,3.2857142857142856,1,975,0.14285714285714285,0,55
2020-05-30,3.2857142857142856,2,977,0.14285714285714285,0,55
2020-05-31,3.5714285714285716,4,981,0.14285714285714285,0,55
2020-06-01,3,2,983,0.14285714285714285,0,55
2020-06-02,3,5,988,0.14285714285714285,0,55
2020-06-03,2.7142857142857144,2,990,0.14285714285714285,0,55
2020-06-04,7.428571428571429,36,1026,0,0,55
2020-06-05,7.428571428571429,1,1027,0,0,55
2020-06-06,9.857142857142858,19,1046,0,0,55
2020-06-07,11.714285714285714,17,1063,0,0,55
2020-06-08,13.142857142857142,12,1075,0,0,55
2020-06-09,13.714285714285714,9,1084,0,0,55
2020-06-10,15,11,1095,0,0,55
2020-06-11,12,15,1110,0,0,55
2020-06-12,13.142857142857142,9,1119,0,0,55
2020-06-13,11.285714285714286,6,1125,0,0,55
2020-06-14,9.142857142857142,2,1127,0,0,55
2020-06-15,7.571428571428571,1,1128,0,0,55
2020-06-16,6.714285714285714,3,1131,0,0,55
2020-06-17,5,-1,1130,0,0,55
2020-06-18,3.5714285714285716,5,1135,0.14285714285714285,1,56
2020-06-19,3.5714285714285716,9,1144,0.14285714285714285,0,56
2020-06-20,3.142857142857143,3,1147,0.14285714285714285,0,56
2020-06-21,4.571428571428571,12,1159,0.14285714285714285,0,56
2020-06-22,5,4,1163,0.14285714285714285,0,56
2020-06-23,4.714285714285714,1,1164,0.14285714285714285,0,56
2020-06-24,7.714285714285714,20,1184,0.14285714285714285,0,56
2020-06-25,8,7,1191,0,0,56
2020-06-26,7.714285714285714,7,1198,0,0,56
2020-06-27,7.571428571428571,2,1200,0,0,56
2020-06-28,6.142857142857143,2,1202,0,0,56
2020-06-29,6.428571428571429,6,1208,0,0,56
2020-06-30,6.285714285714286,0,1208,0,0,56
2020-07-01,3.7142857142857144,2,1210,0,0,56
2020-07-02,5.142857142857143,17,1227,0,0,56
2020-07-03,5.428571428571429,9,1236,0,0,56
2020-07-04,5.428571428571429,2,1238,0,0,56
2020-07-05,6.714285714285714,11,1249,0,0,56
2020-07-06,6.142857142857143,2,1251,0,0,56
2020-07-07,6.571428571428571,3,1254,0,0,56
2020-07-08,6.571428571428571,2,1256,0,0,56
2020-07-09,6.428571428571429,16,1272,0,0,56
2020-07-10,5.857142857142857,5,1277,0,0,56
2020-07-11,6.428571428571429,6,1283,0,0,56
2020-07-12,6.714285714285714,13,1296,0,0,56
2020-07-13,7.142857142857143,5,1301,0,0,56
2020-07-14,7.285714285714286,4,1305,0,0,56
2020-07-15,8.857142857142858,13,1318,0,0,56
2020-07-16,7.571428571428571,7,1325,0,0,56
2020-07-17,8.142857142857142,9,1334,0,0,56
2020-07-18,7.857142857142857,4,1338,0,0,56
2020-07-19,7.714285714285714,12,1350,0,0,56
2020-07-20,8.428571428571429,10,1360,0,0,56
2020-07-21,8.714285714285714,6,1366,0,0,56
2020-07-22,6.857142857142857,0,1366,0,0,56
2020-07-23,7.428571428571429,11,1377,0,0,56
2020-07-24,7.285714285714286,8,1385,0,0,56
2020-07-25,8.285714285714286,11,1396,0,0,56
2020-07-26,7.142857142857143,4,1400,0,0,56
2020-07-27,6,2,1402,0,0,56
2020-07-28,5.571428571428571,3,1405,0,0,56
2020-07-29,5.714285714285714,1,1406,0,0,56
2020-07-30,4.285714285714286,1,1407,0.14285714285714285,1,57
2020-07-31,4.142857142857143,7,1414,0.14285714285714285,0,57
2020-08-01,3.5714285714285716,7,1421,0.14285714285714285,0,57
2020-08-02,3.7142857142857144,5,1426,0.14285714285714285,0,57
2020-08-03,3.5714285714285716,1,1427,0.14285714285714285,0,57
2020-08-04,3.7142857142857144,4,1431,0.14285714285714285,0,57
2020-08-05,4.285714285714286,5,1436,0.14285714285714285,0,57
2020-08-06,5.428571428571429,9,1445,0.14285714285714285,1,58
2020-08-07,4.857142857142857,3,1448,0.14285714285714285,0,58
2020-08-08,4.714285714285714,6,1454,0.14285714285714285,0,58
2020-08-09,4.714285714285714,5,1459,0.14285714285714285,0,58
2020-08-10,5,3,1462,0.14285714285714285,0,58
2020-08-11,5.857142857142857,10,1472,0.14285714285714285,0,58
2020-08-12,6,6,1478,0.14285714285714285,0,58
2020-08-13,5.571428571428571,6,1484,0,0,58
2020-08-14,7.571428571428571,17,1501,0,0,58
2020-08-15,7.857142857142857,8,1509,0,0,58
2020-08-16,8,6,1515,0,0,58
2020-08-17,9.285714285714286,12,1527,0,0,58
2020-08-18,8.285714285714286,3,1530,0,0,58
2020-08-19,7.857142857142857,3,1533,0,0,58
2020-08-20,7.571428571428571,4,1537,0,0,58
2020-08-21,5.714285714285714,4,1541,0,0,58
2020-08-22,6.285714285714286,12,1553,0,0,58
2020-08-23,6,4,1557,0,0,58
2020-08-24,5.571428571428571,9,1566,0,0,58
2020-08-25,6,6,1572,0,0,58
2020-08-26,6.285714285714286,5,1577,0,0,58
2020-08-27,7,9,1586,0,0,58
2020-08-28,6.857142857142857,3,1589,0,0,58
2020-08-29,7.428571428571429,16,1605,0,0,58
