,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0.2857142857142857,2,2,0,0,0
2020-03-09,0.2857142857142857,0,2,0,0,0
2020-03-10,1.1428571428571428,6,8,0,0,0
2020-03-11,1.2857142857142858,1,9,0,0,0
2020-03-12,1.7142857142857142,3,12,0,0,0
2020-03-13,3.857142857142857,15,27,0,0,0
2020-03-14,5.285714285714286,10,37,0.14285714285714285,1,1
2020-03-15,5,0,37,0.14285714285714285,0,1
2020-03-16,6.714285714285714,12,49,0.2857142857142857,1,2
2020-03-17,8.428571428571429,18,67,0.2857142857142857,0,2
2020-03-18,10,12,79,0.2857142857142857,0,2
2020-03-19,13,24,103,0.2857142857142857,0,2
2020-03-20,13.714285714285714,20,123,0.2857142857142857,0,2
2020-03-21,17.142857142857142,34,157,0.2857142857142857,1,3
2020-03-22,26.142857142857142,63,220,0.7142857142857143,3,6
2020-03-23,29.285714285714285,34,254,0.5714285714285714,0,6
2020-03-24,32.285714285714285,39,293,1,3,9
2020-03-25,45.285714285714285,103,396,1,0,9
2020-03-26,51.857142857142854,70,466,1.1428571428571428,1,10
2020-03-27,69.14285714285714,141,607,1.1428571428571428,0,10
2020-03-28,83.28571428571429,133,740,1.4285714285714286,3,13
2020-03-29,95.71428571428571,150,890,2,7,20
2020-03-30,109.42857142857143,130,1020,1.2857142857142858,-5,15
2020-03-31,136.57142857142858,229,1249,2.5714285714285716,12,27
2020-04-01,155.28571428571428,234,1483,3.5714285714285716,7,34
2020-04-02,177.14285714285714,223,1706,4.428571428571429,7,41
2020-04-03,200.71428571428572,306,2012,5.142857142857143,5,46
2020-04-04,238.14285714285714,395,2407,5.571428571428571,6,52
2020-04-05,250,233,2640,4.571428571428571,0,52
2020-04-06,265.42857142857144,238,2878,7.285714285714286,14,66
2020-04-07,298,457,3335,5.571428571428571,0,66
2020-04-08,308.85714285714283,310,3645,4.571428571428571,0,66
2020-04-09,333.7142857142857,397,4042,9.714285714285714,43,109
2020-04-10,356.7142857142857,467,4509,10.714285714285714,12,121
2020-04-11,381.42857142857144,568,5077,11.142857142857142,9,130
2020-04-12,376.2857142857143,197,5274,12.714285714285714,11,141
2020-04-13,409.85714285714283,473,5747,11.857142857142858,8,149
2020-04-14,406.7142857142857,435,6182,12.571428571428571,5,154
2020-04-15,407.85714285714283,318,6500,18.428571428571427,41,195
2020-04-16,406.7142857142857,389,6889,14.142857142857142,13,208
2020-04-17,426,602,7491,15.714285714285714,23,231
2020-04-18,425.14285714285717,562,8053,18.285714285714285,27,258
2020-04-19,466.85714285714283,489,8542,19.428571428571427,19,277
2020-04-20,463.2857142857143,448,8990,21.571428571428573,23,300
2020-04-21,492.57142857142856,640,9630,24.285714285714285,24,324
2020-04-22,538,636,10266,22,25,349
2020-04-23,587,732,10998,23.571428571428573,24,373
2020-04-24,586.1428571428571,596,11594,25.714285714285715,38,411
2020-04-25,616.1428571428571,772,12366,25.571428571428573,26,437
2020-04-26,632.5714285714286,604,12970,24.571428571428573,12,449
2020-04-27,649.7142857142857,568,13538,22.857142857142858,11,460
2020-04-28,672.7142857142857,801,14339,24,32,492
2020-04-29,670.8571428571429,623,14962,24.714285714285715,30,522
2020-04-30,692.7142857142857,885,15847,25.571428571428573,30,552
2020-05-01,758.2857142857143,1055,16902,24.285714285714285,29,581
2020-05-02,767.4285714285714,836,17738,25.714285714285715,36,617
2020-05-03,814.5714285714286,934,18672,30.142857142857142,43,660
2020-05-04,850.7142857142857,821,19493,32,24,684
2020-05-05,845.4285714285714,764,20257,31.571428571428573,29,713
2020-05-06,860.4285714285714,728,20985,30.714285714285715,24,737
2020-05-07,817.5714285714286,585,21570,31,32,769
2020-05-08,777.1428571428571,772,22342,33,43,812
2020-05-09,779.7142857142857,854,23196,30,15,827
2020-05-10,772.7142857142857,885,24081,25.571428571428573,12,839
2020-05-11,796.7142857142857,989,25070,23.714285714285715,11,850
2020-05-12,791.8571428571429,730,25800,25.571428571428573,42,892
2020-05-13,823,946,26746,27.285714285714285,36,928
2020-05-14,891.8571428571429,1067,27813,26.714285714285715,28,956
2020-05-15,904.2857142857143,859,28672,23.714285714285715,22,978
2020-05-16,926.7142857142857,1011,29683,25.142857142857142,25,1003
2020-05-17,901,705,30388,24.428571428571427,7,1010
2020-05-18,867.1428571428571,752,31140,23.571428571428573,5,1015
2020-05-19,906.4285714285714,1005,32145,21.428571428571427,27,1042
2020-05-20,880.2857142857143,763,32908,21,33,1075
2020-05-21,903.4285714285714,1229,34137,20.571428571428573,25,1100
2020-05-22,896.8571428571429,813,34950,22.571428571428573,36,1136
2020-05-23,866.5714285714286,799,35749,22.285714285714285,23,1159
2020-05-24,836.5714285714286,495,36244,23,12,1171
2020-05-25,941,1483,37727,27.571428571428573,37,1208
2020-05-26,1028.142857142857,1615,39342,27.714285714285715,28,1236
2020-05-27,1048.7142857142858,907,40249,29.428571428571427,45,1281
2020-05-28,1037.7142857142858,1152,41401,34,57,1338
2020-05-29,1083.2857142857142,1132,42533,31.714285714285715,20,1358
2020-05-30,1123.142857142857,1078,43611,30.142857142857142,12,1370
2020-05-31,1194.7142857142858,996,44607,29.142857142857142,5,1375
2020-06-01,1095.857142857143,791,45398,26.285714285714285,17,1392
2020-06-02,985.2857142857143,841,46239,24.428571428571427,15,1407
2020-06-03,950.8571428571429,666,46905,21,21,1428
2020-06-04,922.1428571428571,951,47856,15.285714285714286,17,1445
2020-06-05,857,676,48532,13.714285714285714,9,1454
2020-06-06,826.5714285714286,865,49397,13,7,1461
2020-06-07,867.7142857142857,1284,50681,13.857142857142858,11,1472
2020-06-08,836.1428571428571,570,51251,12.142857142857142,5,1477
2020-06-09,785.5714285714286,487,51738,12.714285714285714,19,1496
2020-06-10,753.1428571428571,439,52177,12.285714285714286,18,1514
2020-06-11,684.4285714285714,470,52647,10.714285714285714,6,1520
2020-06-12,668.4285714285714,564,53211,11.428571428571429,14,1534
2020-06-13,638.8571428571429,658,53869,11.428571428571429,7,1541
2020-06-14,546.4285714285714,637,54506,10.571428571428571,5,1546
2020-06-15,519.2857142857143,380,54886,10.714285714285714,6,1552
2020-06-16,513.2857142857143,445,55331,10.571428571428571,18,1570
2020-06-17,514,444,55775,9.857142857142858,13,1583
2020-06-18,513,463,56238,9.428571428571429,3,1586
2020-06-19,511.7142857142857,555,56793,9.714285714285714,16,1602
2020-06-20,510.57142857142856,650,57443,9.428571428571429,5,1607
2020-06-21,498.2857142857143,551,57994,9.285714285714286,4,1611
2020-06-22,511.2857142857143,471,58465,9.714285714285714,9,1620
2020-06-23,523.2857142857143,529,58994,10.714285714285714,25,1645
2020-06-24,534.1428571428571,520,59514,11.142857142857142,16,1661
2020-06-25,529.7142857142857,432,59946,12.714285714285714,14,1675
2020-06-26,539.5714285714286,624,60570,14,25,1700
2020-06-27,543.4285714285714,677,61247,16.714285714285715,24,1724
2020-06-28,534.5714285714286,489,61736,17.285714285714285,8,1732
2020-06-29,532,453,62189,17.142857142857142,8,1740
2020-06-30,541.8571428571429,598,62787,16.857142857142858,23,1763
2020-07-01,527,416,63203,17.857142857142858,23,1786
2020-07-02,541.2857142857143,532,63735,20.142857142857142,30,1816
2020-07-03,546.1428571428571,658,64393,20.714285714285715,29,1845
2020-07-04,551.7142857142857,716,65109,17.857142857142858,4,1849
2020-07-05,573.1428571428571,639,65748,17.285714285714285,4,1853
2020-07-06,559,354,66102,16.142857142857142,0,1853
2020-07-07,564.7142857142857,638,66740,16.857142857142858,28,1881
2020-07-08,596,635,67375,17,24,1905
2020-07-09,607.5714285714286,613,67988,17.285714285714285,32,1937
2020-07-10,648.2857142857143,943,68931,16.142857142857142,21,1958
2020-07-11,667.5714285714286,851,69782,16.142857142857142,4,1962
2020-07-12,703.1428571428571,888,70670,16.142857142857142,4,1966
2020-07-13,791.4285714285714,972,71642,16.428571428571427,2,1968
2020-07-14,814.7142857142857,801,72443,13.714285714285714,9,1977
2020-07-15,878.8571428571429,1084,73527,12.428571428571429,15,1992
2020-07-16,920.4285714285714,904,74431,10,15,2007
2020-07-17,928.8571428571429,1002,75433,7.857142857142857,6,2013
2020-07-18,941.5714285714286,940,76373,9,12,2025
2020-07-19,965.7142857142857,1057,77430,8.714285714285714,2,2027
2020-07-20,961.8571428571429,945,78375,9,4,2031
2020-07-21,989.7142857142857,996,79371,10.142857142857142,17,2048
2020-07-22,980.8571428571429,1022,80393,8.428571428571429,3,2051
2020-07-23,972.2857142857143,844,81237,6.714285714285714,3,2054
2020-07-24,990.1428571428571,1127,82364,7.714285714285714,13,2067
2020-07-25,1033.7142857142858,1245,83609,7.142857142857143,8,2075
2020-07-26,1019.5714285714286,958,84567,7.285714285714286,3,2078
2020-07-27,1099.5714285714287,1505,86072,7.285714285714286,4,2082
2020-07-28,1089,922,86994,6.714285714285714,13,2095
2020-07-29,1085.7142857142858,999,87993,10.571428571428571,30,2125
2020-07-30,1095.2857142857142,911,88904,12.428571428571429,16,2141
2020-07-31,1074.857142857143,984,89888,15.285714285714286,33,2174
2020-08-01,1027.4285714285713,913,90801,20,41,2215
2020-08-02,1030.7142857142858,981,91782,20,3,2218
2020-08-03,1004.8571428571429,1324,93106,19.428571428571427,0,2218
2020-08-04,1036.7142857142858,1145,94251,21.285714285714285,26,2244
2020-08-05,1008,798,95049,21.285714285714285,30,2274
2020-08-06,994.7142857142857,818,95867,22.571428571428573,25,2299
2020-08-07,1142,2015,97882,20.428571428571427,18,2317
2020-08-08,1198.2857142857142,1307,99189,15.285714285714286,5,2322
2020-08-09,1186.2857142857142,897,100086,15.428571428571429,4,2326
2020-08-10,1091.857142857143,663,100749,15.571428571428571,1,2327
2020-08-11,1070.5714285714287,996,101745,14.285714285714286,17,2344
2020-08-12,1067.4285714285713,776,102521,11.142857142857142,8,2352
2020-08-13,1107.857142857143,1101,103622,9.142857142857142,11,2363
