,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,62.42857142857143
2020-12-21,0.0,1712.142857142857
2020-12-22,0.0,2600.8571428571427
2020-12-23,437.0,2666.5714285714284
2020-12-24,11548.0,3164.8571428571427
2020-12-25,6221.0,3638.5714285714284
2020-12-26,460.0,3935.1428571428573
2020-12-27,3488.0,4907.428571428572
2020-12-28,3316.0,4770.142857142857
2020-12-29,2076.0,5368.0
2020-12-30,7243.0,6228.285714285715
2020-12-31,10587.0,6565.428571428572
2021-01-01,10406.0,6335.714285714285
2021-01-02,6482.0,8147.285714285715
2021-01-03,5848.0,8850.285714285714
2021-01-04,1708.0,10696.0
2021-01-05,14757.0,10517.285714285714
2021-01-06,12164.0,12240.285714285714
2021-01-07,23507.0,12903.857142857143
2021-01-08,9155.0,14279.57142857143
2021-01-09,18543.0,13759.857142857143
2021-01-10,10493.0,14287.142857142857
2021-01-11,11338.0,14682.285714285714
2021-01-12,11119.0,17060.14285714286
2021-01-13,15855.0,18250.0
2021-01-14,26273.0,19838.14285714286
2021-01-15,25800.0,19383.14285714286
2021-01-16,26872.0,17794.714285714286
2021-01-17,21610.0,20542.0
2021-01-18,8153.0,16788.714285714286
2021-01-19,0.0,18712.428571428572
2021-01-20,35086.0,21222.571428571428
2021-01-21,0.0,22595.285714285714
2021-01-22,39266.0,28269.714285714286
2021-01-23,44443.0,28269.714285714286
2021-01-24,31219.0,29855.571428571428
2021-01-25,47874.0,40260.28571428572
2021-01-26,0.0,42656.71428571428
2021-01-27,46187.0,36307.71428571428
2021-01-28,72833.0,40499.71428571428
2021-01-29,56041.0,45768.142857142855
2021-01-30,0.0,50087.857142857145
2021-01-31,60563.0,47453.28571428572
2021-02-01,84753.0,40152.42857142857
2021-02-02,30238.0,38005.57142857143
2021-02-03,27745.0,46319.42857142857
2021-02-04,21727.0,44895.857142857145
2021-02-05,41013.0,37410.28571428572
2021-02-06,58197.0,37453.0
2021-02-07,50598.0,37196.71428571428
2021-02-08,32354.0,38419.28571428572
2021-02-09,30537.0,37035.142857142855
2021-02-10,25951.0,39489.0
2021-02-11,30285.0,36793.857142857145
2021-02-12,31324.0,37459.57142857143
2021-02-13,75374.0,37654.57142857143
2021-02-14,31732.0,38558.71428571428
2021-02-15,37014.0,39909.57142857143
2021-02-16,31902.0,40083.857142857145
2021-02-17,32280.0,49558.857142857145
2021-02-18,39741.0,48701.71428571428
2021-02-19,32544.0,48282.142857142855
2021-02-20,141699.0,52386.57142857143
2021-02-21,25732.0,47775.142857142855
2021-02-22,34077.0,47466.142857142855
2021-02-23,60633.0,49284.0
2021-02-24,0.0,39614.71428571428
2021-02-25,37578.0,47359.57142857143
2021-02-26,45269.0,54414.28571428572
2021-02-27,74014.0,52999.857142857145
2021-02-28,79946.0,57928.57142857143
2021-03-01,83460.0,59591.857142857145
2021-03-02,50732.0,62239.71428571428
2021-03-03,34501.0,59951.57142857143
2021-03-04,49221.0,55706.57142857143
2021-03-05,63804.0,57176.42857142857
2021-03-06,57997.0,49929.0
2021-03-07,50231.0,54612.42857142857
2021-03-08,93749.0,56590.57142857143
2021-03-09,0.0,57278.142857142855
2021-03-10,67285.0,58784.142857142855
2021-03-11,63068.0,71372.28571428571
2021-03-12,68617.0,57979.57142857143
2021-03-13,68539.0,66502.28571428571
2021-03-14,138348.0,61943.71428571428
2021-03-15,0.0,58693.0
2021-03-16,59659.0,58069.142857142855
2021-03-17,35375.0,58771.142857142855
2021-03-18,40313.0,50195.142857142855
2021-03-19,64250.0,59552.42857142857
2021-03-20,73453.0,58340.71428571428
2021-03-21,78316.0,57494.28571428572
2021-03-22,65501.0,63163.28571428572
2021-03-23,51177.0,62509.42857142857
2021-03-24,29450.0,64261.857142857145
2021-03-25,79996.0,60672.57142857143
2021-03-26,59673.0,67028.0
2021-03-27,85720.0,72383.28571428571
2021-03-28,53191.0,84011.71428571429
2021-03-29,109989.0,83887.85714285714
2021-03-30,88664.0,87341.85714285714
2021-03-31,110849.0,91083.42857142857
2021-04-01,79129.0,100969.57142857143
2021-04-02,83851.0,101057.71428571429
2021-04-03,111911.0,95899.42857142857
2021-04-04,122394.0,87650.14285714286
2021-04-05,110606.0,87048.85714285714
2021-04-06,52556.0,101198.14285714286
2021-04-07,53104.0,101074.85714285714
2021-04-08,74920.0,99504.28571428571
2021-04-09,182896.0,91318.28571428571
2021-04-10,111048.0,92242.14285714286
2021-04-11,111400.0,96702.14285714286
2021-04-12,53304.0,96989.42857142857
2021-04-13,59023.0,90436.0
2021-04-14,84324.0,90434.42857142857
2021-04-15,76931.0,85987.71428571429
2021-04-16,137022.0,87911.0
2021-04-17,111037.0,88999.85714285714
2021-04-18,80273.0,86407.0
2021-04-19,66767.0,88987.71428571429
2021-04-20,66645.0,85810.14285714286
2021-04-21,66174.0,86223.14285714286
2021-04-22,94996.0,85460.42857142857
2021-04-23,114779.0,86267.14285714286
2021-04-24,113928.0,85038.42857142857
2021-04-25,74934.0,83505.42857142857
2021-04-26,72414.0,81783.57142857143
2021-04-27,58044.0,80110.85714285714
2021-04-28,55443.0,79191.28571428571
2021-04-29,82943.0,79264.0
2021-04-30,103070.0,71929.85714285714
2021-05-01,107491.0,63637.857142857145
2021-05-02,75443.0,69901.0
2021-05-03,21075.0,71860.71428571429
2021-05-04,0.0,68968.85714285714
2021-05-05,99285.0,62089.142857142855
2021-05-06,96661.0,58077.0
2021-05-07,82827.0,65202.28571428572
2021-05-08,59333.0,71450.14285714286
2021-05-09,47358.0,64138.142857142855
2021-05-10,70952.0,58229.57142857143
2021-05-11,43735.0,55377.142857142855
2021-05-12,48101.0,56580.57142857143
2021-05-13,55301.0,55490.71428571428
2021-05-14,62860.0,52218.57142857143
2021-05-15,67757.0,50075.57142857143
2021-05-16,39729.0,53950.0
2021-05-17,48047.0,54646.857142857145
2021-05-18,28734.0,58236.57142857143
2021-05-19,75222.0,57983.42857142857
2021-05-20,60179.0,59472.71428571428
2021-05-21,87988.0,57272.57142857143
2021-05-22,65985.0,57833.57142857143
2021-05-23,50154.0,53522.28571428572
2021-05-24,32646.0,51347.28571428572
2021-05-25,32661.0,47276.57142857143
2021-05-26,45043.0,44158.5
2021-05-27,44954.0,42959.4
2021-05-28,59493.0,45537.75
