,inpatient_beds_used_covid,7_day_avg
2020-02-28,0.0,0.5
2020-02-29,0.0,0.8
2020-03-01,0.0,1.1666666666666667
2020-03-02,2.0,1.2857142857142858
2020-03-03,2.0,2.142857142857143
2020-03-04,3.0,3.142857142857143
2020-03-05,2.0,4.285714285714286
2020-03-06,6.0,5.714285714285714
2020-03-07,7.0,7.428571428571429
2020-03-08,8.0,9.428571428571429
2020-03-09,12.0,11.857142857142858
2020-03-10,14.0,13.714285714285714
2020-03-11,17.0,15.714285714285714
2020-03-12,19.0,18.142857142857142
2020-03-13,19.0,21.142857142857142
2020-03-14,21.0,24.142857142857142
2020-03-15,25.0,26.571428571428573
2020-03-16,33.0,29.285714285714285
2020-03-17,35.0,32.142857142857146
2020-03-18,34.0,34.142857142857146
2020-03-19,38.0,36.142857142857146
2020-03-20,39.0,37.714285714285715
2020-03-21,35.0,39.42857142857143
2020-03-22,39.0,41.142857142857146
2020-03-23,44.0,42.142857142857146
2020-03-24,47.0,43.285714285714285
2020-03-25,46.0,45.285714285714285
2020-03-26,45.0,46.714285714285715
2020-03-27,47.0,58.285714285714285
2020-03-28,49.0,79.14285714285714
2020-03-29,49.0,110.85714285714286
2020-03-30,125.0,146.14285714285714
2020-03-31,193.0,181.85714285714286
2020-04-01,268.0,217.57142857142858
2020-04-02,292.0,250.57142857142858
2020-04-03,297.0,275.7142857142857
2020-04-04,299.0,287.42857142857144
2020-04-05,280.0,297.7142857142857
2020-04-06,301.0,304.2857142857143
2020-04-07,275.0,332.57142857142856
2020-04-08,340.0,361.0
2020-04-09,338.0,388.57142857142856
2020-04-10,495.0,409.2857142857143
2020-04-11,498.0,434.14285714285717
2020-04-12,473.0,462.2857142857143
2020-04-13,446.0,512.0
2020-04-14,449.0,533.1428571428571
2020-04-15,537.0,549.8571428571429
2020-04-16,686.0,571.0
2020-04-17,643.0,599.0
2020-04-18,615.0,619.8571428571429
2020-04-19,621.0,620.7142857142857
2020-04-20,642.0,601.4285714285714
2020-04-21,595.0,600.0
2020-04-22,543.0,595.7142857142857
2020-04-23,551.0,600.5714285714286
2020-04-24,633.0,610.7142857142857
2020-04-25,585.0,641.5714285714286
2020-04-26,655.0,678.2857142857143
2020-04-27,713.0,691.4285714285714
2020-04-28,811.0,715.4285714285714
2020-04-29,800.0,752.2857142857143
2020-04-30,643.0,763.0
2020-05-01,801.0,757.5714285714286
2020-05-02,843.0,741.4285714285714
2020-05-03,730.0,715.1428571428571
2020-05-04,675.0,709.4285714285714
2020-05-05,698.0,682.1428571428571
2020-05-06,616.0,648.8571428571429
2020-05-07,603.0,628.8571428571429
2020-05-08,610.0,621.0
2020-05-09,610.0,622.1428571428571
2020-05-10,590.0,633.1428571428571
2020-05-11,620.0,643.7142857142857
2020-05-12,706.0,646.7142857142857
2020-05-13,693.0,645.5714285714286
2020-05-14,677.0,644.7142857142857
2020-05-15,631.0,640.5714285714286
2020-05-16,602.0,625.0
2020-05-17,584.0,612.7142857142857
2020-05-18,591.0,602.7142857142857
2020-05-19,597.0,599.1428571428571
2020-05-20,607.0,600.8571428571429
2020-05-21,607.0,596.5714285714286
2020-05-22,606.0,599.0
2020-05-23,614.0,597.1428571428571
2020-05-24,554.0,594.2857142857143
2020-05-25,608.0,590.0
2020-05-26,584.0,578.4285714285714
2020-05-27,587.0,565.0
2020-05-28,577.0,558.1428571428571
2020-05-29,525.0,543.4285714285714
2020-05-30,520.0,532.2857142857143
2020-05-31,506.0,516.1428571428571
2020-06-01,505.0,507.2857142857143
2020-06-02,506.0,490.42857142857144
2020-06-03,474.0,472.42857142857144
2020-06-04,515.0,453.7142857142857
2020-06-05,407.0,436.57142857142856
2020-06-06,394.0,418.0
2020-06-07,375.0,407.85714285714283
2020-06-08,385.0,392.2857142857143
2020-06-09,376.0,384.57142857142856
2020-06-10,403.0,379.14285714285717
2020-06-11,406.0,378.2857142857143
2020-06-12,353.0,378.42857142857144
2020-06-13,356.0,382.14285714285717
2020-06-14,369.0,385.0
2020-06-15,386.0,386.7142857142857
2020-06-16,402.0,394.0
2020-06-17,423.0,398.57142857142856
2020-06-18,418.0,402.7142857142857
2020-06-19,404.0,411.7142857142857
2020-06-20,388.0,417.2857142857143
2020-06-21,398.0,417.7142857142857
2020-06-22,449.0,416.14285714285717
2020-06-23,441.0,420.0
2020-06-24,426.0,422.7142857142857
2020-06-25,407.0,427.57142857142856
2020-06-26,431.0,431.42857142857144
2020-06-27,407.0,439.85714285714283
2020-06-28,432.0,446.42857142857144
2020-06-29,476.0,454.85714285714283
2020-06-30,500.0,456.0
2020-07-01,472.0,457.85714285714283
2020-07-02,466.0,458.7142857142857
2020-07-03,439.0,462.7142857142857
2020-07-04,420.0,467.2857142857143
2020-07-05,438.0,469.14285714285717
