,inpatient_beds_used_covid,7_day_avg
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,1.6666666666666667
2020-03-10,1.0,3.0
2020-03-11,1.0,5.2
2020-03-12,3.0,6.5
2020-03-13,7.0,8.142857142857142
2020-03-14,14.0,10.428571428571429
2020-03-15,13.0,12.714285714285714
2020-03-16,18.0,14.571428571428571
2020-03-17,17.0,16.571428571428573
2020-03-18,17.0,18.428571428571427
2020-03-19,16.0,20.428571428571427
2020-03-20,21.0,20.714285714285715
2020-03-21,27.0,21.714285714285715
2020-03-22,27.0,22.285714285714285
2020-03-23,20.0,24.571428571428573
2020-03-24,24.0,26.142857142857142
2020-03-25,21.0,26.142857142857142
2020-03-26,32.0,26.285714285714285
2020-03-27,32.0,27.857142857142858
2020-03-28,27.0,35.285714285714285
2020-03-29,28.0,44.857142857142854
2020-03-30,31.0,52.714285714285715
2020-03-31,76.0,62.285714285714285
2020-04-01,88.0,74.57142857142857
2020-04-02,87.0,84.14285714285714
2020-04-03,99.0,99.42857142857143
2020-04-04,113.0,111.85714285714286
2020-04-05,95.0,123.28571428571429
2020-04-06,138.0,133.14285714285714
2020-04-07,163.0,142.85714285714286
2020-04-08,168.0,150.28571428571428
2020-04-09,156.0,157.57142857142858
2020-04-10,167.0,168.57142857142858
2020-04-11,165.0,177.28571428571428
2020-04-12,146.0,184.0
2020-04-13,215.0,190.85714285714286
2020-04-14,224.0,199.0
2020-04-15,215.0,207.14285714285714
2020-04-16,204.0,215.85714285714286
2020-04-17,224.0,214.28571428571428
2020-04-18,222.0,214.42857142857142
2020-04-19,207.0,215.85714285714286
2020-04-20,204.0,220.42857142857142
2020-04-21,225.0,225.14285714285714
2020-04-22,225.0,229.57142857142858
2020-04-23,236.0,235.42857142857142
2020-04-24,257.0,234.42857142857142
2020-04-25,253.0,233.71428571428572
2020-04-26,248.0,262.14285714285717
2020-04-27,197.0,289.2857142857143
2020-04-28,220.0,321.2857142857143
2020-04-29,424.0,349.7142857142857
2020-04-30,426.0,377.0
2020-05-01,481.0,411.0
2020-05-02,452.0,437.2857142857143
2020-05-03,439.0,437.2857142857143
2020-05-04,435.0,443.0
2020-05-05,404.0,442.2857142857143
2020-05-06,424.0,440.7142857142857
2020-05-07,466.0,436.85714285714283
2020-05-08,476.0,442.42857142857144
2020-05-09,441.0,451.2857142857143
2020-05-10,412.0,461.42857142857144
2020-05-11,474.0,461.85714285714283
2020-05-12,466.0,466.14285714285717
2020-05-13,495.0,471.42857142857144
2020-05-14,469.0,482.85714285714283
2020-05-15,506.0,495.14285714285717
2020-05-16,478.0,508.0
2020-05-17,492.0,517.5714285714286
2020-05-18,560.0,533.8571428571429
2020-05-19,556.0,530.4285714285714
2020-05-20,562.0,522.5714285714286
2020-05-21,583.0,517.1428571428571
2020-05-22,482.0,503.7142857142857
2020-05-23,423.0,498.0
2020-05-24,454.0,492.0
2020-05-25,466.0,486.0
2020-05-26,516.0,497.42857142857144
2020-05-27,520.0,506.57142857142856
2020-05-28,541.0,512.4285714285714
2020-05-29,562.0,513.4285714285714
2020-05-30,487.0,506.57142857142856
2020-05-31,495.0,498.2857142857143
2020-06-01,473.0,495.2857142857143
2020-06-02,468.0,492.57142857142856
2020-06-03,462.0,480.85714285714283
2020-06-04,520.0,470.2857142857143
2020-06-05,543.0,469.2857142857143
2020-06-06,405.0,467.42857142857144
2020-06-07,421.0,465.7142857142857
2020-06-08,466.0,453.0
2020-06-09,455.0,515.1428571428571
2020-06-10,450.0,509.14285714285717
2020-06-11,431.0,504.57142857142856
2020-06-12,978.0,506.0
2020-06-13,363.0,496.57142857142856
2020-06-14,389.0,481.85714285714283
2020-06-15,476.0,475.57142857142856
2020-06-16,389.0,385.7142857142857
2020-06-17,347.0,381.85714285714283
2020-06-18,387.0,374.85714285714283
2020-06-19,349.0,358.42857142857144
2020-06-20,336.0,353.42857142857144
2020-06-21,340.0,352.7142857142857
2020-06-22,361.0,355.14285714285717
2020-06-23,354.0,360.2857142857143
2020-06-24,342.0,362.7142857142857
2020-06-25,404.0,366.14285714285717
2020-06-26,385.0,366.42857142857144
2020-06-27,353.0,367.85714285714283
2020-06-28,364.0,372.42857142857144
2020-06-29,363.0,368.7142857142857
2020-06-30,364.0,479.14285714285717
2020-07-01,374.0,475.7142857142857
2020-07-02,378.0,473.42857142857144
2020-07-03,1158.0,484.14285714285717
2020-07-04,329.0,494.14285714285717
2020-07-05,348.0,504.2857142857143
2020-07-06,438.0,509.85714285714283
2020-07-07,434.0,406.85714285714283
2020-07-08,445.0,415.85714285714283
2020-07-09,417.0,422.0
2020-07-10,437.0,413.42857142857144
2020-07-11,392.0,404.57142857142856
2020-07-12,391.0,429.2857142857143
2020-07-13,378.0,454.85714285714283
2020-07-14,372.0,471.7142857142857
2020-07-15,618.0,496.57142857142856
2020-07-16,596.0,516.2857142857143
2020-07-17,555.0,546.8571428571429
2020-07-18,566.0,591.1428571428571
2020-07-19,529.0,593.1428571428571
2020-07-20,592.0,605.0
2020-07-21,682.0,612.2857142857143
2020-07-22,632.0,614.4285714285714
2020-07-23,679.0,620.8571428571429
2020-07-24,606.0,611.7142857142857
2020-07-25,581.0,603.4285714285714
2020-07-26,574.0,605.1428571428571
2020-07-27,528.0,599.4285714285714
2020-07-28,624.0,592.1428571428571
2020-07-29,644.0,596.5714285714286
2020-07-30,639.0,599.7142857142857
2020-07-31,555.0,607.2857142857143
2020-08-01,612.0,598.8571428571429
2020-08-02,596.0,585.5714285714286
2020-08-03,581.0,573.0
2020-08-04,565.0,580.4285714285714
2020-08-05,551.0,585.2857142857143
2020-08-06,551.0,592.0
2020-08-07,607.0,605.2857142857143
2020-08-08,646.0,622.4285714285714
2020-08-09,643.0,647.0
2020-08-10,674.0,668.8571428571429
2020-08-11,685.0,683.1428571428571
2020-08-12,723.0,691.0
2020-08-13,704.0,694.0
2020-08-14,707.0,693.0
2020-08-15,701.0,690.1428571428571
2020-08-16,664.0,682.0
2020-08-17,667.0,669.1428571428571
2020-08-18,665.0,656.4285714285714
2020-08-19,666.0,642.0
2020-08-20,614.0,632.8571428571429
2020-08-21,618.0,626.8571428571429
2020-08-22,600.0,624.2857142857143
2020-08-23,600.0,612.2857142857143
2020-08-24,625.0,595.1428571428571
2020-08-25,647.0,581.4285714285714
2020-08-26,582.0,567.4285714285714
2020-08-27,494.0,556.0
2020-08-28,522.0,535.1428571428571
2020-08-29,502.0,519.2857142857143
