,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0.42857142857142855,3,3,0,0,0
2020-03-11,0.5714285714285714,1,4,0,0,0
2020-03-12,1.1428571428571428,4,8,0,0,0
2020-03-13,2.7142857142857144,11,19,0,0,0
2020-03-14,3.857142857142857,8,27,0,0,0
2020-03-15,4,1,28,0,0,0
2020-03-16,6.857142857142857,20,48,0,0,0
2020-03-17,10,25,73,0,0,0
2020-03-18,15.285714285714286,38,111,0,0,0
2020-03-19,21.571428571428573,48,159,0.42857142857142855,3,3
2020-03-20,28.571428571428573,60,219,0.5714285714285714,1,4
2020-03-21,36.42857142857143,63,282,0.5714285714285714,0,4
2020-03-22,50.42857142857143,99,381,0.5714285714285714,0,4
2020-03-23,53.857142857142854,44,425,0.5714285714285714,0,4
2020-03-24,58.285714285714285,56,481,0.8571428571428571,2,6
2020-03-25,72.85714285714286,140,621,1.4285714285714286,4,10
2020-03-26,81.28571428571429,107,728,2,7,17
2020-03-27,101,198,926,2.142857142857143,2,19
2020-03-28,110.42857142857143,129,1055,2.5714285714285716,3,22
2020-03-29,111.85714285714286,109,1164,3.5714285714285716,7,29
2020-03-30,115,66,1230,4.428571428571429,6,35
2020-03-31,133,182,1412,5.285714285714286,8,43
2020-04-01,133.57142857142858,144,1556,6.285714285714286,11,54
2020-04-02,145.71428571428572,192,1748,7.142857142857143,13,67
2020-04-03,155.14285714285714,264,2012,9.571428571428571,19,86
2020-04-04,139.28571428571428,18,2030,11.428571428571429,16,102
2020-04-05,165.14285714285714,290,2320,11,4,106
2020-04-06,174.14285714285714,129,2449,11.571428571428571,10,116
2020-04-07,166.57142857142858,129,2578,11.428571428571429,7,123
2020-04-08,164.85714285714286,132,2710,12.285714285714286,17,140
2020-04-09,162.57142857142858,176,2886,12.428571428571429,14,154
2020-04-10,150.85714285714286,182,3068,11.142857142857142,10,164
2020-04-11,169,145,3213,10.714285714285714,13,177
2020-04-12,145.85714285714286,128,3341,11,6,183
2020-04-13,139.85714285714286,87,3428,11.285714285714286,12,195
2020-04-14,139.57142857142858,127,3555,11.571428571428571,9,204
2020-04-15,144.42857142857142,166,3721,10.571428571428571,10,214
2020-04-16,141.28571428571428,154,3875,10.142857142857142,11,225
2020-04-17,140.71428571428572,178,4053,9.857142857142858,8,233
2020-04-18,140.85714285714286,146,4199,10.285714285714286,16,249
2020-04-19,143.57142857142858,147,4346,10.714285714285714,9,258
2020-04-20,153,153,4499,9.571428571428571,4,262
2020-04-21,152.85714285714286,126,4625,9.285714285714286,7,269
2020-04-22,160.57142857142858,220,4845,9,8,277
2020-04-23,168.14285714285714,207,5052,8.142857142857142,5,282
2020-04-24,186.14285714285714,304,5356,8.285714285714286,9,291
2020-04-25,212.57142857142858,331,5687,7.142857142857143,8,299
2020-04-26,223.71428571428572,225,5912,7.428571428571429,11,310
2020-04-27,226,169,6081,8.285714285714286,10,320
2020-04-28,237.71428571428572,208,6289,9.857142857142858,18,338
2020-04-29,239.28571428571428,231,6520,10.714285714285714,14,352
2020-04-30,257.42857142857144,334,6854,10.714285714285714,5,357
2020-05-01,279.7142857142857,460,7314,10.857142857142858,10,367
2020-05-02,281.85714285714283,346,7660,10.714285714285714,7,374
2020-05-03,293.14285714285717,304,7964,10.714285714285714,11,385
2020-05-04,307.85714285714283,272,8236,10.285714285714286,7,392
2020-05-05,325.2857142857143,330,8566,9,9,401
2020-05-06,340.14285714285717,335,8901,7.571428571428571,4,405
2020-05-07,337.2857142857143,314,9215,8,8,413
2020-05-08,325.14285714285717,375,9590,8.714285714285714,15,428
2020-05-09,325.57142857142856,349,9939,8.571428571428571,6,434
2020-05-10,322.14285714285717,280,10219,8.857142857142858,13,447
2020-05-11,311.7142857142857,199,10418,8.571428571428571,5,452
2020-05-12,292.14285714285717,193,10611,8.714285714285714,10,462
2020-05-13,285.85714285714283,291,10902,9,6,468
2020-05-14,294.2857142857143,373,11275,9.285714285714286,10,478
2020-05-15,299.2857142857143,410,11685,7.857142857142857,5,483
2020-05-16,321.14285714285717,502,12187,7.714285714285714,5,488
2020-05-17,332,356,12543,7,8,496
2020-05-18,324.14285714285717,144,12687,7.285714285714286,7,503
2020-05-19,324.85714285714283,198,12885,7,8,511
2020-05-20,358.7142857142857,528,13413,7.857142857142857,12,523
2020-05-21,372.85714285714283,472,13885,7.857142857142857,10,533
2020-05-22,387.2857142857143,511,14396,8.571428571428571,10,543
2020-05-23,384.2857142857143,481,14877,9.714285714285714,13,556
2020-05-24,390.57142857142856,400,15277,9.714285714285714,8,564
2020-05-25,413.85714285714283,307,15584,10.714285714285714,14,578
2020-05-26,425.42857142857144,279,15863,11.857142857142858,16,594
2020-05-27,435.57142857142856,599,16462,11.714285714285714,11,605
2020-05-28,441.2857142857143,512,16974,12.571428571428571,16,621
2020-05-29,473,733,17707,13,13,634
2020-05-30,479,523,18230,12.714285714285714,11,645
2020-05-31,446.57142857142856,173,18403,12.285714285714286,5,650
2020-06-01,422.7142857142857,140,18543,11.142857142857142,6,656
2020-06-02,436.2857142857143,374,18917,9.571428571428571,5,661
2020-06-03,419.7142857142857,483,19400,8.857142857142858,6,667
2020-06-04,416.85714285714283,492,19892,7.428571428571429,6,673
2020-06-05,363.14285714285717,357,20249,7.571428571428571,14,687
2020-06-06,334.42857142857144,322,20571,6.428571428571429,3,690
2020-06-07,347.42857142857144,264,20835,6.428571428571429,5,695
2020-06-08,356.42857142857144,203,21038,6.142857142857143,4,699
2020-06-09,341.57142857142856,270,21308,6.142857142857143,5,704
2020-06-10,313.2857142857143,285,21593,7,12,716
2020-06-11,290.57142857142856,333,21926,6.857142857142857,5,721
2020-06-12,285.2857142857143,320,22246,6,8,729
2020-06-13,278.14285714285717,272,22518,6.285714285714286,5,734
2020-06-14,274.7142857142857,240,22758,6.428571428571429,6,740
2020-06-15,270.57142857142856,174,22932,7,8,748
2020-06-16,270,266,23198,7.142857142857143,6,754
2020-06-17,266.14285714285717,258,23456,6.714285714285714,9,763
2020-06-18,278.57142857142856,420,23876,6.571428571428571,4,767
2020-06-19,272.57142857142856,278,24154,5.714285714285714,2,769
2020-06-20,288.7142857142857,385,24539,5.428571428571429,3,772
2020-06-21,294.42857142857144,280,24819,5.714285714285714,8,780
2020-06-22,305.14285714285717,249,25068,5.142857142857143,4,784
2020-06-23,304.7142857142857,263,25331,4.714285714285714,3,787
2020-06-24,329.57142857142856,432,25763,4.285714285714286,6,793
2020-06-25,335.85714285714283,464,26227,4.285714285714286,4,797
2020-06-26,370.42857142857144,520,26747,4.428571428571429,3,800
2020-06-27,392.42857142857144,539,27286,5,7,807
2020-06-28,417.7142857142857,457,27743,4.714285714285714,6,813
2020-06-29,427.14285714285717,315,28058,4.428571428571429,2,815
2020-06-30,475.42857142857144,601,28659,4,0,815
2020-07-01,490.85714285714283,540,29199,3.7142857142857144,4,819
2020-07-02,501.57142857142856,539,29738,3.5714285714285716,3,822
2020-07-03,510,579,30317,3.5714285714285716,3,825
2020-07-04,538.4285714285714,738,31055,2.857142857142857,2,827
2020-07-05,547.7142857142857,522,31577,2.2857142857142856,2,829
2020-07-06,571.8571428571429,484,32061,2.4285714285714284,3,832
2020-07-07,556.7142857142857,495,32556,2.7142857142857144,2,834
2020-07-08,565,598,33154,2.7142857142857144,4,838
2020-07-09,595.7142857142857,754,33908,2.7142857142857144,3,841
2020-07-10,633.7142857142857,845,34753,2.857142857142857,4,845
2020-07-11,660.5714285714286,926,35679,2.857142857142857,2,847
2020-07-12,695.8571428571429,769,36448,2.857142857142857,2,849
2020-07-13,697.2857142857143,494,36942,3.4285714285714284,7,856
2020-07-14,764.2857142857143,964,37906,3.4285714285714284,2,858
2020-07-15,796.1428571428571,821,38727,3.857142857142857,7,865
2020-07-16,817,900,39627,4,4,869
2020-07-17,822,880,40507,4.285714285714286,6,875
2020-07-18,829.4285714285714,978,41485,4.571428571428571,4,879
2020-07-19,838.1428571428571,830,42315,5.285714285714286,7,886
2020-07-20,868,703,43018,5.714285714285714,10,896
2020-07-21,889.8571428571429,1117,44135,6.285714285714286,6,902
2020-07-22,874.2857142857143,712,44847,6.714285714285714,10,912
2020-07-23,896,1052,45899,7.285714285714286,8,920
2020-07-24,915.7142857142857,1018,46917,7.428571428571429,7,927
2020-07-25,912.1428571428571,953,47870,7.714285714285714,6,933
2020-07-26,930.2857142857143,957,48827,7.857142857142857,8,941
2020-07-27,914.1428571428571,590,49417,7.142857142857143,5,946
2020-07-28,863.4285714285714,762,50179,7.571428571428571,9,955
2020-07-29,886,870,51049,6.857142857142857,5,960
2020-07-30,887,1059,52108,7.428571428571429,12,972
2020-07-31,860.4285714285714,832,52940,7.285714285714286,6,978
2020-08-01,876,1062,54002,6.857142857142857,3,981
2020-08-02,871,922,54924,6.714285714285714,7,988
2020-08-03,844.4285714285714,404,55328,7.714285714285714,12,1000
2020-08-04,839.5714285714286,728,56056,7.714285714285714,9,1009
2020-08-05,841.5714285714286,884,56940,8.142857142857142,8,1017
2020-08-06,810.1428571428571,839,57779,7.428571428571429,7,1024
2020-08-07,832.5714285714286,989,58768,7.428571428571429,6,1030
2020-08-08,847.2857142857143,1165,59933,8.857142857142858,13,1043
2020-08-09,804.2857142857143,621,60554,8.714285714285714,6,1049
2020-08-10,819,507,61061,7.714285714285714,5,1054
2020-08-11,818.4285714285714,724,61785,7.714285714285714,9,1063
2020-08-12,760.4285714285714,478,62263,7.857142857142857,9,1072
2020-08-13,775.2857142857143,943,63206,7.571428571428571,5,1077
2020-08-14,779.8571428571429,1021,64227,8.142857142857142,10,1087
2020-08-15,731.8571428571429,829,65056,7.285714285714286,7,1094
2020-08-16,741,685,65741,7.142857142857143,5,1099
2020-08-17,733.5714285714286,455,66196,7,4,1103
