,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,712.1428571428571
2020-12-19,0.0,1559.7142857142858
2020-12-20,0.0,2890.1428571428573
2020-12-21,4985.0,3415.4285714285716
2020-12-22,5933.0,3456.1428571428573
2020-12-23,9313.0,3848.4285714285716
2020-12-24,3677.0,4090.4285714285716
2020-12-25,285.0,4296.428571428572
2020-12-26,2746.0,3448.8571428571427
2020-12-27,1694.0,2118.4285714285716
2020-12-28,6427.0,1593.142857142857
2020-12-29,0.0,1552.4285714285713
2020-12-30,0.0,1160.142857142857
2020-12-31,0.0,918.1428571428571
2021-01-01,0.0,0.0
2021-01-02,0.0,5493.142857142857
2021-01-03,0.0,5493.142857142857
2021-01-04,0.0,9007.142857142857
2021-01-05,38452.0,10892.142857142857
2021-01-06,0.0,10892.142857142857
2021-01-07,24598.0,10892.142857142857
2021-01-08,13195.0,14908.714285714286
2021-01-09,0.0,11108.857142857143
2021-01-10,0.0,12936.57142857143
2021-01-11,28116.0,12135.0
2021-01-12,11853.0,12807.714285714286
2021-01-13,12794.0,12807.714285714286
2021-01-14,18987.0,12807.714285714286
2021-01-15,17904.0,12512.0
2021-01-16,0.0,10818.714285714286
2021-01-17,0.0,10288.57142857143
2021-01-18,26046.0,7576.142857142857
2021-01-19,0.0,10328.857142857143
2021-01-20,9083.0,13885.714285714286
2021-01-21,0.0,13885.714285714286
2021-01-22,37173.0,10164.857142857143
2021-01-23,24898.0,15130.714285714286
2021-01-24,0.0,16331.42857142857
2021-01-25,0.0,20150.714285714286
2021-01-26,34761.0,20963.428571428572
2021-01-27,17488.0,23799.85714285714
2021-01-28,26735.0,30215.14285714286
2021-01-29,42862.0,33425.42857142857
2021-01-30,44753.0,29563.714285714286
2021-01-31,44907.0,30833.0
2021-02-01,22472.0,38540.71428571428
2021-02-02,7729.0,32417.571428571428
2021-02-03,26373.0,32176.428571428572
2021-02-04,80689.0,31252.0
2021-02-05,0.0,30996.85714285714
2021-02-06,43065.0,30722.428571428572
2021-02-07,38436.0,30734.0
2021-02-08,20686.0,23412.14285714286
2021-02-09,5808.0,28766.285714285714
2021-02-10,26454.0,28463.285714285714
2021-02-11,29436.0,28525.571428571428
2021-02-12,37479.0,29255.285714285714
2021-02-13,40944.0,29861.285714285714
2021-02-14,38872.0,29016.714285714286
2021-02-15,25794.0,28666.571428571428
2021-02-16,10050.0,29972.85714285714
2021-02-17,20542.0,36865.28571428572
2021-02-18,26985.0,35489.42857142857
2021-02-19,46623.0,37802.857142857145
2021-02-20,89191.0,40514.0
2021-02-21,29241.0,37579.42857142857
2021-02-22,41988.0,37021.0
2021-02-23,29028.0,34855.57142857143
2021-02-24,0.0,28650.428571428572
2021-02-25,23076.0,33257.71428571428
2021-02-26,31465.0,34278.71428571428
2021-02-27,45755.0,34468.0
2021-02-28,61492.0,37364.71428571428
2021-03-01,49135.0,38649.57142857143
2021-03-02,30353.0,40300.28571428572
2021-03-03,20277.0,42401.42857142857
2021-03-04,32070.0,42845.28571428572
2021-03-05,43020.0,47764.0
2021-03-06,60463.0,44504.71428571428
2021-03-07,64599.0,41608.0
2021-03-08,83566.0,40936.0
2021-03-09,7538.0,40801.57142857143
2021-03-10,0.0,41145.0
2021-03-11,27366.0,50216.28571428572
2021-03-12,42079.0,38278.28571428572
2021-03-13,62867.0,42205.71428571428
2021-03-14,128098.0,45495.71428571428
2021-03-15,0.0,45875.142857142855
2021-03-16,35030.0,46889.57142857143
2021-03-17,23030.0,46625.857142857145
2021-03-18,30022.0,38678.42857142857
2021-03-19,49180.0,50006.0
2021-03-20,61021.0,50597.857142857145
2021-03-21,72466.0,49912.142857142855
2021-03-22,79293.0,50782.42857142857
2021-03-23,39173.0,52371.28571428572
2021-03-24,18230.0,54803.28571428572
2021-03-25,36114.0,56161.42857142857
2021-03-26,60302.0,55149.28571428572
2021-03-27,78045.0,55981.142857142855
2021-03-28,81973.0,55789.0
2021-03-29,72208.0,55569.28571428572
2021-03-30,44996.0,56081.0
2021-03-31,16885.0,56376.42857142857
2021-04-01,34576.0,57631.857142857145
2021-04-02,63884.0,57030.71428571428
2021-04-03,80113.0,56639.57142857143
2021-04-04,90761.0,55460.857142857145
2021-04-05,68000.0,55573.71428571428
2021-04-06,42258.0,70262.28571428571
2021-04-07,8634.0,72664.85714285714
2021-04-08,35366.0,73187.0
2021-04-09,166704.0,71715.28571428571
2021-04-10,96931.0,68050.14285714286
2021-04-11,94416.0,71445.14285714286
2021-04-12,57698.0,73341.71428571429
2021-04-13,16602.0,61316.71428571428
2021-04-14,32399.0,60584.42857142857
2021-04-15,48642.0,58401.57142857143
2021-04-16,82529.0,59721.142857142855
2021-04-17,91805.0,59763.0
2021-04-18,79136.0,59965.28571428572
2021-04-19,66935.0,61747.142857142855
2021-04-20,16895.0,62546.71428571428
2021-04-21,33815.0,58927.28571428572
2021-04-22,61115.0,56537.857142857145
2021-04-23,88126.0,51735.857142857145
2021-04-24,66469.0,51017.42857142857
2021-04-25,62410.0,50695.71428571428
2021-04-26,33321.0,48617.71428571428
2021-04-27,11866.0,45166.0
2021-04-28,31563.0,43728.0
2021-04-29,46569.0,40674.0
2021-04-30,63964.0,38738.28571428572
2021-05-01,56403.0,37043.142857142855
2021-05-02,41032.0,36090.28571428572
2021-05-03,19771.0,35797.142857142855
2021-05-04,0.0,32902.857142857145
2021-05-05,24893.0,31033.0
2021-05-06,44517.0,31353.85714285714
2021-05-07,43704.0,33097.857142857145
2021-05-08,43314.0,34819.0
2021-05-09,43278.0,33841.28571428572
2021-05-10,31979.0,31582.85714285714
2021-05-11,12048.0,30000.714285714286
2021-05-12,18049.0,29049.714285714286
2021-05-13,28708.0,28108.85714285714
2021-05-14,32629.0,26358.14285714286
2021-05-15,36657.0,25700.428571428572
2021-05-16,36692.0,25785.14285714286
2021-05-17,19724.0,25879.85714285714
2021-05-18,7444.0,26063.85714285714
2021-05-19,18642.0,26887.285714285714
2021-05-20,29371.0,26049.0
2021-05-21,33917.0,26092.14285714286
2021-05-22,42421.0,26186.85714285714
2021-05-23,30824.0,25815.428571428572
2021-05-24,20026.0,24610.428571428572
2021-05-25,8107.0,23125.428571428572
2021-05-26,16042.0,19909.5
2021-05-27,20936.0,17726.6
2021-05-28,23522.0,17151.75
