,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.14285714285714285
2020-03-18,0.0,0.2857142857142857
2020-03-19,0.0,0.42857142857142855
2020-03-20,1.0,0.5714285714285714
2020-03-21,1.0,1.5714285714285714
2020-03-22,1.0,1.8571428571428572
2020-03-23,1.0,2.142857142857143
2020-03-24,7.0,2.7142857142857144
2020-03-25,2.0,3.4285714285714284
2020-03-26,2.0,4.142857142857143
2020-03-27,5.0,4.714285714285714
2020-03-28,6.0,4.285714285714286
2020-03-29,6.0,7.0
2020-03-30,5.0,9.571428571428571
2020-03-31,4.0,11.0
2020-04-01,21.0,12.0
2020-04-02,20.0,13.857142857142858
2020-04-03,15.0,15.571428571428571
2020-04-04,13.0,18.857142857142858
2020-04-05,19.0,19.714285714285715
2020-04-06,17.0,20.714285714285715
2020-04-07,27.0,20.714285714285715
2020-04-08,27.0,23.0
2020-04-09,27.0,23.714285714285715
2020-04-10,15.0,25.285714285714285
2020-04-11,29.0,27.428571428571427
2020-04-12,24.0,29.714285714285715
2020-04-13,28.0,31.142857142857142
2020-04-14,42.0,33.57142857142857
2020-04-15,43.0,34.714285714285715
2020-04-16,37.0,37.0
2020-04-17,32.0,38.0
2020-04-18,37.0,36.857142857142854
2020-04-19,40.0,36.57142857142857
2020-04-20,35.0,36.57142857142857
2020-04-21,34.0,36.285714285714285
2020-04-22,41.0,35.0
2020-04-23,37.0,34.714285714285715
2020-04-24,30.0,35.142857142857146
2020-04-25,28.0,35.42857142857143
2020-04-26,38.0,33.0
2020-04-27,38.0,32.285714285714285
2020-04-28,36.0,32.285714285714285
2020-04-29,24.0,33.0
2020-04-30,32.0,32.42857142857143
2020-05-01,30.0,30.571428571428573
2020-05-02,33.0,29.428571428571427
2020-05-03,34.0,29.571428571428573
2020-05-04,25.0,27.285714285714285
2020-05-05,28.0,26.0
2020-05-06,25.0,24.285714285714285
2020-05-07,16.0,23.571428571428573
2020-05-08,21.0,23.285714285714285
2020-05-09,21.0,23.857142857142858
2020-05-10,29.0,24.714285714285715
2020-05-11,23.0,26.428571428571427
2020-05-12,32.0,27.857142857142858
2020-05-13,31.0,29.0
2020-05-14,28.0,29.285714285714285
2020-05-15,31.0,28.142857142857142
2020-05-16,29.0,25.714285714285715
2020-05-17,31.0,23.428571428571427
2020-05-18,15.0,22.285714285714285
2020-05-19,15.0,20.142857142857142
2020-05-20,15.0,18.428571428571427
2020-05-21,20.0,17.285714285714285
2020-05-22,16.0,18.0
2020-05-23,17.0,18.428571428571427
2020-05-24,23.0,18.0
2020-05-25,20.0,17.428571428571427
2020-05-26,18.0,16.857142857142858
2020-05-27,12.0,16.0
2020-05-28,16.0,14.0
2020-05-29,12.0,13.571428571428571
2020-05-30,11.0,13.285714285714286
2020-05-31,9.0,13.142857142857142
2020-06-01,17.0,14.571428571428571
2020-06-02,16.0,16.857142857142858
2020-06-03,11.0,19.0
2020-06-04,26.0,20.714285714285715
2020-06-05,28.0,21.428571428571427
2020-06-06,26.0,22.285714285714285
2020-06-07,21.0,23.0
2020-06-08,22.0,21.714285714285715
2020-06-09,22.0,21.857142857142858
2020-06-10,16.0,22.428571428571427
2020-06-11,17.0,23.285714285714285
2020-06-12,29.0,25.142857142857142
2020-06-13,30.0,27.428571428571427
2020-06-14,27.0,28.571428571428573
2020-06-15,35.0,29.285714285714285
2020-06-16,38.0,28.428571428571427
2020-06-17,24.0,27.428571428571427
2020-06-18,22.0,26.857142857142858
2020-06-19,23.0,24.285714285714285
2020-06-20,23.0,21.428571428571427
2020-06-21,23.0,20.285714285714285
2020-06-22,17.0,19.142857142857142
2020-06-23,18.0,16.857142857142858
2020-06-24,16.0,15.857142857142858
2020-06-25,14.0,14.428571428571429
2020-06-26,7.0,13.571428571428571
2020-06-27,16.0,12.714285714285714
2020-06-28,13.0,13.428571428571429
2020-06-29,11.0,14.285714285714286
2020-06-30,12.0,15.857142857142858
2020-07-01,21.0,15.714285714285714
2020-07-02,20.0,16.428571428571427
2020-07-03,18.0,18.142857142857142
2020-07-04,15.0,19.0
2020-07-05,18.0,19.0
2020-07-06,23.0,20.142857142857142
2020-07-07,18.0,21.142857142857142
2020-07-08,21.0,21.428571428571427
2020-07-09,28.0,21.142857142857142
2020-07-10,25.0,19.0
2020-07-11,17.0,17.714285714285715
2020-07-12,16.0,17.142857142857142
2020-07-13,8.0,14.714285714285714
2020-07-14,9.0,15.142857142857142
2020-07-15,17.0,16.428571428571427
2020-07-16,11.0,16.571428571428573
2020-07-17,28.0,19.285714285714285
2020-07-18,26.0,21.571428571428573
2020-07-19,17.0,24.285714285714285
2020-07-20,27.0,28.857142857142858
2020-07-21,25.0,29.571428571428573
2020-07-22,36.0,28.285714285714285
2020-07-23,43.0,28.428571428571427
2020-07-24,33.0,28.428571428571427
2020-07-25,17.0,29.714285714285715
2020-07-26,18.0,29.142857142857142
2020-07-27,27.0,28.0
2020-07-28,34.0,30.142857142857142
2020-07-29,32.0,34.285714285714285
2020-07-30,35.0,38.0
2020-07-31,48.0,39.142857142857146
2020-08-01,46.0,39.857142857142854
2020-08-02,44.0,40.285714285714285
2020-08-03,35.0,41.57142857142857
2020-08-04,39.0,40.714285714285715
2020-08-05,35.0,40.57142857142857
2020-08-06,44.0,40.42857142857143
2020-08-07,42.0,41.142857142857146
2020-08-08,45.0,40.42857142857143
2020-08-09,43.0,39.857142857142854
2020-08-10,40.0,37.57142857142857
2020-08-11,34.0,37.57142857142857
2020-08-12,31.0,37.57142857142857
2020-08-13,28.0,34.285714285714285
2020-08-14,42.0,32.142857142857146
2020-08-15,45.0,30.714285714285715
2020-08-16,20.0,30.571428571428573
2020-08-17,25.0,31.428571428571427
2020-08-18,24.0,30.428571428571427
2020-08-19,30.0,27.142857142857142
2020-08-20,34.0,28.142857142857142
2020-08-21,35.0,29.285714285714285
2020-08-22,22.0,30.571428571428573
2020-08-23,27.0,28.714285714285715
2020-08-24,33.0,26.285714285714285
2020-08-25,33.0,25.142857142857142
2020-08-26,17.0,24.142857142857142
2020-08-27,17.0,22.428571428571427
2020-08-28,27.0,19.142857142857142
2020-08-29,15.0,17.0
2020-08-30,15.0,17.857142857142858
2020-08-31,10.0,19.428571428571427
2020-09-01,18.0,20.571428571428573
2020-09-02,23.0,23.142857142857142
2020-09-03,28.0,25.428571428571427
2020-09-04,35.0,28.714285714285715
2020-09-05,33.0,29.142857142857142
2020-09-06,31.0,30.0
2020-09-07,33.0,30.142857142857142
2020-09-08,21.0,29.571428571428573
2020-09-09,29.0,29.571428571428573
2020-09-10,29.0,30.285714285714285
2020-09-11,31.0,29.571428571428573
2020-09-12,33.0,31.285714285714285
2020-09-13,36.0,30.571428571428573
2020-09-14,28.0,31.428571428571427
2020-09-15,33.0,32.0
2020-09-16,24.0,31.857142857142858
2020-09-17,35.0,31.142857142857142
2020-09-18,35.0,33.857142857142854
2020-09-19,32.0,34.285714285714285
2020-09-20,31.0,35.0
2020-09-21,47.0,35.142857142857146
2020-09-22,36.0,36.0
2020-09-23,29.0,38.0
2020-09-24,36.0,40.142857142857146
2020-09-25,41.0,38.285714285714285
2020-09-26,46.0,39.714285714285715
2020-09-27,46.0,43.714285714285715
