,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,142.42857142857142
2020-12-21,0.0,142.42857142857142
2020-12-22,0.0,142.42857142857142
2020-12-23,997.0,142.42857142857142
2020-12-24,0.0,142.42857142857142
2020-12-25,0.0,166.42857142857142
2020-12-26,0.0,423.42857142857144
2020-12-27,0.0,371.57142857142856
2020-12-28,168.0,658.1428571428571
2020-12-29,1799.0,658.1428571428571
2020-12-30,634.0,709.1428571428571
2020-12-31,2006.0,709.1428571428571
2021-01-01,0.0,764.2857142857143
2021-01-02,357.0,585.1428571428571
2021-01-03,0.0,494.57142857142856
2021-01-04,554.0,305.57142857142856
2021-01-05,545.0,789.1428571428571
2021-01-06,0.0,772.4285714285714
2021-01-07,683.0,772.4285714285714
2021-01-08,3385.0,693.2857142857143
2021-01-09,240.0,615.4285714285714
2021-01-10,0.0,1428.5714285714287
2021-01-11,0.0,1807.857142857143
2021-01-12,0.0,1742.857142857143
2021-01-13,5692.0,1883.857142857143
2021-01-14,3338.0,1903.857142857143
2021-01-15,2930.0,1903.857142857143
2021-01-16,1227.0,1903.857142857143
2021-01-17,140.0,1463.142857142857
2021-01-18,0.0,1592.5714285714287
2021-01-19,0.0,1174.0
2021-01-20,2607.0,1364.7142857142858
2021-01-21,4244.0,1661.142857142857
2021-01-22,0.0,1661.142857142857
2021-01-23,2562.0,1661.142857142857
2021-01-24,2215.0,1687.2857142857142
2021-01-25,0.0,1511.142857142857
2021-01-26,0.0,1908.7142857142858
2021-01-27,2790.0,1542.7142857142858
2021-01-28,3011.0,1226.2857142857142
2021-01-29,2783.0,2662.8571428571427
2021-01-30,0.0,2662.8571428571427
2021-01-31,0.0,2762.285714285714
2021-02-01,10056.0,2397.5714285714284
2021-02-02,0.0,2000.0
2021-02-03,3486.0,2975.0
2021-02-04,458.0,3583.285714285714
2021-02-05,0.0,2146.714285714286
2021-02-06,6825.0,2803.714285714286
2021-02-07,4258.0,2305.714285714286
2021-02-08,0.0,3254.1428571428573
2021-02-09,4599.0,4546.857142857143
2021-02-10,0.0,3571.8571428571427
2021-02-11,7097.0,3403.4285714285716
2021-02-12,9049.0,3891.5714285714284
2021-02-13,0.0,3234.5714285714284
2021-02-14,3079.0,3389.8571428571427
2021-02-15,3417.0,2527.285714285714
2021-02-16,0.0,2276.0
2021-02-17,1087.0,4529.571428571428
2021-02-18,1059.0,4768.285714285715
2021-02-19,7290.0,4338.714285714285
2021-02-20,15775.0,5294.857142857143
2021-02-21,4750.0,5139.571428571428
2021-02-22,410.0,5017.285714285715
2021-02-23,6693.0,4715.714285714285
2021-02-24,0.0,3038.1428571428573
2021-02-25,203.0,3217.714285714286
2021-02-26,5179.0,3846.714285714286
2021-02-27,4032.0,2939.714285714286
2021-02-28,6007.0,2964.1428571428573
2021-03-01,4813.0,3793.1428571428573
2021-03-02,344.0,3092.714285714286
2021-03-03,171.0,3019.285714285714
2021-03-04,6006.0,3701.714285714286
2021-03-05,276.0,4169.0
2021-03-06,3518.0,4119.857142857143
2021-03-07,10784.0,4128.714285714285
2021-03-08,8084.0,3894.5714285714284
2021-03-09,0.0,3910.8571428571427
2021-03-10,233.0,4645.714285714285
2021-03-11,4367.0,4916.285714285715
2021-03-12,390.0,3761.4285714285716
2021-03-13,8662.0,3845.5714285714284
2021-03-14,12678.0,4022.285714285714
2021-03-15,0.0,3405.0
2021-03-16,589.0,3354.285714285714
2021-03-17,1470.0,3071.8571428571427
2021-03-18,46.0,1297.5714285714287
2021-03-19,35.0,1346.5714285714287
2021-03-20,6685.0,1279.0
2021-03-21,258.0,3028.8571428571427
2021-03-22,343.0,3058.4285714285716
2021-03-23,116.0,4124.142857142857
2021-03-24,13719.0,3228.714285714286
2021-03-25,253.0,3230.1428571428573
2021-03-26,7495.0,3243.1428571428573
2021-03-27,417.0,5785.428571428572
2021-03-28,268.0,3827.4285714285716
2021-03-29,434.0,3854.5714285714284
2021-03-30,17912.0,3901.0
2021-03-31,13.0,3894.714285714286
2021-04-01,443.0,3894.0
2021-04-02,7820.0,6092.428571428572
2021-04-03,373.0,3573.714285714286
2021-04-04,263.0,3758.1428571428573
2021-04-05,15823.0,3740.0
2021-04-06,281.0,2686.0
2021-04-07,1304.0,2677.285714285714
2021-04-08,316.0,5691.428571428572
2021-04-09,442.0,3440.0
2021-04-10,312.0,3886.1428571428573
2021-04-11,21362.0,4120.142857142857
2021-04-12,63.0,4090.8571428571427
2021-04-13,3404.0,4909.857142857143
2021-04-14,2942.0,4893.285714285715
2021-04-15,111.0,1856.7142857142858
2021-04-16,6175.0,1884.4285714285713
2021-04-17,196.0,2656.5714285714284
2021-04-18,106.0,2259.714285714286
2021-04-19,257.0,2905.4285714285716
2021-04-20,8809.0,2483.4285714285716
2021-04-21,164.0,2471.4285714285716
2021-04-22,4631.0,2489.714285714286
2021-04-23,3221.0,3531.8571428571427
2021-04-24,112.0,2275.714285714286
2021-04-25,234.0,2279.1428571428573
2021-04-26,7552.0,2263.0
2021-04-27,16.0,2182.285714285714
2021-04-28,188.0,2475.5714285714284
2021-04-29,4518.0,2483.5714285714284
2021-04-30,2656.0,1409.4285714285713
2021-05-01,2165.0,1407.142857142857
2021-05-02,290.0,2038.0
2021-05-03,33.0,1427.0
2021-05-04,0.0,1641.5714285714287
2021-05-05,4604.0,1649.857142857143
2021-05-06,241.0,1637.5714285714287
2021-05-07,4158.0,1638.4285714285713
2021-05-08,2223.0,2113.1428571428573
2021-05-09,204.0,1639.2857142857142
2021-05-10,39.0,1623.4285714285713
2021-05-11,3323.0,1270.4285714285713
2021-05-12,1287.0,1272.2857142857142
2021-05-13,130.0,1260.5714285714287
2021-05-14,1687.0,1268.5714285714287
2021-05-15,2236.0,1104.7142857142858
2021-05-16,122.0,940.1428571428571
2021-05-17,95.0,1372.0
2021-05-18,2176.0,1354.7142857142858
2021-05-19,135.0,1333.4285714285713
2021-05-20,3153.0,1331.857142857143
2021-05-21,1566.0,1327.2857142857142
2021-05-22,2087.0,1379.2857142857142
2021-05-23,111.0,1378.857142857143
2021-05-24,63.0,940.0
2021-05-25,2540.0,1193.4285714285713
2021-05-26,132.0,1044.5
2021-05-27,81.0,1231.2
2021-05-28,3340.0,1523.25
